60090,Gomphi,n,n-p---mn2-,Gomph,,,['gɔm.pʰɪ],,0
60091,60091,Gonni,n,n-p---mn2-,Gonn,,,['gɔn̪.n̪ɪ],,0
60093,60093,Gordium,n,n-s---nn2-,Gordi,,,['gɔr.d̪ɪ̣.jũː],,0
60094,60094,Gordius,n,n-s---mn2-,Gordi,,,['gɔr.d̪ɪ̣.jʊs],,0
60095,60095,Gordiutichos,n,n-s---mn2-,Gordiutich,,,[gɔr.d̪ɪ̣.'jʊ.t̪ɪ.kʰɔs],,0
60096,60096,Gordueni,n,n-p---mn2-,Gorduen,,,[gɔr.'d̪ʊ.jɛ.n̪ɪ],,0
60097,60097,Gorge,n,n-s---fn1-,Gorg,,,['gɔr.gɛ],,0
60098,60098,Gorgias,n,n-s---mn3-,Gorgias,,,['gɔr.gɪ̣.jas],,0
60099,60099,Gorgo,n,n-s---fn3-,Gorgo,,,['gɔr.gɔ],,0
60100,60100,Gortyna,n,n-s---fn1-,Gortyn,,,['gɔr.t̪y.n̪a],,0
60101,60101,Gothi,n,n-p---mn2-,Goth,,,['gɔ.t̪ʰɪ],,0
60102,60102,Gracchus,n,n-s---mn2-,Gracch,,,['grak.kʰʊs],,0
60103,60103,Graeae,n,n-p---fn1-,Grae,,,['graj.jaj],,0
60104,60104,Graeci,n,n-p---mn2-,Graec,,,['graj.kɪ],,0
60105,60105,Graii,n,n-p---mn2-,Grai,,,['graj.jɪ],,0
60107,60107,Gratidius,a,aps---mn1-,Gratidi Gratidi Gratidi,,,[gra.'t̪ɪ.d̪ɪ̣.jʊs],,0
60108,60108,Gratius,n,n-s---mn2-,Grati,,,['gra.t̪ɪ̣.jʊs],,0
60038,60038,Gabba,n,n-s---fn1-,Gabb,,,['gab.ba],,0
60039,60039,Gabii,a,app---mn1-,Gabi Gabi Gabi,,,['ga.bɪ̣.jɪ],,0
60113,60113,Gugerni,n,n-p---mn3-,Gugern,,,['gʷgɛr.n̪ɪ],,0
60114,60114,Gurges,n,n-p---mn3-,Gurg,,,['gʷrgɛs],,0
60115,60115,Gutta,n,n-s---fn1-,Gutt,,,['gʷt̪t̪a],,0
60116,60116,Gyaros,n,n-s---mn2-,Gyar,,,['gy.ja.rɔs],,0
60117,60117,Gyges,n,n-p---mn3-,Gyg,,,['gy.gɛs],,0
60118,60118,Gyrton,n,n-s---nn3-,Gyrt,,,['gyr.t̪ɔn̪],,0
60119,60119,Gytheum,n,n-s---nn2-,Gythe,,,['gyt̪ʰewm],,0
60121,60121,Hadranum,n,n-s---nn2-,Hadran,,,['ha.d̪ra.n̪ũː],,0
60122,60122,Hadria,a,aps---fn1-,Hadri Hadri Hadri,,,['ha.d̪rɪ̣.ja],,0
60123,60123,Hadrumetum,n,n-s---nn2-,Hadrumet,,,[ha.'d̪rʊ.mɛ.t̪ũː],,0
60124,60124,Haemimontus,n,n-s---mn2-,Haemimont,,,[haj.mɪ.'mɔn̪.t̪ʊs],,0
60125,60125,Haemonia,n,n-s---fn1-,Haemoni,,,[haj.'mɔ.n̪ɪ̣.ja],,0
60126,60126,Haemus,n,n-s---mn2-,Haem,,,['haj.mʊs],,0
60127,60127,Hagiographa,n,n-s---fn1-,Hagiograph,,,[ha.gɪ̣.'jɔ.gra.pʰa],,0
60128,60128,Hales,n,n-p---mn3-,Hal,,,['ha.lɛs],,0
60129,60129,Halesa,n,n-s---fn1-,Hales,,,['ha.lɛ.sa],,0
60130,60130,Halesus,n,n-s---mn2-,Hales,,,['ha.lɛ.sʊs],,0
60131,60131,Haliacmon,n,n-s---nn3-,Haliacm,,,[ha.'lɪ̣.ja.kmɔn̪],,0
60133,60133,Halicarnassus,n,n-s---mn2-,Halicarnass,,,[ha.lɪ.kar.'n̪as.sʊs],,0
60134,60134,Halicyensis,a,aps---fn3i,Halicyensis Halicyensis Halicyensis,,,[ha.lɪ.ky.'jeːn̪.sɪs],,0
60135,60135,Halys,n,n-s---mn3-,Halys,,,['ha.lys],,0
60136,60136,Hamillus,n,n-s---mn2-,Hamill,,,[ha.'mɪɫ.lʊs],,0
60137,60137,Hammon,n,n-s---nn3-,Hamm,,,['ha.mmɔn̪],,0
60138,60138,Hanno,n,n-s---mn3-,Hanno,,,['han̪.n̪ɔ],,0
60139,60139,Harmodius,n,n-s---mn2-,Harmodi,,,[har.'mɔ.d̪ɪ̣.jʊs],,0
60140,60140,Harmonia,n,n-s---fn1-,Harmoni,,,[har.'mɔ.n̪ɪ̣.ja],,0
60141,60141,Harpalus,n,n-s---mn2-,Harpal,,,['har.pa.lʊs],,0
60142,60142,Harpocrates,n,n-p---mn3-,Harpocrat,,,[har.'pɔ.kra.t̪ɛs],,0
60143,60143,Harpyia,n,n-s---fn1-,Harpyi,,,[har.'pyj.ja],,0
60145,60145,Haterianus,a,aps---mn1-,Haterian Haterian Haterian,,,[ha.t̪ɛ.'rɪ̣.ja.n̪ʊs],,0
60146,60146,Heautontimorumenos,n,n-s---mn2-,Heautontimorumen,,,[hɛ̣.jaw.t̪ɔn̪.t̪ɪ.mɔ.'rʊ.mɛ.n̪ɔs],,0
60147,60147,Hebraei,n,n-p---mn2-,Hebrae,,,['hɛbrej],,0
60148,60148,Hecaerge,n,n-s---fn1-,Hecaerg,,,[hɛ.'kajr.gɛ],,0
60149,60149,Hecale,n,n-s---fn1-,Hecal,,,['hɛ.ka.lɛ],,0
60150,60150,Hecataeus,n,n-s---mn2-,Hecatae,,,['hɛ.kat̪ews],,0
60151,60151,Hecate,n,n-s---fn1-,Hecat,,,['hɛ.ka.t̪eː],,0
60152,60152,Hecato,n,n-s---mn3-,Hecato,,,['hɛ.ka.t̪ɔ],,0
60153,60153,Hecuba,n,n-s---fn1-,Hecub,,,['hɛ.kʊ.ba],,0
60155,60155,Helena,n,n-s---fn1-,Helen,,,['hɛ.lɛ.n̪a],,0
60156,60156,Helenius,n,n-s---mn2-,Heleni,,,[hɛ.'lɛ.n̪ɪ̣.jʊs],,0
60157,60157,Helenus,n,n-s---mn2-,Helen,,,['hɛ.lɛ.n̪ʊs],,0
60158,60158,Helernus,n,n-s---mn2-,Helern,,,[hɛ.'lɛr.n̪ʊs],,0
60159,60159,Heliades,a,aps---fn3-,Heliades Heliades Heliades,,,[hɛ.'lɪ̣.ja.d̪ɛs],,0
60160,60160,Helicaon,n,n-s---mn3-,Helica,,,[hɛ.'lɪ.ka.jɔn̪],,0
60161,60161,Helicon,n,n-s---nn3-,Helic,,,['hɛ.lɪ.kɔn̪],,0
60162,60162,Heliopolis,n,n-s---fn3-,Heliopol,,,[hɛ.lɪ̣.'jɔ.pɔ.lɪs],,0
60164,60164,Hellanicus,n,n-s---mn2-,Hellanic,,,[hɛɫ.'la.n̪ɪ.kʊs],,0
60165,60165,Helle,n,n-s---fn1-,Hell,,,['hɛɫ.lɛ],,0
60166,60166,Hellen,n,n-s---mn3-,Hellen,,,['hɛɫ.lɛn̪],,0
60167,60167,Hellespontus,n,n-s---mn2-,Hellespont,,,[hɛɫ.lɛs.'pɔn̪.t̪ʊs],,0
60168,60168,Helorus,n,n-s---mn2-,Helor,,,['hɛ.lɔ.rʊs],,0
60169,60169,Heluii,n,n-p---mn2-,Helui,,,[hɛ.'lʊj.jɪ],,0
60170,60170,Heluina,n,n-s---fn1-,Heluin,,,[hɛ.'luj.n̪a],,0
60171,60171,Heniochi,n,n-p---mn2-,Henioch,,,[hɛ.'n̪ɪ̣.jɔ.kʰɪ],,0
60172,60172,Heniochus,n,n-s---mn2-,Henioch,,,[hɛ.'n̪ɪ̣.jɔ.kʰʊs],,0
60173,60173,Henna,n,n-s---fn1-,Henn,,,['hɛn̪.n̪a],,0
60174,60174,Hephaestia,n,n-s---fn1-,Hephaesti,,,[hɛ.'pʰajs.t̪ɪ̣.ja],,0
60177,60177,Heptastadium,n,n-s---nn2-,Heptastadi,,,[hɛp.t̪as.'t̪a.d̪ɪ̣.jũː],,0
60110,60110,Grumentum,n,n-s---nn2-,Grument,,,[grʊ.'mɛn̪.t̪ũː],,0
54294,i1293,indisciplinatus,a,aps---mn1-,indisciplinat indisciplinat indisciplinat,,,[ɪn.dɪs.kɪ.pliːˈnaː.tʊs],indisciplinatus,0
60111,60111,Gryllus,n,n-s---mn2-,Gryll,,,['gryɫ.lʊs],,0
60183,60183,Heracleoticus,a,aps---mn1-,Heracleotic Heracleotic Heracleotic,,,[hɛ.ra.klɛ̣.'jɔ.t̪ɪ.kʊs],,0
60184,60184,Heracleum,n,n-s---nn2-,Heracle,,,['hɛ.rakɫewm],,0
60185,60185,Heracleus,a,aps---mn1-,Heracle Heracle Heracle,,,['hɛ.rakɫews],,0
60186,60186,Heraclides,n,n-s---mn3-,Heraclid,,,[hɛ.'ra.klɪ.d̪ɛs],,0
60187,60187,Heraclitus,n,n-s---mn2-,Heraclit,,,[hɛ.'ra.klɪ.t̪ʊs],,0
60188,60188,Herbessus,n,n-s---mn2-,Herbess,,,[hɛr.'bɛs.sʊs],,0
60189,60189,Herbita,n,n-s---fn1-,Herbit,,,['hɛr.bɪ.t̪a],,0
60190,60190,Herceus,n,n-s---mn2-,Herce,,,['hɛrkews],,0
60191,60191,Herculaneum,n,n-s---nn2-,Herculane,,,['hɛr.kʊ.lan̪ewm],,0
60192,60192,Hercynna,n,n-s---fn1-,Hercynn,,,[hɛr.'kyn̪.n̪a],,0
60194,60194,Herdonius,n,n-s---mn2-,Herdoni,,,[hɛr.'d̪ɔ.n̪ɪ̣.jʊs],,0
60195,60195,Herennius,a,aps---mn1-,Herenni Herenni Herenni,,,[hɛ.'rɛn̪.n̪ɪ̣.jʊs],,0
60196,60196,Hermacreon,n,n-s---nn3-,Hermacre,,,[hɛr.'ma.krɛ̣.jɔn̪],,0
60197,60197,Hermagoras,n,n-s---mn3-,Hermagoras,,,[hɛr.'ma.gɔ.ras],,0
60198,60198,Hermandica,n,n-s---fn1-,Hermandic,,,[hɛr.'man̪.d̪ɪ.ka],,0
60199,60199,Hermathena,n,n-s---fn1-,Hermathen,,,[hɛr.'ma.t̪ʰɛ.n̪a],,0
60200,60200,Hermeracles,n,n-p---mn3-,Hermeracl,,,[hɛr.'mɛ.ra.klɛs],,0
60201,60201,Hermeros,n,n-s---mn2-,Hermer,,,['hɛr.mɛ.roːs],,0
60202,60202,Hermes,n,n-p---fn1-,Herm,,,['hɛr.mɛs],,0
60204,60204,Hermippus,n,n-s---mn2-,Hermipp,,,[hɛr.'mɪp.pʊs],,0
60205,60205,Hermogenes,n,n-p---mn3-,Hermogen,,,[hɛr.'mɔ.gɛ.n̪ɛs],,0
60206,60206,Hernici,a,app---mn1-,Hernic Hernic Hernic,,,['hɛr.n̪ɪ.kɪ],,0
60207,60207,Hero,n,n-s---mn3-,Hero,,,['hɛ.rɔ],,0
60208,60208,Herodotus,n,n-s---mn2-,Herodot,,,[hɛ.'rɔ.d̪ɔ.t̪ʊs],,0
60209,60209,Herse,n,n-s---fn1-,Hers,,,['hɛr.sɛ],,0
60210,60210,Hersilia,n,n-s---fn1-,Hersili,,,[hɛr.'sɪ.lɪ̣.ja],,0
60211,60211,Heruli,n,n-p---mn2-,Herul,,,['hɛ.rʊ.lɪ],,0
60212,60212,Hesiodus,n,n-s---mn2-,Hesiod,,,[hɛ.'sɪ̣.jɔ.d̪ʊs],,0
60213,60213,Hesione,n,n-s---fn1-,Hesion,,,[hɛ.'sɪ̣.jɔ.n̪ɛ],,0
60214,60214,Hesperie,n,n-s---fn1-,Hesperi,,,[hɛs.'pɛ.rɪ̣.jɛ],,0
60216,60216,Hestiaeotis,n,n-s---fn3-,Hestiaeot,,,[hɛs.t̪ɪ̣.'jaj.jɔ.t̪ɪs],,0
60217,60217,Hetriculum,n,n-s---nn2-,Hetricul,,,[hɛ.'t̪rɪ.kʊ.ɫũː],,0
60218,60218,Hexapylon,n,n-s---nn3-,Hexapyl,,,[hɛk.'sa.py.lɔn̪],,0
60219,60219,Hiberes,n,n-p---mn3-,Hiber,,,['hɪ.bɛ.rɛs],,0
60220,60220,Hicetas,n,n-s---mn3-,Hicetas,,,['hɪ.kɛ.t̪as],,0
60221,60221,Hierapolis,n,n-s---fn3-,Hierapol,,,[hɪ̣.jɛ.'ra.pɔ.lɪs],,0
60222,60222,Hiericus,n,n-s---mn2-,Hieric,,,[hɪ̣.'jɛ.rɪ.kʊs],,0
60223,60223,Hiero,n,n-s---mn3-,Hiero,,,['hɪ̣.jɛ.rɔ],,0
60224,60224,Hierocles,n,n-p---mn3-,Hierocl,,,[hɪ̣.'jɛ.rɔ.klɛs],,0
60226,60226,Hilarus,a,aps---mn1-,Hilar Hilar Hilar,,,['hɪ.la.rʊs],,0
60227,60227,Hilotae,n,n-p---fn1-,Hilot,,,['hɪ.lɔ.t̪aj],,0
60228,60228,Himera,n,n-s---fn1-,Himer,,,['hɪ.mɛ.ra],,0
60229,60229,Hippalus,n,n-s---mn2-,Hippal,,,['hɪp.pa.lʊs],,0
60230,60230,Hipparchus,n,n-s---mn2-,Hipparch,,,[hɪp.'par.kʰʊs],,0
60231,60231,Hippias,n,n-s---mn3-,Hippias,,,['hɪp.pɪ̣.jas],,0
60232,60232,Hippius,n,n-s---mn2-,Hippi,,,['hɪp.pɪ̣.jʊs],,0
60233,60233,Hippo,n,n-s---mn3-,Hippo,,,['hɪp.pɔ],,0
60234,60234,Hippocrates,n,n-p---mn3-,Hippocrat,,,[hɪp.'pɔ.kra.t̪ɛs],,0
60235,60235,Hippocrene,n,n-s---fn1-,Hippocren,,,[hɪp.'pɔ.krɛ.n̪ɛ],,0
60237,60237,Hippodame,n,n-s---fn1-,Hippodam,,,[hɪp.'pɔ.d̪a.mɛ],,0
60238,60238,Hippodamus,n,n-s---mn2-,Hippodam,,,[hɪp.'pɔ.d̪a.mʊs],,0
60239,60239,Hippolyte,n,n-s---fn1-,Hippolyt,,,[hɪp.'pɔ.ly.t̪ɛ],,0
60240,60240,Hippolytus,n,n-s---mn2-,Hippolyt,,,[hɪp.'pɔ.ly.t̪ʊs],,0
60241,60241,Hippomeneis,n,n-s---fn3-,Hippomene,,,['hɪp.pɔ.mɛn̪ejs],,0
60242,60242,Hippomenes,n,n-p---mn3-,Hippomen,,,[hɪp.'pɔ.mɛ.n̪ɛs],,0
60243,60243,Hipponax,n,n-s---mn3-,Hipponax,,,['hɪp.pɔ.n̪aks],,0
60244,60244,Hippopodes,n,n-s---mn3-,Hippopod,,,[hɪp.'pɔ.pɔ.d̪ɛs],,0
60245,60245,Hippotades,n,n-s---mn3-,Hippotad,,,[hɪp.'pɔ.t̪a.d̪ɛs],,0
60179,60179,Hera,n,n-s---fn1-,Her,,,['hɛ.ra],,0
60180,60180,Heraclea,n,n-s---fn1-,Heracle,,,[hɛ.'ra.klɛ̣.ja],,0
60249,60249,Hispalis,n,n-s---fn3-,Hispal,,,['hɪs.pa.lɪs],,0
60250,60250,Hispani,n,n-p---mn2-,Hispan,,,['hɪs.pa.n̪ɪ],,0
60252,60252,Hispo,n,n-s---mn3-,Hispo,,,['hɪs.pɔ],,0
60253,60253,Hispulla,n,n-s---fn1-,Hispull,,,[hɪs.'pʊɫ.la],,0
60254,60254,Hister,n,n-s---mn3-,Hister,,,['hɪs.t̪ɛr],,0
60255,60255,Histri,n,n-p---mn2-,Histr,,,['hɪs.t̪rɪ],,0
60256,60256,Homeromastix,n,n-s---mn3-,Homeromastix,,,[hɔ.mɛ.rɔ.'mas.t̪ɪks],,0
60257,60257,Homerus,n,n-s---mn2-,Homer,,,['hɔ.mɛ.rʊs],,0
60258,60258,Homole,n,n-s---fn1-,Homol,,,['hɔ.mɔ.lɛ],,0
60259,60259,Honorinus,a,aps---mn1-,Honorin Honorin Honorin,,,[hɔ.'n̪ɔ.rɪ.n̪ʊs],,0
60260,60260,Honorius,n,n-s---mn2-,Honori,,,[hɔ.'n̪ɔ.rɪ̣.jʊs],,0
60262,60262,Horreum,n,n-s---nn2-,Horre,,,['hɔrrewm],,0
60263,60263,Hortalus,n,n-s---mn2-,Hortal,,,['hɔr.t̪a.lʊs],,0
60267,60267,Hunni,n,n-p---mn2-,Hunn,,,['hʊn̪.n̪ɪ],,0
60268,60268,Hyacinthus,n,n-s---mn2-,Hyacinth,,,[hy.ja.'kɪn̪.t̪ʰʊs],,0
60269,60269,Hyades,n,n-s---mn3-,Hyad,,,['hy.ja.d̪ɛs],,0
60270,60270,Hyale,n,n-s---fn1-,Hyal,,,['hy.ja.lɛ],,0
