0,n,10,a barrel holding vinegar in which cucumbers are pickled,
122343,03117855,n,10,a light truck with an open body and low sides and a tailboard,1946
122345,03118135,n,10,"an edging of small loops, as on lace or ribbon",2425
122347,03118679,n,10,a book consisting chiefly of pictures,1422
122348,03118793,n,10,a framework in which a picture is mounted,
122350,03119008,n,10,rail fixed to a wall for hanging pictures,"2415,2479"
122351,03119108,n,10,a large single-paned window overlooking a view,2415
122355,03119701,n,10,a piece of fabric,1787
122356,03120175,n,10,a piece of leather,2188
122358,03120538,n,10,a landing built out into the water,1942
122359,03120623,n,10,a support for two adjacent bridge spans,2279
122360,03120732,n,10,(architecture) a vertical supporting structure (as a portion of wall between two doors or windows),2415
122361,03120900,n,10,an arch supported on piers,2446
122362,03120982,n,10,a large mirror between two windows,2410
122363,03121087,n,10,a suspension bridge across the Saint Lawrence River at Quebec,"1820,1946"
122364,03121235,n,10,a low table set below a pier glass,2410
122365,03121326,n,10,a representation of the Virgin Mary mourning over the dead body of Jesus,1565
122366,03121450,n,10,a crystal that can be used as a transducer,
122367,03121560,n,10,an instrument for measuring high pressures,1951
122368,03121659,n,10,a crude block of lead or iron poured from a smelting furnace,
122369,03121769,n,10,a bed of sand in which pig iron is cast,
122373,03122334,n,10,a sharp point (as on the end of a spear),1422
122374,03122425,n,10,the staff of a pike,1781
122375,03122519,n,10,a rectangular column that usually projects about a third of its width from the wall to which it is attached,2446
122376,03122681,n,10,the yarn (as in a rug or velvet) that stands up from the weave,
122377,03122794,n,10,a column of wood or steel or concrete that is driven into the ground to provide support for a structure,
122378,03122991,n,10,a machine that drives piling into the ground,2415
122379,03123093,n,10,a dose of medicine in the form of a small pellet,2248
122380,03123283,n,10,something that resembles a pill in shape or size,
122381,03123382,n,10,a pill containing estrogen and progestin to inhibit ovulation and so prevent conception,1703
122382,03123666,n,10,(British) a red pillar-shaped letter box,1707
122383,03123763,n,10,a small bottle for holding pills,
122384,03123853,n,10,a small enclosed emplacement (usually of fortified concrete),1781
122385,03123967,n,10,a small case for holding pills,
122386,03124051,n,10,a small round hat worn by women,2875
122387,03124153,n,10,a seat behind the rider of a horse or motorbike etc.,1948
122389,03124442,n,10,a cushion to support the head of a sleeping person,2410
122390,03124581,n,10,as cast-iron or steel block for supporting a journal or bearing,
122391,03124703,n,10,made by winding thread around bobbins on a padded cushion,1787
122392,03124832,n,10,decorative pillow cover,2353
122393,03124914,n,10,used to observe air currents,1946
122394,03125002,n,10,a small bit that drills a first hole to guide a larger drill,"1787,2415"
122395,03125118,n,10,a boat to carry pilots to and from large ships,1942
122396,03125221,n,10,small auxiliary flame to ignite a gas burner,"1946,2098"
