id,type,source,target
202683,%p,103291,103294
202684,%p,103291,128451
202685,%s,103291,128615
202686,@,103292,103291
202687,@,103293,103291
202688,%p,103294,129329
202689,%p,103294,129332
202690,%p,103294,129338
202691,%p,103294,129364
202692,%p,103294,129370
202693,%p,103294,129371
202694,@,103295,103290
202695,@,103296,103291
202696,@,103296,103295
202697,%p,103296,125805
202698,%p,103296,128435
202699,@,103297,103291
202700,%s,103297,128616
202701,%p,103297,129722
202702,%p,103297,129999
202703,@,103298,103291
202704,%p,103298,159609
202705,%s,103298,159651
202706,@,103299,103290
202707,@,103300,103299
202708,@,103302,103301
202709,@,103303,103299
202710,@,103304,103303
202711,@,103307,103305
202712,@,103308,103305
202713,@,103309,103305
202714,@,103310,103299
202715,@,103311,103319
202716,@,103312,103306
202717,@,103313,103306
202718,%p,103313,103310
202719,%p,103313,142336
202720,@,103319,103306
202721,@,103320,103306
202722,@,103321,103320
202723,@,103322,103321
202724,@,103323,103306
202725,@,103325,103332
202726,@,103326,103332
202727,@,103327,103332
202728,@,103329,103327
202729,@,103330,103327
202730,@,103331,103327
202731,@,103332,103316
202732,@,103333,103332
202733,@,103334,103332
202734,@,103335,103334
202735,@,103336,103334
202736,@,103337,103336
202737,@,103338,103336
202738,@,103339,103334
202739,@,103340,103339
202740,@,103341,103339
202741,@,103342,103341
202742,@,103343,103332
202743,@,103344,103332
202744,@,103345,103343
202745,%p,103345,103613
202746,%p,103345,105206
202747,@,103346,103328
202748,@,103348,103327
202749,@,103349,103348
202750,@,103350,103348
202751,@,103351,103327
202752,@,103352,103327
202753,@,103353,103327
202754,@,103354,103327
202755,@,103355,103332
202756,@,103356,103354
202757,@,103357,103354
202758,@,103358,103355
202759,@,103359,103358
202760,@,103360,103358
202761,@,103361,103358
202762,@,103362,103358
202763,@,103363,103358
202764,@,103364,103355
202765,@,103365,103364
202766,@,103366,103364
202767,@,103367,103366
202768,@,103369,103368
202769,@,103370,103358
202770,@,103371,103355
202771,@,103372,103355
202772,%p,103372,104381
202773,@,103373,103355
202774,@,103375,103328
202775,@,103376,103375
202776,@,103377,103375
202777,@,103378,103377
202778,@,103379,103375
202779,@,103381,103375
202780,@,103382,103381
202781,@,103383,103381
202782,@,103384,103381
202783,@,103385,103381
202784,@,103386,103381
202785,@,103387,103386
202786,@,103388,103386
202787,@,103389,103386
202788,@,103390,107903
202789,@,103391,107903
202790,@,103392,103381
202791,@,103393,103381
202792,@,103394,103392
202793,@,103395,103381
202794,@,103396,103375
202795,@,103397,103372
202796,@,103398,103397
202797,@,103399,103375
202798,@,103400,103375
202799,@,103402,103403
202800,@,103403,103328
202801,@,103404,103402
202802,@,103405,103404
202803,@,103406,103404
202804,@,103407,103406
202805,@,103408,103404
202806,@,103409,103402
202807,@,103410,103402
202808,@,103411,103402
202809,@,103412,103402
202810,@,103413,103327
202811,@,103414,103328
202812,@,103415,103414
202813,@,103416,103375
202814,@,103417,103416
202815,@,103418,103327
202816,@,103419,103418
202817,@,103420,103419
202818,@,103421,103419
202819,@,103423,103419
202820,@,103424,103423
202821,@,103425,103327
202822,@,103426,103425
202823,@,103427,103426
202824,@,103428,103425
202825,@,103429,103428
202826,@,103430,103428
202827,@,103431,103428
202828,@,103432,104031
202829,@,103433,103428
202830,@,103434,103428
202831,@,103435,103428
202832,@,103436,103425
202833,@,103437,103436
202834,@,103438,103316
202835,@,103439,103476
202836,@,103440,103438
202837,@,103441,103440
202838,@,103442,103440
202839,@,103444,108374
202840,@,103445,106481
202841,@,103446,106481
202842,@,103447,103440
202843,@,103448,103447
202844,@,103449,107694
202845,@,103450,103428
202846,@,103451,103440
202847,@,103452,103439
202848,@,103453,103439
202849,@,103454,103439
202850,@,103455,103453
202851,@,103456,103455
202852,@,103457,103453
202853,@,103458,103455
202854,@,103459,103455
202855,@,103460,103455
202856,@,103461,106452
202857,@,103462,103455
202858,@,103463,103316
202859,@,103465,103455
202860,@,103466,103438
202861,@,103467,103466
202862,@,103468,103440
202863,@,103469,103466
202864,@,103470,103466
202865,@,103472,103471
202866,@,103473,103466
202867,@,103474,103466
202868,@,103475,103466
202869,@,103476,103466
202870,@,103478,103477
202871,@,103479,103477
202872,@,103480,103466
202873,@,103481,103477
202874,@,103482,103477
202875,@,103483,103477
202876,@,103484,103477
202877,@,103485,103477
202878,@,103486,103477
202879,@,103487,136962
202880,@,103488,103489
202881,@,103489,103328
202882,@,103490,103489
202883,@,103491,103489
202884,@,103492,103488
202885,@,103493,103488
202886,@,103494,160373
202887,@,103495,103488
202888,@,103496,103488
202889,@,103497,103496
202890,@,103499,103498
202891,@,103500,103498
202892,@,103501,103498
202893,@,103502,103498
202894,@,103503,103498
202895,@,103504,160308
202896,@,103505,160308
202897,@,103506,160308
202898,@,103507,160308
202899,@,103508,160308
202900,@,103509,160308
202901,@,103510,103496
202902,@,103511,103510
202903,@,103512,103511
202904,@,103513,103510
202905,@,103514,103510
202906,@,103515,103488
202907,@,103516,103488
202908,@,103517,103488
202909,@,103518,103488
202910,@,103520,103489
202911,@,103521,103520
202912,@,103522,103521
202913,@,103523,103520
202914,@,103524,103537
202915,@,103525,103523
202916,@,103526,103523
202917,@,103527,103525
202918,@,103528,103523
202919,@,103529,103523
202920,@,103530,103489
202921,@,103531,103530
202922,@,103532,103520
202923,@,103533,107735
202924,@,103534,103533
202925,@,103535,103533
202926,@,103536,103533
202927,@,103537,103489
202928,@,103538,103537
202929,@,103539,103537
202930,@,103541,103488
202931,@,103542,103541
202932,@,103543,103488
202933,@,103544,108159
202934,@,103545,103489
202935,@,103546,103328
202936,@,103547,103546
202937,@,103548,103546
202938,@,103549,103546
202939,@,103550,103546
202940,@,103551,103550
202941,@,103552,103550
202942,@,103553,103550
202943,@,103554,103546
202944,@,103555,103554
202945,@,103556,103546
202946,@,103557,107862
202947,@,103558,107881
202948,@,103559,107862
202949,@,103560,107862
202950,@,103562,103561
202951,@,103563,103328
202952,@,103564,103328
202953,@,103565,103564
202954,@,103566,103565
202955,@,103567,103565
202956,@,103569,103567
202957,@,103570,103569
202958,@,103571,103570
202959,@,103572,103567
202960,@,103573,104276
202961,@,103575,103574
202962,@,103576,103565
202963,@,103577,103565
202964,@,103578,103565
202965,@,103579,103565
202966,@,103580,103564
202967,@,103581,103564
202968,@,103582,103523
202969,@,103583,103328
202970,@,103584,103583
202971,@,103585,103583
202972,@,103586,103332
202973,@,103587,103586
202974,@,103588,103586
202975,@,103589,108265
202976,@,103590,103589
202977,@,103591,105560
202978,@,103592,105560
202979,@,103593,105560
202980,@,103594,105560
202981,@,103596,105560
202982,%p,103596,107601
202983,@,103597,105560
202984,@,103598,103597
202985,@,103599,103596
202986,@,103600,103599
202987,@,103601,103596
202988,@,103602,103583
202989,@,103603,103583
202990,@,103604,103328
202991,@,103605,103604
202992,@,103606,103604
202993,@,103607,103605
202994,@,103608,103607
202995,@,103609,103607
202996,@,103610,103604
202997,@,103611,103610
202998,@,103612,103610
202999,@,103613,103604
203000,@,103614,103604
203001,@,103616,103614
203002,@,103617,103614
203003,@,103618,103614
203004,@,103619,103614
203005,@,103620,103614
203006,@,103621,103614
203007,@,103622,103614
203008,@,103623,103614
203009,@,103624,103623
203010,@,103625,103623
203011,@,103626,103623
203012,@,103627,103623
203013,@,103628,103623
203014,@,103629,103623
203015,@,103630,103623
203016,@,103631,103623
203017,@,103632,103623
203018,@,103633,103623
203019,@,103634,103630
203020,@,103635,103623
203021,@,103637,103623
203022,@,103638,103446
203023,@,103639,103638
203024,@,103640,103638
203025,@,103641,103640
203026,@,103642,103638
203027,@,103643,103638
203028,@,103644,103643
203029,@,103645,103638
203030,@,103646,103638
203031,@,103647,103638
203032,@,103648,103638
203033,@,103649,103638
203034,@,103650,103638
203035,@,103651,103638
203036,@,103652,103604
203037,@,103653,103652
203038,@,103654,103653
203039,@,103655,103652
203040,@,103656,103652
203041,@,103658,103657
203042,@,103659,103657
203043,@,103660,103659
203044,@,103661,103604
203045,@,103662,103661
203046,@,103663,103661
203047,@,103665,103661
203048,@,103666,103661
203049,@,103667,103661
203050,@,103668,103604
203051,@,103669,103604
203052,@,103671,106799
203053,@,103672,106799
203054,@,103672,103669
203055,@,103673,103669
203056,@,103674,106799
203057,@,103675,103669
203058,@,103676,103669
203059,@,103677,103669
203060,@,103678,106675
203061,@,103679,103604
203062,@,103680,103679
203063,@,103681,103679
203064,@,103682,103679
203065,@,103683,103679
203066,@,103684,105040
203067,@,103685,103604
203068,@,103686,103617
203069,@,103687,103854
203070,@,103688,103687
203071,@,103689,103688
203072,@,103691,103604
203073,@,103692,103604
203074,%p,103692,103697
203075,@,103693,103692
203076,@,103694,103692
203077,@,103695,103692
203078,@,103696,103695
203079,@,103697,107987
203080,@,103698,103692
203081,@,103699,103692
203082,@,103700,103693
203083,@,103701,103692
203084,@,103702,108109
203085,@,103703,103692
203086,@,103704,103328
203087,@,103705,103704
203088,@,103706,103705
203089,@,103707,103706
203090,@,103708,103704
203091,@,103709,103704
203092,@,103711,103710
203093,@,103712,106481
203094,@,103713,103789
203095,@,103714,103343
203096,@,103715,103343
203097,@,103716,103343
203098,@,103717,103327
203099,@,103718,106481
203100,@,103719,106481
203101,@,103720,103705
203102,@,103721,103705
203103,@,103722,103705
203104,@,103723,103709
203105,@,103724,103709
203106,@,103725,103724
