id,lemma,synset,period,genre,notes
5,21832,116704,,,
6,22045,179487,,,
7,23339,211305,,,
8,23355,128605,,,
9,23320,172354,,,
10,23320,181222,,,
11,23320,177065,,,
12,23320,177066,,,
13,23320,177067,,,
14,23320,177551,,,
15,23320,181168,,,
16,23320,178353,,,
17,23320,174391,,,
18,23320,177183,,,
19,23475,170376,,,
20,23475,170253,,,
21,23475,169998,,,
22,23475,170998,,,
23,23581,173154,,,
24,23581,173155,,,
25,23581,172598,,,
27,23715,116704,,,
28,29058,130978,,,
30,40494,131127,,,
31,46409,211224,,,
33,46409,211223,,,
34,99228,172864,,,
35,99228,172865,,,
37,99228,172838,,,
38,99228,173351,,,
40,99241,171978,,,
41,99241,176803,,,
43,99572,129482,,,
44,111186,147941,,,
45,133201,174107,,,
47,133289,171954,,,
48,133270,169739,,,
50,21130,134369,,,
51,23403,163724,,,
53,23403,136862,,,
54,23403,163711,,,
55,19243,137954,,,
57,19243,135943,,,
58,19243,137768,,,
60,19243,137969,,,
61,19243,126770,,,
63,19243,125919,,,
66,22937,171938,,,
65,22139,170337,,,
67,22937,180843,,,
69,62802,185440,,,
70,62802,187719,,,
72,138773,148130,,,
73,24753,133637,,,
74,19120,137732,,,
75,19123,172711,,,
76,19123,177096,,,
77,19123,172681,,,
78,19123,177107,,,
79,19245,181989,,,
80,19245,189702,,,
2,19120,137732,,,
81,19245,183208,,,
82,19245,191690,,,
83,19245,185935,,,
84,19245,191183,,,
85,19245,182134,,,
86,19245,193270,,,
87,19245,192541,,,
88,19245,186142,,,
90,19245,189892,,,
91,19244,170182,,,
92,19241,188980,,,
93,19241,191389,,,
94,19241,185980,,,
95,19241,191265,,,
96,19241,190015,,,
97,19241,188538,,,
98,19241,190011,,,
99,19241,188540,,,
100,19241,188543,,,
101,19241,183269,,,
102,19241,191269,,,
103,19241,187719,,,
104,19241,190026,,,
105,19241,195692,,,
106,19241,181646,,,
107,19241,194319,,,
108,19241,195989,,,
3,20802,147849,,,
111,19241,188155,,,
112,19241,181631,,,
113,19241,193735,,,
114,19241,192257,,,
116,19241,188294,,,
117,19241,194858,,,
118,19241,194859,,,
119,19241,183212,,,
120,19241,185936,,,
121,19241,185937,,,
122,19241,183097,,,
123,19241,192893,,,
124,20073,165013,,,
125,20073,147214,,,
126,20073,138074,,,
127,20073,138009,,,
128,20073,137691,,,
129,20073,125846,,,
130,19622,137857,,,
131,19622,137826,,,
132,19622,137859,,,
133,19622,126384,,,
134,19622,137913,,,
135,19622,125846,,,
137,19622,137758,,,
138,19752,145477,,,
139,19798,163841,,,
140,19871,177327,,,
141,19871,180380,,,
142,19871,174391,,,
143,20155,126209,,,
144,20155,127470,,,
145,20155,165360,,,
146,20155,126770,,,
147,20155,127476,,,
148,20155,105912,,,
149,20155,127449,,,
150,20155,126205,,,
151,20155,125919,,,
152,20154,176357,,,
153,20154,179481,,,
154,20154,174932,,,
155,20154,173785,,,
156,20154,170330,,,
158,20151,185029,,,
159,20151,185639,,,
160,20151,183208,,,
161,20151,187719,,,
162,20151,187815,,,
163,20151,187864,,,
164,20151,190026,,,
165,20151,183213,,,
166,20151,194858,,,
167,20151,194859,,,
168,20151,195692,,,
169,20151,185649,,,
170,20151,189202,,,
171,20151,187161,,,
172,20151,187480,,,
173,20151,185657,,,
174,20151,188155,,,
175,20158,137799,,,
176,20564,188608,,,
177,20564,183269,,,
179,20564,183347,,,
180,20564,188606,,,
181,20564,186879,,,
182,20563,175442,,,
183,20562,177160,,,
184,20562,169610,,,
185,20562,178106,,,
186,20557,177096,,,
187,20557,177267,,,
188,20557,171125,,,
189,20557,172679,,,
190,20574,138074,,,
191,20611,211322,,,
192,20611,209147,,,
193,20611,209660,,,
194,20611,125851,,,
195,20611,149139,,,
196,20802,147849,,,
197,20802,147850,,,
198,21284,172004,,,
200,21284,178634,,,
201,21284,171850,,,
202,21284,172205,,,
203,21284,180815,,,
204,21284,171826,,,
205,21284,180791,,,
110,19241,192440,,,
208,21284,171976,,,
209,21284,171818,,,
210,21284,173322,,,
211,21284,171823,,,
213,21284,173049,,,
214,21284,172206,,,
215,21284,170870,,,
216,21284,169558,,,
217,21396,177058,,,
218,21396,170440,,,
219,21396,177128,,,
220,21396,177160,,,
221,21396,177291,,,
222,21396,170253,,,
223,21396,169998,,,
224,21396,177169,,,
225,21396,177204,,,
226,21396,177118,,,
227,21396,177048,,,
228,21396,177053,,,
229,21396,174590,,,
230,21831,178810,,,
231,21831,178811,,,
232,21831,181406,,,
234,21889,180354,,,
235,21889,171762,,,
236,21889,170644,,,
237,21889,169950,,,
238,21889,177941,,,
239,21889,169943,,,
240,21889,171708,,,
241,21889,171198,,,
242,22045,179487,,,
243,22790,172354,,,
244,22790,181222,,,
245,22790,177065,,,
246,22790,177066,,,
247,22790,177067,,,
248,22790,177551,,,
249,22790,177052,,,
250,23339,211305,,,
251,23355,128605,,,
252,23320,172354,,,
253,23320,181222,,,
255,23320,177066,,,
256,23320,177067,,,
257,23320,177551,,,
258,23320,181168,,,
259,23320,178353,,,
260,23320,174391,,,
261,23320,177183,,,
262,23475,170376,,,
263,23475,169998,,,
264,23475,170998,,,
265,23475,169913,,,
266,23475,170186,,,
267,23475,171324,,,
268,23475,170995,,,
269,23475,170253,,,
270,23581,173154,,,
271,23581,173155,,,
272,23581,172598,,,
273,23714,186533,,,
274,23715,116704,,,
276,23742,180744,,,
277,23742,180745,,,
278,23742,181011,,,
279,23742,181015,,,
280,23742,181275,,,
281,23742,181020,,,
282,23742,181277,,,
283,23742,178083,,,
284,23742,178084,,,
285,23742,172330,,,
286,23742,181296,,,
287,23742,178097,,,
288,23742,171957,,,
289,23742,172220,,,
290,23742,169668,,,
291,23742,172617,,,
292,23742,180046,,,
293,23742,171215,,,
294,23742,177103,,,
295,23742,177124,,,
297,23742,180839,,,
298,23742,180842,,,
299,23742,180843,,,
300,23742,171893,,,
301,23742,170231,,,
302,23841,173193,,,
207,21284,178684,,,
305,23841,172382,,,
306,23924,192546,,,
307,23924,188771,,,
308,23924,187719,,,
310,23924,195692,,,
311,23924,194613,,,
312,23924,195989,,,
313,23924,187864,,,
314,23924,185017,,,
315,23924,193114,,,
316,23924,187163,,,
317,23924,188765,,,
318,23924,188155,,,
319,24021,137690,,,
320,24021,105914,,,
321,24021,127677,,,
322,24021,125846,,,
323,24528,177216,,,
324,24528,180610,,,
325,24528,179274,,,
326,24528,174255,,,
327,24528,170991,,,
328,24528,179600,,,
329,24528,172788,,,
331,24528,176441,,,
332,24528,172859,,,
333,24528,169439,,,
334,24753,133637,,,
335,24805,211325,,,
336,25161,177216,,,
337,25161,177160,,,
338,25161,177161,,,
339,25161,177176,,,
340,25161,179263,,,
341,25161,177151,,,
342,25932,103296,,,
343,25932,163616,,,
344,25932,128258,,,
345,25932,163820,,,
346,25932,163597,,,
347,25932,126260,,,
348,25932,163613,,,
349,26558,171038,,,
350,26602,191269,,,
352,26602,193175,,,
353,26602,182140,,,
354,26602,188543,,,
355,26766,172687,,,
356,26766,179921,,,
357,26766,172679,,,
358,26766,174107,,,
359,26824,179137,,,
360,26824,172679,,,
361,26824,177096,,,
362,26824,172686,,,
363,26824,172687,,,
364,26824,172752,,,
365,26824,172209,,,
366,26824,177107,,,
367,26824,179134,,,
368,26914,126476,,,
369,26869,177780,,,
370,26869,175333,,,
371,26869,173639,,,
373,26907,170897,,,
374,26907,180149,,,
375,26907,176441,,,
376,26907,176443,,,
377,26907,173137,,,
378,26907,173419,,,
379,26907,172477,,,
380,26907,172783,,,
381,27214,125978,,,
382,27349,174799,,,
383,27349,175105,,,
384,27331,125864,,,
385,27331,125862,,,
386,27331,126976,,,
387,27331,130917,,,
388,27331,127085,,,
389,27331,125849,,,
390,27331,126975,,,
391,27331,125869,,,
392,27331,125870,,,
394,27331,150798,,,
395,27331,125875,,,
396,27331,126837,,,
397,27331,125878,,,
398,27331,127656,,,
399,27331,126827,,,
304,23841,177118,,,
402,27316,177096,,,
403,27316,177098,,,
404,27316,172687,,,
405,27316,177107,,,
407,27807,137454,,,
408,27989,137691,,,
409,28111,173429,,,
410,29058,130978,,,
411,31740,129666,,,
412,34920,177100,,,
413,40494,131127,,,
414,41616,134179,,,
415,41616,136135,,,
416,41616,136136,,,
417,41616,136137,,,
418,41616,127434,,,
419,41616,123851,,,
420,41616,136521,,,
421,41616,136575,,,
422,41616,107633,,,
423,41616,134166,,,
424,41616,133687,,,
425,41616,127449,,,
426,41616,134394,,,
428,43664,170264,,,
429,46409,211224,,,
430,46409,211222,,,
431,46409,211223,,,
432,51396,175105,,,
433,53755,188543,,,
434,53755,187767,,,
435,57955,191601,,,
436,58240,171763,,,
437,58240,175608,,,
438,97951,104978,,,
439,97951,141126,,,
440,98800,147214,,,
441,98800,128146,,,
442,98800,137876,,,
443,98800,137878,,,
444,98800,128246,,,
445,98800,125846,,,
446,98800,138009,,,
447,99218,127105,,,
449,99218,148997,,,
450,99218,148017,,,
451,99218,149619,,,
452,99218,134166,,,
453,99228,172864,,,
454,99228,172865,,,
455,99228,173700,,,
456,99228,172838,,,
457,99228,173351,,,
458,99228,172881,,,
459,99241,171978,,,
460,99241,176803,,,
461,99241,178949,,,
462,99365,144922,,,
463,99461,141163,,,
464,99461,130332,,,
465,99572,129482,,,
466,101163,142656,,,
467,101163,142655,,,
468,111186,147941,,,
470,132258,177098,,,
471,132258,172868,,,
472,132258,172679,,,
473,132549,171044,,,
474,132549,170661,,,
475,133201,174107,,,
476,133285,129666,,,
477,133289,171954,,,
478,27064,163584,,,
479,27064,126211,,,
480,27064,126212,,,
481,27064,165928,,,
482,27064,106538,,,
483,27064,165930,,,
484,27064,128146,,,
485,27064,163541,,,
486,133270,169739,,,
487,133270,211197,,,
488,21130,134369,,,
489,23842,177123,,,
491,23403,163725,,,
492,23403,136862,,,
493,23403,163711,,,
494,23403,127684,,,
495,23403,104669,,,
496,19243,137954,,,
401,27316,172679,,,
497,19243,137764,,,
544,24934,107168,,,
26,23714,186533,,,
499,19243,137768,,,
500,19243,125902,,,
501,19243,137969,,,
502,19243,126770,,,
503,19243,165368,,,
504,19243,125919,,,
505,20022,169174,,,
506,20160,177048,,,
507,20160,177044,,,
508,20160,177295,,,
510,22139,170337,,,
511,22937,171938,,,
512,22937,180843,,,
513,22937,172615,,,
514,25168,130905,,,
515,25168,165924,,,
516,25820,162815,,,
517,26362,180129,,,
518,26362,173349,,,
519,26362,179077,,,
520,26362,181005,,,
521,26362,174255,,,
522,26362,173137,,,
523,26362,173273,,,
524,26362,180859,,,
525,26362,180540,,,
526,26362,179261,,,
527,27916,104669,,,
528,27916,141174,,,
529,27916,137859,,,
530,27916,141166,,,
531,27916,163724,,,
532,27916,137090,,,
533,19621,180842,,,
534,19621,180843,,,
535,19621,181118,,,
536,62802,185440,,,
537,62802,187719,,,
538,22214,211176,,,
539,138773,148130,,,
541,23484,173363,,,
542,23484,173115,,,
543,23484,173132,,,
540,139129,130929,,,
545,24934,107179,,,
546,42465,182724,,,
4,20802,147850,,,
509,20345,130357,6,,
29,31740,129666,,,
32,46409,211222,,,
36,99228,173700,,,
39,99228,172881,,,
42,99241,178949,,,
46,133285,129666,,,
49,133270,211197,,,
52,23403,163725,,,
56,19243,137764,,,
59,19243,125902,,,
62,19243,165368,,,
68,22937,172615,,,
71,22214,211176,,,
89,19245,189907,,,
109,19241,182134,,,
115,19241,190018,,,
136,19622,130329,,,
157,20151,192257,,,
178,20564,185999,,,
199,21284,180806,,,
206,21284,178683,,,
212,21284,173456,,,
233,21832,116704,,,
254,23320,177065,,,
275,23742,178055,,,
296,23742,180837,,,
303,23841,177123,,,
309,23924,190026,,,
330,24528,178229,,,
351,26602,193168,,,
372,26907,170888,,,
393,27331,130979,,,
400,27316,181062,,,
406,27676,142937,,,
427,41616,134519,,,
448,99218,130307,,,
469,132258,172208,,,
490,23403,163724,,,
498,19243,135943,,,
