id,lemma,synset,period,genre,notes
2,19117,136508,,,
3,19117,136706,,,
4,19117,104057,,,
6,19118,179477,,,
7,19118,179134,,,
8,19118,172209,,,
9,19118,179920,,,
10,19118,175746,,,
11,19119,178747,,,
13,19119,179083,,,
14,19119,178755,,,
15,19119,178753,,,
16,19120,129805,,,
17,19122,165529,,,
18,19122,137753,,,
20,19124,175951,,,
21,19124,177268,,,
22,19125,152660,,,
23,19125,124073,,,
24,19125,124074,,,
25,19125,123657,,,
27,19127,169790,,,
28,19127,178103,,,
29,19127,179825,,,
30,19127,175921,,,
31,19127,175746,,,
32,19128,103375,,,
34,19130,174384,,,
35,19131,198678,,,
36,19133,174255,,,
37,19133,179261,,,
38,19133,179274,,,
39,19134,176061,,,
41,19134,171369,,,
42,19114,146971,,,
43,19135,104253,,,
44,19135,161619,,,
45,19136,161328,,,
46,19137,152092,,,
48,19139,179134,,,
49,19139,179043,,,
50,19140,172751,,,
51,19140,179134,,,
52,19140,179043,,,
53,19141,176441,,,
55,19141,172691,,,
56,19141,176193,,,
57,19142,171166,,,
58,19142,171348,,,
59,19142,178793,,,
60,19143,133455,,,
62,19144,134918,,,
63,19144,144477,,,
64,19144,117962,,,
65,19147,104163,,,
66,19147,136976,,,
67,19148,169587,,,
69,19149,104163,,,
70,19149,136976,,,
71,19151,170892,,,
72,19151,169472,,,
73,19152,175756,,,
74,19153,172691,,,
76,19153,170042,,,
77,19153,179920,,,
78,19154,180956,,,
79,19154,180761,,,
80,19154,180149,,,
81,19154,176181,,,
83,19154,170897,,,
84,19154,170890,,,
85,19154,170888,,,
86,19154,180548,,,
87,19154,174948,,,
88,19154,176163,,,
90,19155,200736,,,
91,19156,107669,,,
92,19156,104810,,,
93,19158,168572,,,
94,19158,168571,,,
95,19158,108374,,,
97,19158,103375,,,
98,19158,164935,,,
99,19158,137127,,,
100,19159,180761,,,
101,19159,170027,,,
102,19159,170890,,,
104,19159,176163,,,
105,19160,174949,,,
106,19160,176163,,,
107,19160,180761,,,
109,19162,136041,,,
110,19163,201150,,,
111,19165,108374,,,
113,19165,163648,,,
114,19167,154085,,,
115,19167,140267,,,
116,19167,154081,,,
117,19168,163373,,,
118,19169,181004,,,
120,19169,180707,,,
121,19173,179894,,,
122,19173,179201,,,
123,19173,175777,,,
124,19170,199395,,,
125,19170,199390,,,
127,19171,165595,,,
128,19171,108195,,,
129,19171,165601,,,
130,19172,191414,,,
131,19172,184545,,,
132,19174,184516,,,
134,19175,176082,,,
