25,140678,,,
561853,56711,160631,,,
561858,56711,130541,,,
561862,56711,128228,,,
561869,56711,126038,,,
561876,56711,103998,,,
561883,56711,108206,,,
561890,56711,165924,,,
561897,56711,106005,,,
561904,56711,142855,,,
561911,56739,141300,,,
561918,56739,140760,,,
561925,56739,141107,,,
561932,56739,120490,,,
561939,56740,151412,,,
561946,56695,125619,,,
561953,56695,206565,,,
561960,56706,104101,,,
561965,56685,120061,,,
561969,56685,160332,,,
561976,56685,141121,,,
561983,56685,144409,,,
561990,56684,192382,,,
561997,56684,189166,,,
562004,56684,192472,,,
562011,56684,190030,,,
562018,56684,192400,,,
562025,56684,190992,,,
562032,56684,192392,,,
562039,56684,192386,,,
562046,56689,178161,,,
562053,56689,176088,,,
562060,56689,178117,,,
562067,56689,171931,,,
562072,56689,169836,,,
562076,56689,171871,,,
562083,56689,175948,,,
562090,56689,175920,,,
562097,56689,171799,,,
562104,56689,171066,,,
562111,56689,173043,,,
562118,56689,181199,,,
562125,56689,177081,,,
562132,56689,170902,,,
562139,56689,177029,,,
562146,56689,170867,,,
562153,56689,176976,,,
562160,56689,174891,,,
562167,56689,178950,,,
562174,56689,174847,,,
562179,56689,180980,,,
562183,56689,180940,,,
562190,56689,176795,,,
562197,56689,180866,,,
562204,56689,176736,,,
562211,56689,174654,,,
562218,56689,172573,,,
562225,56689,172552,,,
562232,56689,176609,,,
562239,56689,172476,,,
562246,56689,178600,,,
562253,56689,176536,,,
562260,56689,176526,,,
562267,56689,180596,,,
562274,56689,174440,,,
562281,56689,176437,,,
562286,56689,176413,,,
562290,56689,180504,,,
562297,56689,172264,,,
562304,56689,178369,,,
562311,56689,171770,,,
562318,56689,175814,,,
562325,56689,175767,,,
562332,56689,179797,,,
562339,56689,175673,,,
562346,56689,175660,,,
562353,56689,171520,,,
562360,56689,169425,,,
562367,56689,173456,,,
562374,56689,169334,,,
562381,56689,179528,,,
562388,56689,175386,,,
562393,56689,175368,,,
562397,56689,175320,,,
562404,56689,175228,,,
562411,56689,175201,,,
562418,56689,178352,,,
562425,56689,174220,,,
562432,56689,170119,,,
562439,56689,176231,,,
562446,56689,174127,,,
562453,56689,176144,,,
562460,56719,180596,,,
562467,56719,169834,,,
562474,56719,179797,,,
562481,56719,176446,,,
562488,56719,176927,,,
562495,56719,180504,,,
562500,56719,178192,,,
562504,56719,169352,,,
562511,56672,199543,,,
562518,56726,195308,,,
562525,56726,195297,,,
562532,56726,194393,,,
562539,56726,191687,,,
562546,56726,188723,,,
562553,56726,189721,,,
562560,56691,192443,,,
562567,56691,191251,,,
703386,39414,181894,,,
703393,54203,127949,,,
703400,25224,173698,,,
703407,133021,172739,,,
703414,38720,133225,,,
703419,38720,103745,,,
703423,99470,193654,,,
703430,99470,182750,,,
703437,99470,190147,,,
703444,99470,187786,,,
703451,31433,183886,,,
703458,50323,187350,,,
703465,25262,150978,,,
703472,32975,181753,,,
703479,32975,185821,,,
703486,32975,187347,,,
703493,32975,183243,,,
703500,32975,182712,,,
703507,32975,187814,,,
703514,32975,187769,,,
703521,32975,186223,,,
703526,32975,185696,,,
703530,32975,182083,,,
703537,32975,193336,,,
703544,32975,194858,,,
703551,32975,183075,,,
703558,32975,185631,,,
703565,32975,183063,,,
703572,32975,191246,,,
703579,32975,192254,,,
703586,32975,192744,,,
703593,32975,184018,,,
703600,32975,194222,,,
703607,32975,187517,,,
703614,32975,182887,,,
703621,32975,193605,,,
703628,32975,185396,,,
703633,32975,184359,,,
703637,32975,183840,,,
703644,32975,192010,,,
703651,25290,199184,,,
703658,25304,126018,,,
703665,132590,179689,,,
703672,132590,179169,,,
703679,132590,176575,,,
703686,132590,169882,,,
703693,132590,180621,,,
703700,132590,174464,,,
703707,132590,169834,,,
703714,132590,176952,,,
703721,132590,180511,,,
703728,132590,179959,,,
703735,132590,180960,,,
703740,132590,173784,,,
703744,132590,179901,,,
703751,132590,179341,,,
703758,132590,180328,,,
703765,132590,175673,,,
703772,132590,180756,,,
703779,25314,150106,,,
703786,38215,171901,,,
580836,62490,210527,,,
580843,62498,210535,,,
580850,62507,210543,,,
580857,62515,210551,,,
580864,62523,210557,,,
580871,62530,210563,,,
580878,62538,210570,,,
580885,62546,208904,,,
580892,62553,210581,,,
580899,62565,210591,,,
580904,62570,206984,,,
580908,62574,210597,,,
580915,62583,210605,,,
580922,62590,210612,,,
580929,62598,210618,,,
580936,62606,206984,,,
580943,62613,210629,,,
580950,62621,210634,,,
580957,62629,210639,,,
580964,62636,210646,,,
580971,62644,210652,,,
580978,62652,210660,,,
580985,62662,206984,,,
580992,62669,210674,,,
581006,62684,210688,,,
581015,62696,210697,,,
581022,62703,210702,,,
581029,62710,206934,,,
581036,62719,210713,,,
581043,62727,207997,,,
581050,62734,210721,,,
581057,62742,206984,,,
581064,62750,210679,,,
581071,62757,210736,,,
581078,62765,210741,,,
581085,62773,210749,,,
581092,62780,210755,,,
581099,97500,132845,,,
581106,97500,127186,,,
581113,97500,128437,,,
581118,97500,165651,,,
581122,97500,103298,,,
581129,97499,195132,,,
581136,97499,182348,,,
581143,97499,183271,,,
581150,97485,175586,,,
581157,97485,175052,,,
581164,97485,175044,,,
581171,97485,179110,,,
581178,97485,170890,,,
581185,97485,170337,,,
581192,97485,170308,,,
581199,97485,177956,,,
581206,97485,177945,,,
581213,97485,169737,,,
581220,97485,180979,,,
581225,97485,180959,,,
581229,97485,170684,,,
581236,97485,171180,,,
581243,97485,178326,,,
581250,97485,171633,,,
581257,97485,178239,,,
581264,97485,170039,,,
581271,97485,172068,,,
581278,97485,180761,,,
581285,97504,115847,,,
581292,97510,174044,,,
581299,97510,172987,,,
581306,97510,180626,,,
581313,97510,173426,,,
581320,97510,170827,,,
581327,97510,175400,,,
581332,97510,173840,,,
581336,97510,175871,,,
581343,97510,179919,,,
581350,97510,176294,,,
581357,97510,172144,,,
581364,97510,172613,,,
581371,97510,179242,,,
581378,97513,172020,,,
581385,97513,175600,,,
581392,97513,175575,,,
581399,97513,171467,,,
581406,97513,178117,,,
581413,97513,177081,,,
581420,97513,180139,,,
581427,97513,180130,,,
581434,97513,178058,,,
581439,97513,179069,,,
581443,97513,174962,,,
581450,97513,169834,,,
581457,97513,181086,,,
581464,97513,174417,,,
581471,97513,179013,,,
581478,97513,170812,,,
581485,97513,171820,,,
581492,97513,181020,,,
581499,97513,180488,,,
581506,97513,175873,,,
581513,97513,173815,,,
581520,97513,180453,,,
581527,97513,172245,,,
581534,97513,180425,,,
581541,97513,170175,,,
581546,97513,174258,,,
581550,97513,174250,,,
581557,97513,172182,,,
581564,97513,177283,,,
581571,97513,179317,,,
581578,97513,179812,,,
581585,97513,171592,,,
581592,97513,173617,,,
581599,97513,177181,,,
581606,97513,205840,,,
581613,97513,173575,,,
581620,97514,173164,,,
581627,97514,173405,,,
581634,97514,172505,,,
581641,97514,173139,,,
581648,97514,172233,,,
581653,97514,173137,,,
581657,97514,172446,,,
581664,97514,173831,,,
581671,97520,121324,,,
581678,97520,148571,,,
581685,97520,143567,,,
581692,97520,149315,,,
581699,97520,206396,,,
581706,97520,149301,,,
581713,97520,151440,,,
581720,97521,151931,,,
581727,97521,108390,,,
581734,97521,125787,,,
581741,97521,104781,,,
581748,97521,146884,,,
581755,97521,113080,,,
581760,97521,136878,,,
581764,97521,159776,,,
581771,97521,162960,,,
581778,97521,107009,,,
581785,97525,162629,,,
581792,97526,178167,,,
581799,97526,174057,,,
581806,97526,180198,,,
581813,97526,171990,,,
581820,97526,172489,,,
581827,97526,175550,,,
581834,97526,180142,,,
581841,97526,179616,,,
581848,97526,181136,,,
581855,97526,171898,,,
581862,97526,174946,,,
581867,97526,170827,,,
581871,97526,179518,,,
581878,97526,171821,,,
581885,97526,179498,,,
581892,97526,178462,,,
581899,97526,172301,,,
581906,97526,173298,,,
581913,97526,176872,,,
581920,97526,173280,,,
581927,97526,172229,,,
581934,97526,172206,,,
581941,97526,173207,,,
581948,97526,180862,,,
581955,97526,173159,,,
581962,97526,176214,,,
581969,97526,172613,,,
581974,97526,171566,,,
581978,97526,179246,,,
581985,97526,173605,,,
581992,97526,180756,,,
581999,97526,175624,,,
582006,97527,133877,,,
582013,97527,108250,,,
582020,97527,149828,,,
582027,97527,146094,,,
582034,97527,130185,,,
582041,97529,176572,,,
582048,97529,176537,,,
582055,97529,173439,,,
582062,97529,180596,,,
582069,97529,171861,,,
582076,97529,172352,,,
582081,97529,172853,,,
582085,97529,178459,,,
582092,97529,170247,,,
582099,97529,169704,,,
582106,97529,180933,,,
582113,97529,174051,,,
582120,97529,171712,,,
582127,97529,169618,,,
582134,97529,172144,,,
582141,97529,173140,,,
582148,97529,181319,,,
582155,97529,180759,,,
582162,97531,174302,,,
582169,97532,175995,,,
582176,97532,175602,,,
582183,97532,180843,,,
582188,97532,170329,,,
582192,97532,174937,,,
582199,97532,179177,,,
582206,97532,177476,,,
582213,97532,179517,,,
582220,97532,173618,,,
582227,97532,172332,,,
582234,97532,178459,,,
582241,97532,172557,,,
582248,97532,180483,,,
582255,62788,210762,,,
582262,62795,210769,,,
582269,97535,147560,,,
582276,97535,148566,,,
582283,97535,147902,,,
582290,97535,149310,,,
582295,97535,165433,,,
582299,97535,149301,,,
582306,97535,151440,,,
582313,97542,174556,,,
582320,97542,170444,,,
582327,97542,169920,,,
582334,97542,174515,,,
582341,97542,178092,,,
582348,97542,169893,,,
582355,97542,178072,,,
582362,97542,181133,,,
582369,97542,172408,,,
582376,97542,171875,,,
582383,97542,179034,,,
582390,97542,179026,,,
582397,97542,169790,,,
582402,97542,179002,,,
582406,97542,172342,,,
582413,97542,171306,,,
582420,97542,180000,,,
582427,97542,172311,,,
582434,97542,172296,,,
582441,97542,179973,,,
582448,97542,169722,,,
582455,97542,179949,,,
582462,97542,171737,,,
582469,97542,176841,,,
582476,97542,177858,,,
582483,97542,171700,,,
582490,97542,175769,,,
582497,97542,174226,,,
582504,97542,172163,,,
582509,97542,177787,,,
582513,97542,173174,,,
582520,97542,175189,,,
582527,97542,169976,,,
582534,97542,170985,,,
582541,97542,171601,,,
582548,97542,181319,,,
582555,97542,173628,,,
582562,97542,180785,,,
582569,97542,179235,,,
582576,97542,171014,,,
582582,97553,122481,,,
582590,97553,147368,,,
582597,97555,182726,,,
582604,97559,178683,,,
582611,97559,179689,,,
582616,97559,179172,,,
582620,97559,179167,,,
582627,97559,171989,,,
582634,97559,171961,,,
582641,97559,179129,,,
582648,97559,178598,,,
582655,97559,178589,,,
582662,97559,171907,,,
582669,97559,171894,,,
582676,97559,176493,,,
582683,97559,178521,,,
582690,97559,179029,,,
582697,97559,172364,,,
582704,97559,179002,,,
582711,97559,172331,,,
582718,97559,178459,,,
582723,97559,178449,,,
582727,97559,172292,,,
582734,97559,173307,,,
582741,97559,173288,,,
582748,97559,172252,,,
582755,97559,172229,,,
582762,97559,179382,,,
582769,97559,177325,,,
582776,97559,173222,,,
582783,97559,173208,,,
582790,97559,172163,,,
582797,97559,172153,,,
582804,97559,178777,,,
582811,97559,173648,,,
582818,97559,206409,,,
582825,97559,172090,,,
582830,97559,180785,,,
582834,97559,172584,,,
582841,97559,180254,,,
582848,97559,181263,,,
582855,97562,133877,,,
582862,97562,133974,,,
582869,97562,165817,,,
582876,97563,144890,,,
582883,97564,173493,,,
582890,97564,176537,,,
582897,97564,177541,,,
582904,97564,173418,,,
582911,97564,170825,,,
582918,97564,176432,,,
582925,97564,181023,,,
582932,97564,179698,,,
582937,97564,178145,,,
582941,97564,173809,,,
582948,97564,177355,,,
582955,97564,174250,,,
582962,97564,178323,,,
582969,97564,177768,,,
582976,97564,178728,,,
582983,97570,185413,,,
582990,97570,187878,,,
582997,97570,185815,,,
583004,97570,187342,,,
583011,97570,192452,,,
583018,97570,190909,,,
583025,97570,196019,,,
583032,97570,181671,,,
583039,97570,181660,,,
583044,97570,181645,,,
583048,97570,182162,,,
583055,97570,182155,,,
583062,97570,192898,,,
583069,97570,181629,,,
583076,97570,190326,,,
583083,97570,189796,,,
583090,97570,185165,,,
583097,97570,194869,,,
583104,97570,186143,,,
583111,97570,186128,,,
583118,97570,194315,,,
583125,97570,194308,,,
583132,97570,183548,,,
583139,97570,183541,,,
583146,97570,186603,,,
583151,97570,183009,,,
583155,97570,183517,,,
583162,97570,189133,,,
583169,97570,188606,,,
583176,97570,189091,,,
583183,97570,198281,,,
583190,97570,185981,,,
583197,97570,183916,,,
583204,97570,188516,,,
583211,97570,185949,,,
583218,97570,183883,,,
583225,97570,185932,,,
583232,97570,193605,,,
583239,97570,188980,,,
583246,97570,188449,,,
583253,97570,186383,,,
583258,97570,199184,,,
583262,97570,186888,,,
583269,97591,148308,,,
583276,97598,146936,,,
583283,97598,149478,,,
583290,97598,148566,,,
583297,97598,150958,,,
583304,97599,147363,,,
583311,97615,129761,,,
583318,97615,141126,,,
583325,97615,112048,,,
583332,97615,106399,,,
583339,97615,129805,,,
583346,97619,130825,,,
583353,97629,115130,,,
583360,97629,139430,,,
583365,97636,106680,,,
583369,97636,168786,,,
583376,97636,152416,,,
583383,97649,179149,,,
583390,97659,163565,,,
583397,97662,106228,,,
583404,97662,105724,,,
583411,97662,142773,,,
583418,97662,125969,,,
583425,97667,149311,,,
583432,97667,150567,,,
583439,97671,136211,,,
583446,97676,106253,,,
583453,97684,160883,,,
583460,97684,117085,,,
583467,97684,116311,,,
583472,97684,105548,,,
583476,97684,163268,,,
583483,97684,118077,,,
583490,97684,103600,,,
583497,97684,137512,,,
583504,97684,103695,,,
583511,97684,134531,,,
583518,97687,178543,,,
583525,97687,175966,,,
583532,97687,174546,,,
583539,97687,176558,,,
583546,97687,180910,,,
583553,97687,175637,,,
583560,97687,177430,,,
583567,97688,142329,,,
583574,97688,122834,,,
583579,97688,131513,,,
583583,97688,165810,,,
583590,97688,140678,,,
583597,97688,145220,,,
583604,97688,107786,,,
583611,97688,105724,,,
583618,97688,132828,,,
583625,97688,163515,,,
583632,97688,134801,,,
583639,97688,107619,,,
583646,97688,134723,,,
583653,97688,142881,,,
583660,97695,180201,,,
583667,97695,169939,,,
583674,97695,174009,,,
583681,97695,173953,,,
583686,97695,171834,,,
583690,97695,171827,,,
583697,97695,173842,,,
583704,97695,173816,,,
583711,97695,177885,,,
583718,97695,169615,,,
583725,97695,179838,,,
583732,97695,171593,,,
583739,97695,179747,,,
583746,97695,175600,,,
583753,97695,169406,,,
583760,97695,169324,,,
583767,97695,173309,,,
583774,97695,179417,,,
583781,97695,171147,,,
583788,97695,181346,,,
583793,97695,179288,,,
583797,97695,181319,,,
583804,97695,179211,,,
583811,97695,179180,,,
583818,97695,181207,,,
583825,97695,179138,,,
583832,97695,177080,,,
583839,97695,179063,,,
583846,97695,179040,,,
583853,97695,181081,,,
583860,97695,179025,,,
583867,97695,179014,,,
583874,97695,178989,,,
583881,97695,178950,,,
583888,97695,180954,,,
