498,praedetermino,v,v1spia--1-,praedetermin praedeterminau praedeterminat,,,[prae̯.deːˈtɛr.mɪ.noː],praedetermino,0
33517,33517,quantumlibet,r,rp--------,,,,[kʷan̪.'t̪ʊ.mlɪ.bɛt̪],quantumlibet,0
33506,33506,redormisco,v,v1spia--3-,redormisc - -,,,[rɛ.d̪ɔr.'mɪs.kɔ],redormisco,0
33541,a2924,arrodo,n,n-s---mn3-,arrod arros arros,,,['ar.rɔ.d̪ɔ],arrodo,0
112563,h0561,hordeius,a,aps---mn1-,hordei hordei hordei,,,['hɔrd̪.ejʊs],hordeius,0
33531,33531,blennius,n,n-s---mn2-,blenni,,,['blɛn̪.n̪ɪ̣.jʊs],blennius,0
112564,h0562,hordeolus,n,n-s---mn2-,hordeol,,,[hɔr.'d̪ɛ̣.jɔ.lʊs],hordeolus,0
33570,33570,alloco,v,v1spia--1-,alloc allocau allocat,,,[ˈal.lɔ.koː],alloco,0
112570,h0568,horiola,n,n-s---fn1-,horiol,,,[hɔ.'rɪ̣.jɔ.la],horiola,0
112573,h0570,horistice,n,n-s---fn1g,horistic,,,[hɔ.'rɪs.t̪ɪ.kɛ],horistice,0
33562,33562,apyros,n,n-s---fn1-,apyr apyr apyr,,,['a.py.rɔs],apyros,0
112577,h0573,hormiscion,n,n-s---nn2g,hormisci,,,[hɔr.'mɪs.kɪ̣.jɔn̪],hormiscion,0
112580,h0576,horologiarius,a,aps---mn1-,horologiari horologiari horologiari,,,[hɔ.rɔ.lɔ.gɪ̣.'ja.rɪ̣.jʊs],horologiarius,0
112582,h0578,horoscopica,n,n-s---fn1-,horoscopic,,,[hɔ.rɔs.'kɔ.pɪ.ka],horoscopica,0
112584,h0579,horoscopium,n,n-s---nn2-,horoscopi,,,[hɔ.rɔs.'kɔ.pɪ̣.jũː],horoscopium,0
112585,h0580,horoscopo,v,v1spia--1-,horoscop horoscopau horoscopa,,,[hɔ.'rɔs.kɔ.pɔ],horoscopo,0
33613,33613,artifex,a,aps---an3-,artific artific artific,,,[ˈar.tɪ.fɛks],artifex,0
