083,transportatio,n,n-s---fn3-,transportation,,,[t̪raːn̪s.pɔr.'t̪a.t̪ɪ̣.jɔ],transportatio,0
38967,t1093,transtineo,v,v1spia--2-,transtin - -,,,[trãːˈstɪ.ne.oː],transtineo,0
57724,t1102,transuenio,v,v1spia--4-,transuen transuen transuent,,,[trãːˈswɛ.ni.oː],transuenio,1
28722,t1105,transuersarius,a,aps---mn1-,transuersari transuersari transuersari,,,[t̪raːn̪.sʊ.jɛr.'sa.rɪ̣.jʊs],transuersarius,0
27842,t1473,trutino,v,v1spia--1-,trutin trutinau trutinat,,28933,['t̪rʊ.t̪ɪ.n̪ɔ],trutino,1
50653,,trigonus,a,aps---mn1-,trigon trigon trigon,,,/triˈɡoː.nus/,trigonus,0
31438,t1134,trecentesimus,a,aps---mn1-,trecentesim trecentesim trecentesim,,,[trɛ.kɛnˈteː.sɪ.mʊs],trecentesimus,0
40698,t1142,tremebundus,a,aps---mn1-,terti tern ter,,,[trɛ.mɛˈbʊn.dʊs],tremebundus,0
130491,t1152,trepidiarius,a,aps---mn1-,trepidiari trepidiari trepidiari,,,[t̪rɛ.pɪ.d̪ɪ̣.'ja.rɪ̣.jʊs],trepidiarius,0
130525,t8204,trichiasis,n,n-s---fn3i,trichias,,,[t̪rɪ.'kʰɪ̣.ja.sɪs],trichiasis,0
130540,t1216,tricliniarius,a,aps---mn1-,tricliniari tricliniari tricliniari,,,[t̪rɪ.klɪ.n̪ɪ̣.'ja.rɪ̣.jʊs],tricliniarius,0
130588,t1274,trigintasexuir,n,n-s---mn2r,trigintasexuir,,,[t̪rɪ.gɪn̪.t̪a.'sɛk.sujr],trigintasexuir,0
57773,t1299,trimenstris,a,aps---cn3i,trimenstr trimenstr trimenstr,,,[t̪rɪ.'meːn̪s.t̪rɪs],trimenstris,1
54027,t1333,tripectorus,a,aps---mn1-,tripector tripector tripector,,,[t̪rɪ.'pɛk.t̪ɔ.rʊs],tripectorus,0
29228,t1344,triplex,a,aps---an3i,triplic triplic triplic,,,[ˈtrɪ.pɫɛks],triplex,0
130648,t1345,triplicabilis,a,aps---cn3i,triplicabil triplicabil triplicabil,,,[t̪rɪ.plɪ.'ka.bɪ.lɪs],triplicabilis,0
37871,t1366,triremis,a,aps---cn3i,trirem trirem trirem,,,[trɪˈreː.mɪs],triremis,0
37932,t1391,trisulcus,a,aps---mn1-,trisulc trisulc trisulc,,,[t̪rɪ.'sʊɫ.kʊs],trisulcus,0
130463,t1124,trapezophorum,n,n-s---nn2-,trapezophor,,28930,[t̪ra.pɛz.'zɔ.pʰɔ.rũː],trapezophorum,0
130713,t1416,triumphator,n,n-s---mn3-,triumphator,,,[t̪rɪ̣.'jʊm.pʰa.t̪ɔr],triumphator,0
28353,t1423,triumuiralis,a,aps---cn3i,triumuiral triumuiral triumuiral,,,[t̪rɪ̣.jʊ.'muj.ra.lɪs],triumuiralis,0
27832,t1428,trochaeus,n,n-s---mn2-,trochae,,,['t̪rɔkʰews],trochaeus,1
27837,t1452,trucido,v,v1spia--1-,trucid trucidau trucidat,,,[trʊˈkiː.doː],trucido,1
130593,t1284,trihemitonion,n,n-s---nn2g,trihemitoni,,28931,[t̪rɪ.hɛ.mɪ.'t̪ɔ.n̪ɪ̣.jɔn̪],trihemitonion,0
130778,t1686,tubarius,n,n-s---mn2-,tubari,,,[t̪ʊ.'ba.rɪ̣.jʊs],tubarius,0
53453,t1695,tubilustrium,n,n-s---nn2-,tubilustri,,,[t̪ʊ.bɪ.'lʊs.t̪rɪ̣.jũː],tubilustrium,0
130805,t1716,tuguriunculum,n,n-s---nn2-,tuguriuncul,,,[t̪ʊ.gʷrɪ̣.'jʊ.ŋkʊ.ɫũː],tuguriunculum,0
27865,t1776,turbulentus,a,aps---mn1-,turbulent turbulent turbulent,,,[tʊr.bʊˈɫɛn.tʊs],turbulentus,1
31680,t1793,turilegus,a,aps---mn1-,turileg turileg turileg,,,['t̪ʊ.rɪ.lɛgʷs],turilegus,0
40044,t1803,turpificatus,a,aps---mn1-,turpificat turpificat turpificat,,,[t̪ʊr.pɪ.'fɪ.ka.t̪ʊs],turpificatus,0
130870,t1805,turpiloquus,a,aps---mn1-,turpiloqu turpiloqu turpiloqu,,,[t̪ʊr.'pɪ.lɔ.kʷʊs],turpiloquus,0
100996,t1808,turpis,a,aps---cn3i,turp turp turp,,,['t̪ʊr.pɪs],turpis,0
130907,t1858,tympaniticus,a,aps---mn1-,tympanitic tympanitic tympanitic,,,[t̪ym.pa.'n̪ɪ.t̪ɪ.kʊs],tympaniticus,0
52264,i1868,inobseruantia,n,n-s---fn1-,inobseruanti,,,[ɪ.n̪ɔp.sɛ.rʊ.'jan̪.t̪ɪ̣.ja],inobseruantia,0
133312,,uenus,n,n-s---fn3-,uener,,,,uenus,0
55662,u0725,ualesco,v,v1spia--3-,ualesc - -,,,[waˈɫeːs.koː],ualesco,0
130973,u0074,uanga,n,n-s---fn1-,uang,,,['waŋ.ga],uanga,0
130977,u0078,uaniloquium,n,n-s---nn2-,uaniloqui,,,[wa.n̪ɪ.'lɔ.kʷɪ̣.jũː],uaniloquium,0
133310,,uas,n,n-s---mn3-,uad,,,['was],uas,1
27990,u0096,uaporo,v,v1spia--1-,uapor uaporau uaporat,,,/waˈpoː.roː/,uaporo,1
131026,u0142,uastatorius,a,aps---mn1-,uastatori uastatori uastatori,,,[was.t̪a.'t̪ɔ.rɪ̣.jʊs],uastatorius,0
130981,u0086,uano,v,v1spia--1-,uan uanau uanat,,28936,['wa.n̪ɔ],uano,0
27997,u0154,uates,n,n-s---cn3-,uat,,28938,/ˈwaː.teːs/,uates,1
101067,u0143,uastatrix,n,n-s---fn3-,uastatric,,,['was.t̪a.t̪rɪks],uastatrix,0
47501,u0152,uastus,a,aps---mn1-,uast uast uast,,,[ˈwas.tʊs],uastus,0
49363,u0159,uaticinius,a,aps---mn1-,uaticini uaticini uaticini,,,[waː.tɪˈkɪ.ni.ʊs],uaticinius,0
101066,u0132,uas,n,n-s---nn3-,uas,,28937,['was],uas,0
46490,u0161,uaticinus,a,aps---mn1-,uaticin uaticin uaticin,,,[wa.'t̪ɪ.kɪ.n̪ʊs],uaticinus,0
132756,u0160,uaticinor,v,v1spid--1-,uaticin uaticinat -,,28939,[waːˈtɪ.kɪ.nɔr],uaticinor,0
131044,u9162,uberto,v,v1spia--1-,ubert ubertau uberta,,,[ʊ.'bɛr.t̪ɔ],uberto,0
28015,u0233,uelifico,v,v1spia--1-,uelific uelificau uelificat,,28940,[wɛ.'lɪ.fɪ.kɔ],uelifico,1
58021,u0167,ubique,r,rp--------,,,,[ʊ.'biː.kʷɛ],ubique,1
133197,u0191,uectis,n,n-s---mn3i,uect,,,['wɛk.t̪ɪs],uectis,0
49276,u0225,uelarium,n,n-s---nn2-,uelari,,,[weːˈɫaː.ri.ũ],uelarium,0
28068,u0414,uerres,n,n-s---mn3i,uerr,,28941,[ˈwɛr.reːs],uerres,1
27970,u0023,uadum,n,n-s---nn2-,uad,,28934,[ˈwa.dũ],uadum,1
131106,u0255,uenaliciarius,a,aps---mn1-,uenaliciari uenaliciari uenaliciari,,,[wɛ.n̪a.lɪ.kɪ̣.'ja.rɪ̣.jʊs],uenaliciarius,0
46778,u0256,uenalicius,a,aps---mn1-,uenalici uenalici uenalici,,,[weː.naːˈliː.ki.ʊs],uenalicius,0
55560,u0258,uenalitas,n,n-s---fn3-,uenalitat,,,[wɛ.'n̪a.lɪ.t̪as],uenalitas,0
57866,u0260,uenaticus,a,aps---mn1-,uenatic uenatic uenatic,,,[weːˈnaː.tɪ.kʊs],uenaticus,1
131128,u0286,uenerabilitas,n,n-s---fn3-,uenerabilitat,,,[wɛ.n̪ɛ.ra.'bɪ.lɪ.t̪as],uenerabilitas,0
131169,u0329,uenula,n,n-s---fn1-,uenul,,,['wɛ.n̪ʊ.la],uenula,0
101091,u0360,uerberito,v,v1spia--1-,uerberit uerberitau uerberitat,,,[wɛr.'bɛ.rɪ.t̪ɔ],uerberito,0
131212,u9376,ueridicentia,n,n-s---fn1-,ueridicenti,,,[wɛ.rɪ.d̪ɪ.'kɛn̪.t̪ɪ̣.ja],ueridicentia,0
131248,u0428,uersicolorius,a,aps---mn1-,uersicolori uersicolori uersicolori,,,[wɛr.sɪ.kɔ.'lɔ.rɪ̣.jʊs],uersicolorius,0
51697,u0452,uerticosus,a,aps---mn1-,uerticos uerticos uerticos,,,[wɛr.'t̪ɪ.kɔ.sʊs],uerticosus,0
133173,u0454,uertiginor,v,v1spid--1-,uertigin uertiginat -,,,[wɛr.'t̪ɪ.gɪ.n̪ɔr],uertiginor,0
131288,u0462,uerum,n,n-s---nn2-,uer,,,['wɛ.rũː],uĕrum,0
32648,u0693,uerutus,a,aps---mn1-,uerut uerut uerut,,,[wɛˈruː.tʊs],uerutus,0
28091,u0491,uespertilio,n,n-s---mn3-,uespertilion,,,[wɛs.pɛrˈtiː.li.oː],uespertilio,1
131307,u0487,uesperus,a,aps---mn1-,uesper uesper uesper,,,['wɛs.pɛ.rʊs],uesperus,0
130948,u0037,uagito,v,v1spia--1-,uagit uagitau uagitat,,28935,['wa.gɪ.t̪ɔ],uagito,0
131319,u9506,uestigabilis,a,aps---cn3i,uestigabil uestigabil uestigabil,,,[wɛs.t̪ɪ.'ga.bɪ.lɪs],uestigabilis,0
131370,u0562,uiarius,a,aps---mn1-,uiari uiari uiari,,,[wɪ̣.'ja.rɪ̣.jʊs],uiarius,0
131380,u0573,uibrabilis,a,aps---cn3i,uibrabil uibrabil uibrabil,,,[wɪ.'bra.bɪ.lɪs],uibrabilis,0
36627,u0580,uicarius,n,n-s---mn2-,uicari,,,[wɪˈkaː.ri.ʊs],uicarius,0
28116,u0607,uicissitudo,n,n-s---fn3-,uicissitudin,,,[wɪ.kɪs.'sɪ.t̪ʊ.d̪ɔ],uicissitudo,1
101133,u0620,uictrix,a,aps---an3i,uictric uictric uictric,,,['wɪk.t̪rɪks],uictrix,0
101134,u0628,uiduertas,n,n-s---fn3-,uiduertat,,,[wɪ.d̪ʊ.'jɛr.t̪as],uiduertas,0
131435,u9635,uiesco,v,v1spia--3-,uiesc - -,,,[wɪ̣.'jɛs.kɔ],uiesco,0
131501,u0713,uineaticus,a,aps---mn1-,uineatic uineatic uineatic,,,[wɪ.n̪ɛ̣.'ja.t̪ɪ.kʊs],uineaticus,0
28143,u0740,uiolens,a,aps---an3i,uiolent uiolent uiolent,,,[ˈwi.ɔ.ɫẽːs],uiolens,1
36211,u0787,uirido,v,v1spia--1-,uirid - uiridat,,,[ˈwɪ.rɪ.doː],uirido,0
131569,u0806,uiscatura,n,n-s---fn1-,uiscatur,,,[wɪs.'ka.t̪ʊ.ra],uiscatura,0
131579,u0819,uisibilitas,n,n-s---fn3-,uisibilitat,,,[wɪ.sɪ.'bɪ.lɪ.t̪as],uisibilitas,0
56483,u0008,uacerrosus,a,aps---mn1-,uacerros uacerros uacerros,,,[wa.kɛrˈroː.sʊs],uacerrosus,0
114452,i8901,inordinabiliter,r,rp--------,,,,[ɪ.n̪ɔr.d̪ɪ.n̪a.'bɪ.lɪ.t̪ɛr],inordinabiliter,0
28291,i1903,inordinatim,r,rp--------,,,,[ɪ.'n̪ɔr.d̪ɪ.n̪at̪ĩː],inordinatim,0
30063,i1904,inordinatio,n,n-s---fn3-,inordination,,,[ɪ.n̪ɔr.d̪ɪ.'n̪a.t̪ɪ̣.jɔ],inordinatio,0
114464,i1915,inquassatus,a,aps---mn1-,inquassat inquassat inquassat,,,[ɪŋ.'kʷas.sa.t̪ʊs],inquassatus,0
24251,i1921,inquies,a,aps---an3-,inquiet inquiet inquiet,,,[ˈɪŋ.kᶣi.ɛs],inquies,1
24258,i1928,inquiro,v,v1spia--3-,inquir inquisiu inquisit,,,[ɪŋˈkᶣiː.roː],inquiro,1
114481,i1935,insaeuio,v,v1spia--4-,insaeu insaeuiu insaeuit,,,['iːn̪s.ewɪ̣.jɔ],insaeuio,0
50279,q0120,quandiucumque,r,rp--------,,,,[kʷan̪.d̪ɪ̣.jʊ.'kʊm.kʷɛ],quandiucumque,0
124312,q0125,quandolibet,r,rp--------,,,,[kʷan̪.'d̪ɔ.lɪ.bɛt̪],quandolibet,0
28171,u0838,uitalis,a,aps---cn3i,uital uital uital,,,[wiːˈtaː.lɪs],uitalis,1
