-D.D.Eisenhower; ""How weary, flat, stale, and unprofitable / Seem to me all the uses of this world""-Shakespeare",
192979,01952396,a,10,"having an abundant supply of desirable qualities or substances (especially natural resources); ""blessed with a land rich in minerals""; ""rich in ideas""; ""rich with cultural interest""",
193043,01963006,a,10,"(prefix) bad or erroneous or lack of; ""the prefix ""mis"" means bad in ""misdeeds"", erroneous in ""misunderstand"", and lacking in ""mistrust""""",
193131,01976482,a,10,Roman Catholic; proclaimed one of the blessed and thus worthy of veneration,1565
192986,01953600,a,10,"marked by poverty befitting a beggar: ""a beggarly existence in the slums""; ""a mean hut""",
192991,01954262,a,10,"unable to meet or discharge financial obligations: ""an insolvent person""; ""an insolvent estate""",1769
192995,01954816,a,10,"lacking in mineral content or combustible material: ""lean ore""; ""lean fuel""",2111
193000,01955500,a,10,"having or involving the use of hands: ""a handed, tree-living animal""; ""a four-handed card game""",
193006,01956468,a,10,"preferring to use right foot or hand or eye: """"dextral individuals exhibit dominance of the right hand and eye""",
193010,01957138,a,10,"preferring to use left foot or hand or eye: ""sinistral individuals exhibit dominance of the left hand and eye""",
193026,01959343,a,10,"being or located on or directed toward the side of the body to the east when facing north: ""my right hand""; ""right center field""; ""a right-hand turn""; on the right when facing downstream; ""the right bank of the river""",
193029,01960054,a,10,"being or located on or directed toward the side of the body to the west when facing north: ""my left hand""; ""left center field""; on the left when facing downstream; ""on the left bank""",
193032,01960691,a,10,"having a horn or horns or hornlike parts or horns of a particular kind: ""horned viper""; ""great horned owl""; ""the unicorn--a mythical horned beast""; ""long-horned cattle""",
193039,01961794,a,10,"adhering to ethical and moral principles: ""it seems ethical and right""; ""followed the only honorable course of action""; ""had the moral courage to stand alone""",2234
193041,01962413,a,10,"bringing or deserving severe rebuke or censure: ""a criminal waste of talent""; ""a deplorable act of violence""; ""adultery is as reprehensible for a husband as for a wife""",2234
193047,01963999,a,10,"free from moral defect: ""a man of sound character""",
193052,01964884,a,10,"muscular and heavily built: ""a beefy wrestler""; ""had a tall burly frame""; ""clothing sizes for husky boys""; ""a strapping boy of eighteen""; (""buirdly"" is a Scottish term; ""a buirdly lad of twelve"")",
193056,01965621,a,10,"extremely robust: ""an iron constitution""",
193062,01966509,a,10,"lacking physical strength or vitality: ""a feeble old woman""; ""her body looked sapless""",
193072,01967903,a,10,"having four equal sides and four right angles or forming a right angle: ""a square peg in a round hole""; ""a square corner""",
193074,01968255,a,10,"forming a right angle or containing one or more right angles: ""a right-angled bend""",
193102,01971975,a,10,"having four right angles: ""a rectangular figure twice as long as it is wide""""",
193108,01972894,a,10,"living in or characteristic of farming or country life: ""rural people""; ""large rural households""; ""unpaved rural roads""; ""an economy that is basically rural""",
193111,01973612,a,10,"used of idealized country life: ""a country life of arcadian contentment""; ""a pleasant bucolic scene""; ""charming in its pastoral setting""; ""rustic tranquility""",
193116,01974368,a,10,"characteristic of country life: ""cracker-barrel philosophy""; ""folksy humor""; ""the air of homespun country boys""",
193121,01975040,a,10,"located in or characteristic of a city or city life: ""urban property owners""; ""urban affairs""; ""urban manners""",
193137,01977415,a,10,"concerned with religion or religious purposes: ""sacred texts""; ""sacred rites""; ""sacred music""",
193142,01978282,a,10,"evincing the presence of a deity: ""a numinous wood""; ""the most numinous moment in the Mass",
193143,01978427,a,10,"concerned with sacred matters or religion or the church: ""religious texts""; ""monks of a religious order""; ""lords temporal and spiritual""; ""spiritual leaders""; ""spiritual songs""",1565
193148,01979311,a,10,"concerning those not members of the clergy: ""set his collar in laic rather than clerical position""; ""the lay ministry""; ""the choir sings both sacred and secular music""",
193159,01980980,a,10,"eliminating danger by compensating automatically for a failure or malfunction: ""a fail-safe device in a nuclear weapon to deactivate it automatically in the event of accident""",
193057,01965724,a,10,"having rugged physical strength; inured to fatigue or hardships: ""hardy explorers of northern Canada""; ""proud of her tall stalwart son""; ""stout seamen""; ""sturdy young athletes""",
193105,01972296,a,10,"having three angles; forming or shaped like a triangle: ""a triangular figure""; ""a triangular pyrimid has a triangle for a base""",
193133,01976717,a,10,"made or declared or believed to be holy; devoted to a deity or some religious ceremony or use: ""a consecrated chursh""; ""the sacred mosque""; ""sacred elephants""; ""sacred bread and wine""; ""sanctified wine""",1565
193167,01982394,a,10,"of uncertain outcome; especially fraught with risk: ""an extremely dicey future on a brave new world of liquid nitrogen, tar, and smog""-New Yorker",
193820,02089183,a,10,of a leaf shape; featherlike; having leaflets on each side of a common axis,2172
192973,01951368,a,10,"having little money or few possessions: ""deplored the gap between rich and poor countries""; ""the proverbial poor artist living in a garret""",1782
