,00229978,a,10,"changed for the worse in health or fitness: ""I feel worse today""; ""her cold is worse""",
182811,00228925,a,10,"(comparative of ""fine"") greater in quality or excellence; ""a finer wine""; ""a finer musician""",
182770,00221675,a,10,"wishing or appearing to wish evil to others; arising from intense ill will or hatred: ""a gossipy malevolent old woman""; ""failure made him malevolent toward those who were successful""",2234
182815,00229690,a,10,"(comparative of ""good"") changed for the better in health or fitness; ""her health is better now""; ""I feel better""",
182808,00228212,a,10,of an organism's environment; least favorable for survival,
182819,00230277,a,10,tending to ameliorate,
182824,00230957,a,10,composed of two legislative bodies,
182825,00231047,a,10,composed of one legislative body,
211272,L6631400,n,9,a gold coin of the value of 25 silver denarii,1768
182828,00231480,a,10,reactive or functioning or allowing movement in two usually opposite directions,
182837,00233206,a,10,having a youthful-looking face,
182840,00233595,a,10,having a face longer than the usual,
182841,00233687,a,10,having a round face,
182847,00234479,a,10,lacking a bib,
182848,00234546,a,10,having two sides or parts,
182852,00235131,a,10,determined by a single party,
182853,00235215,a,10,having many parts or sides,
182829,00231673,a,10,"having two faces or fronts: ""the Roman Janus is bifacial""",
182826,00231136,a,10,"older and (at least formerly) larger than another though relative size is not the issue; ""big sister""",
182827,00231306,a,10,"younger and (at least formerly) smaller than another though relative size is not the issue; ""little brother""",
182831,00231964,a,10,"operating or permitting operation in either of two opposite directions: ""a two-way valve""; ""two-way traffic""; ""two-way streets""",1946
182832,00232145,a,10,"operating or moving or allowing movement in one direction only: ""a unidirectonal flow""; ""a unidirectional antenna""; ""a unidirectional approach to a problem""",
182835,00232772,a,10,"having but one principal or specialized surface: ""a primitive unifacial flint tool""",
182834,00232560,a,10,"(telecommunication) allowing communication in only one direction at a time, or in telegraphy allowing only one message over a line at a time; ""simplex system""",1935
182842,00233777,a,10,"having a pleasing face or one showing a sweet disposition: ""a sweet-faced child""",
182838,00233293,a,10,"having facial features as specified; usually used in combination: ""a grim-featured man""",
182844,00234058,a,10,"without a face or identity: ""a faceless apparition""; ""the faceless accusers of the police state""",
182854,00235457,a,10,involving more than two parties,
182843,00233915,a,10,"(combining form) having a face or visage as specified; ""gloomy-visaged funeral directors""",
182846,00234396,a,10,"having a bib: ""a bibbed apron""",
182849,00234693,a,10,"involving two parties or elements: ""a bipartite agreement""; ""a two-way treaty""",
182850,00234849,a,10,"involving both houses of a legislature: ""a joint session of Congress""",
182858,00235863,a,10,"involving a group or set of three: ""a three-cornered race""",
182857,00235732,a,10,(biology) having or consisting of four similar parts; tetramerous flowers,2158
182859,00235982,a,10,"having three sides: ""a trilateral figure""",
182863,00236607,a,10,"relating to or having or hearing with two ears: ""binaural hearing""",
182861,00236399,a,10,(statistics) of a distribution; having or occurring with two modes,2075
