2,cibicida,n,n-s---mn1-,cibicid,,,[kɪ.bɪˈkiː.da],cibicida,0
40952,c1677,circino,v,v1spia--1-,circin circinau circinat,,,['kɪr.kɪ.n̪ɔ],circino,0
40964,c2691,commissor,n,n-s---mn3-,commiss - commissat,,,['kɔ.mmɪ.ssɔr],commissor,0
40991,c3372,conglobatim,r,rp--------,,,,['kɔŋ.glɔ.bat̪ĩː],conglobatim,0
41009,c4107,corresuscito,v,v1spia--1-,corresuscit corresuscitau corresuscitat,,,[kɔr.rɛˈsʊs.kɪ.toː],corresuscito,0
40953,c4688,curionatus,n,n-s---mn4-,curionat,,,[kʊ.rɪ̣.'jɔ.n̪a.t̪ʊs],curionatus,0
40937,e0590,enhydris,n,n-s---fn3-,enhydrid,,,['ɛn̪.hy.d̪rɪs],enhydris,0
113697,i1060,incontemplabilis,a,aps---cn3i,incontemplabil incontemplabil incontemplabil,,,[ɪŋ.kɔn̪.t̪ɛm.'pla.bɪ.lɪs],incontemplabilis,0
40978,l0819,lineola,n,n-s---fn1-,line,,,[liːˈne.ɔ.ɫa],lineola,0
40987,l1139,lucuntulus,n,n-s---mn2-,luc,,,[lʊ.'kʊn̪.t̪ʊ.lʊs],lucuntulus,0
40984,n0209,nenia,n,n-s---fn1-,neni,,,/ˈneː.ni.a/,nenia,0
40934,p1306,perlibet,v,v3spia--2-,perlib perlibu perlibit,,,[ˈpɛr.lɪ.bɛt],perlibet,0
40960,p2267,plantarium,n,n-s---nn2-,plantari,,,[plan̪.'t̪a.rɪ̣.jũː],plantarium,0
40962,u1398,uiolaceus,a,aps---mn1-,uiolace uiolace uiolace,,,[wi.ɔˈɫaː.ke.ʊs],uiolaceus,0
41041,41041,adguberno,v,v1spia--1-,adgubern adgubernau adgubernat,,27885,/adˈɡu.ber.noː/,adguberno,0
39123,a2698,archiater,n,n-s---mn2r,archiatr,,"27860,27861",[ar.kʰiːˈaː.tɛr],archiater,0
41046,41046,alebre,n,n-s---nn3-,alebr,,,['a.lɛ.brɛ],alebre,0
41062,41062,arianis,n,n-s---fn3-,arianid,,,[a.rɪˈaː.nɪs],arianis,0
41045,41045,calcatori,n,n-p---mn2-,calcatori,,,[kaɫ.'ka.t̪ɔ.rɪ],calcatori,0
41044,41044,casualiter,r,rp--------,,,,[ka.sʊ.'ja.lɪ.t̪ɛr],casualiter,0
41081,41081,cauitio,n,n-s---fn3-,cauition,,,[ka.'wɪ.t̪ɪ̣.jɔ],cauitio,0
41034,41034,centesimalis,a,aps---cn3-,centesimal centesimal centesimal,,,[kɛn̪.t̪ɛ.'sɪ.ma.lɪs],centesimalis,0
41026,41026,chyrogryllius,n,n-s---mn2-,chyrogrylli,,,[kʰy.rɔ.'gry.ɫlɪ̣.jʊs],chyrogryllius,0
41049,41049,cnicus,n,n-s---mn2-,cnic,,,['kn̪ɪ.kʊs],cnicus,0
41048,41048,commi,n,n-s---nn--,-,,,['kɔ.mmɪ],commi,0
41030,41030,conleuo,v,v1spia--1-,conleu conleuau conleuat,,,['kɔn̪ɫ.ewɔ],conleuo,0
41053,41053,conliquefactus,a,aps---mn1-,conliquefact conliquefact conliquefact,,,[kɔ.n̪lɪ.'kʷɛ.fa.kt̪ʊs],conliquefactus,0
41033,41033,cosmonauta,n,n-s---fn1-,cosmonaut,,,[kɔs.mɔ.'n̪aw.t̪a],cosmonauta,0
41073,41073,cribrare,n,n-s---nn3-,cribr,,,['krɪ.bra.rɛ],cribrare,0
41088,41088,digno,r,rp--------,,,,[ˈdiːŋ.noː],digno,0
41077,41077,discessus,n,n-s---mn2-,discess,,,[d̪ɪs.'kɛs.sʊs],discessus,0
41067,41067,empyreus,a,aps---mn1-,empyre empyre empyre,,,['ɛm.pyrews],empyreus,0
41080,41080,homogeneus,a,aps---mn1-,homogene homogene homogene,,,[hɔ.mɔˈɡɛ.ne.ʊs],homogeneus,0
41068,41068,hospitale,n,n-s---nn3-,hospital,,,[hɔs.'pɪ.t̪a.lɛ],hospitale,0
41083,41083,incompatibilitas,n,n-s---fn3-,incompatibilitat,,,[ɪŋ.kɔm.pa.t̪ɪ.'bɪ.lɪ.t̪as],incompatibilitas,0
41021,41021,maliuolentia,n,n-s---fn1-,maliuolenti,,,[ma.lɪ.wɔ.'lɛn̪.t̪ɪ̣.ja],maliuolentia,0
41063,a1566,amabilitas,n,n-s---fn3-,amabilitat,,,/a.maːˈbi.li.taːs/,amabilitas,0
41050,41050,mamzer,n,n-s---mn2r,mamzer,,,['mam.zɛr],mamzer,0
41071,41071,mariscae,n,n-p---fn1-,marisc,,,[ma.'rɪs.kaj],mariscae,0
41052,41052,orthodoxe,r,rp--------,,,,[ɔr.t̪ʰɔ.'d̪ɔk.sɛ],orthodoxe,0
41057,41057,paga,n,n-s---fn1-,pag,,,['pa.ga],paga,0
41085,41085,pathologia,n,n-s---fn1-,pathologi,,,[pa.t̪ʰɔ.'lɔ.gɪ̣.ja],pathologia,0
41054,41054,petroleum,n,n-s---nn2-,petrole,,,['pɛ.t̪rɔɫewm],petroleum,0
41074,41074,porcula,n,n-s---fn1-,porcul,,,['pɔr.kʊ.la],porcula,0
41035,41035,tolerabiter,r,rp--------,tolerabilius tolerabilissime,,,[t̪ɔ.lɛ.'ra.bɪ.t̪ɛr],tolerabiter,0
41029,41029,tridentiger,n,n-s---mn2r,tridentiger,,,[trɪˈdɛn.tɪ.ɡɛr],tridentiger,0
41018,41018,alcohol,n,n-s---nn3-,alcohol,,,[ˈaɫ.kɔ.hɔɫ],alcohol,0
41032,c0970,caulae,n,n-p---fn1-,caul,,,['kaw.laj],caulae,0
41064,c1824,circumornatus,a,aps---mn1-,circumornat circumornat circumornat,,,[kɪr.kʊ.mɔrˈnaː.tʊs],circumornatus,0
41055,c3723,conterminum,n,n-s---nn2-,contermin,,,[kɔn̪.'t̪ɛr.mɪ.n̪ũː],conterminum,0
41037,d0334,defaenero,v,v1spia--1-,defaener defaenerau defaenerat,,,[d̪ɛ.'faj.n̪ɛ.rɔ],defaenero,0
41065,d0485,deifer,a,aps---mn1r,deifer deifer deifer,,,['d̪ejfɛr],deifer,0
41066,d0542,deliberator,n,n-s---mn3-,deliberator,,,[deː.liː.bɛˈraː.tɔr],deliberator,0
41079,d1156,deuestiuus,a,aps---mn1-,deuestiu deuestiu deuestiu,,,['d̪ewɛs.t̪ɪ.wʊs],deuestiuus,0
41027,d1417,diffusor,n,n-s---mn3-,diffusor,,,['d̪ɪf.fʊ.sɔr],diffusor,0
41084,f0901,forus,n,n-s---mn2-,for,,,['fɔ.rʊs],forus,0
41038,h0136,haruspicium,n,n-s---nn2-,har,,,[ha.rʊs.'pɪ.kɪ̣.jũː],haruspicium,0
41086,i1283,indiguus,a,aps---mn1-,indigu indigu indigu,,,['ɪn̪.d̪ɪ.gʷʊs],indiguus,0
41087,i2378,interlunium,n,n-s---nn2-,interluni,,,[ɪn.tɛrˈɫuː.ni.ũ],interlunium,0
41069,i3094,iuuenca,n,n-s---fn1-,,,,[jʊˈwɛŋ.ka],iuuenca,0
41019,o0060,obiectum,n,n-s---nn2-,obiect,,,[ɔbˈjɛk.tũ],obiectum,1
41047,p1208,periclitabundus,a,aps---mn1-,pericl pericl pericl,,,[pɛ.riː.klɪ.taːˈbʊn.dʊs],periclitabundus,0
41070,p1678,pertorqueo,v,v1spia--2-,pertorqu - -,,,[pɛrˈtɔr.kᶣe.oː],pertorqueo,0
41076,p2576,popa,n,n-s---mn1-,pop,,,[ˈpɔ.pa],popa,0
41056,p3077,praeligo,v,v1spia--1-,praelig praeligau praeligat,,,[ˈprae̯.lɪ.ɡoː],praeligo,0
41036,r0988,recalcitro,v,v1spia--1-,recalcitr - -,,,[rɛˈkaɫ.kɪ.troː],recalcitro,0
41072,r1109,refercio,v,v1spia--4-,referc refers refert,,,[rɛˈfɛr.ki.oː],refercio,0
41039,u0777,uirgultum,n,n-s---nn2-,uirgult,,,['wɪrgʷɫ.t̪ũː],uirgultum,0
41051,u0920,ulcerosus,a,aps---mn1-,ulceros ulceros ulceros,,,[ʊɫ.kɛˈroː.sʊs],ulcerosus,0
41165,,triobolus,n,n-s---mn2-,triobol,,,[t̪rɪ̣.'jɔ.bɔ.lʊs],triobolus,0
39160,d0022,damasonium,n,n-s---nn2-,damasoni,,27863,[d̪a.ma.'sɔ.n̪ɪ̣.jũː],damasonium,0
41109,41109,adplico,v,v1spia--1-,adplic adplicu adplicit,,27887,[ˈad.plɪ.koː],adplico,0
41106,c4652,conseruus,n,n-s---mn2-,conseru,,27888,['kɔːn̪sɛ.rʊ.jʊs],conseruus,0
41095,41095,miseret,v,v1spia--2-,miser - misert,,27889,/ˈmi.se.ret/,miseret,0
39349,c9833,cubitum,n,n-s---nn2-,cubit,,27865,['kʊ.bɪ.t̪ũː],cubitum,0
41133,41133,adproprio,v,v1spia--1-,adpropri adpropriau adpropriat,,,[ad̪.'prɔ.prɪ̣.jɔ],adproprio,0
41125,41125,aedificatus,a,aps---mn1-,aedificat aedificat aedificat,,,[ae̯.dɪ.fɪˈkaː.tʊs],aedificatus,0
41162,41162,alterutraque,r,rp--------,,,,[aɫ.t̪ɛ.'rʊ.t̪ra.kʷɛ],alterutraque,0
41139,41139,apscessus,n,n-s---mn2-,apscess,,,[aps.'kɛs.sʊs],apscessus,0
41103,41103,archeota,n,n-s---mn1-,archeot,,,[ar.'kʰɛ̣.jɔ.t̪a],archeota,0
41098,41098,automatarius,n,n-s---mn2-,automatari,,,[au̯.tɔ.maˈtaː.ri.ʊs],automatarius,0
41158,41158,biopsia,n,n-s---fn1-,biopsi,,,[bɪ̣.'jɔp.sɪ̣.ja],biopsia,0
41130,41130,cellularis,a,aps---cn3-,cellular cellular cellular,,,[kɛlˈlʊ.ɫa.rɪs],cellularis,0
41096,41096,conciliarismus,n,n-s---mn2-,conciliarism,,,[kɔŋ.kɪ.lɪ̣.ja.'rɪs.mʊs],conciliarismus,0
41107,41107,desultorium,n,n-s---nn2-,desultori,,,[d̪ɛ.sʊɫ.'t̪ɔ.rɪ̣.jũː],desultorium,0
41142,41142,difficile,r,rp--------,difficil,,,[dɪfˈfɪ.kɪ.ɫeː],difficile,0
41136,41136,discinctus,a,aps---mn1-,discinct discinct discinct,,,[d̪ɪs.'kɪŋk.t̪ʊs],discinctus,0
41147,41147,facinarose,r,rp--------,,,,[fa.kɪ.'n̪a.rɔ.sɛ],facinarose,0
41135,41135,frunesco,v,v1spia--3-,frunesc - -,,,[frʊ.'n̪ɛs.kɔ],frunesco,0
41159,41159,insito,v,v1spia--1-,insit insitau insitat,,,['iːn̪.sɪ.t̪ɔ],insito,0
41089,41089,nouitius,n,n-s---mn2-,nouiti,,,[n̪ɔ.'wɪ.t̪ɪ̣.jʊs],nouitius,0
41113,41113,pronitas,n,n-s---fn3-,pronitat,,,['prɔ.n̪ɪ.t̪as],pronitas,0
41128,41128,quanam,r,rp--------,,,,['kʷa.n̪ãː],quanam,0
41152,41152,quandius,r,rp--------,,,,['kʷan̪.d̪ɪ̣.jʊs],quandius,0
41111,41111,sellularius,n,n-s---mn2-,sellul,,,[sɛɫ.lʊ.'la.rɪ̣.jʊs],sellularius,0
41154,41154,structuralismus,n,n-s---mn2-,structuralism,,,[st̪rʊk.t̪ʊ.ra.'lɪs.mʊs],structuralismus,0
41163,41163,suffusus,a,aps---mn1-,suffus suffus suffus,,,[sʊfˈfuː.sʊs],suffusus,0
41117,41117,tantillum,n,n-s---nn2-,perleg perleg perlect,,,[t̪an̪.'t̪ɪɫ.ɫũː],tantillum,0
41093,41093,abnatare,r,rp--------,menton,,,[ab.'n̪a.t̪a.rɛ],abnatare,0
41150,41150,upilio,n,n-s---mn3-,upilion,,,[ʊ.'pɪ.lɪ̣.jɔ],upilio,0
41138,a0901,aemulus,a,aps---mn1-,aemul aemul aemul,,,[ˈae̯.mʊ.ɫʊs],aemulus,0
41119,b9691,bacchius,n,n-s---mn2-,bacchi,,,['bak.kʰɪ̣.jʊs],bacchius,0
