id,uri,lemma,pos,morpho,principal_parts,irregular_forms,alternative_forms,pronunciation,prosody,validated
19117,a0031,abdicatio,n,n-s---fn3-,abdication,,,[ab.dɪˈkaː.ti.oː],abdicatio,1
46056,a1807,amygdaleus,a,aps---mn1-,amygdale amygdale amygdale,,,[a.'myg.d̪aɫews],amygdaleus,0
19118,a0035,abdico,v,v1spia--3-,abdic abdix abdict,,,/abˈdiː.koː/,abdico,1
19119,a0038,abdo,v,v1spia--3-,abd abdid abdit,,,/ˈab.doː/,abdo,1
19141,a0116,aboleo,v,v1spia--2-,abol aboleu abolit,,,[aˈbɔ.ɫe.oː],aboleo,1
19155,19155,abrupte,r,rp--------,abrupt,,,['a.brʊ.pt̪ɛ],abrupte,1
19124,a0053,abicio,v,v1spia--3i,abic abiec abiect,,,[aˈbɪ.ki.oː],abicio,1
19161,19161,abscise,r,rp--------,abscis,,,['aps.kɪ.sɛ],abscise,1
19125,a0057,abies,n,n-s---fn3-,abiet,,,/ˈa.bi.eːs/,abies,1
19163,19163,abscondite,r,rp--------,abscondit,,,[aps.'kɔn̪.d̪ɪ.t̪ɛ],abscondite,1
19127,a0063,abigo,v,v1spia--3-,abig abeg abact,,,[ˈa.bɪ.ɡoː],abigo,1
19128,a0065,abitio,n,n-s---fn3-,abition,,,[aˈbɪ.ti.oː],abitio,1
19129,a9984,abitus,n,n-s---mn4-,abit,,,[ˈa.bɪ.tʊs],abitus,1
19130,a0075,ablacto,v,v1spia--1-,ablact ablactau ablactat,,,[aˈbɫak.toː],ablacto,1
19131,a0079,ablatiuus,a,aps---mn1-,ablatiu ablatiu ablatiu,,,[a.bɫaːˈtiː.wʊs],ablatiuus,1
19133,a0086,abligurrio,v,v1spia--4-,abligurr abligurri abligurrit,,,[a.blɪˈɡuːr.ri.oː],abligurrio,1
19134,a9091,abluo,v,v1spia--3-,ablu ablu ablut,,,[ˈa.bɫʊ.oː],abluo,1
19114,a0026,abauus,n,n-s---mn2-,abau,,,[ˈa.ba.wʊs],abauus,1
19135,a0092,ablutio,n,n-s---fn3-,ablution,,,[aˈbɫuː.ti.oː],ablutio,1
19136,a0094,abluuio,n,n-s---fn3-,abluuion,,,[aˈbɫʊ.wi.oː],abluuio,1
19137,a0095,abluuium,n,n-s---nn2-,abluui,,,[aˈbɫʊ.wi.ũ],abluuium,1
19138,a0098,abnegatio,n,n-s---fn3-,abnegation,,,[ab.nɛˈɡaː.ti.oː],abnegatio,1
19139,a0101,abnego,v,v1spia--1-,abneg abnegau abnegat,,,/ˈab.ne.ɡoː/,abnego,1
19140,a0111,abnuo,v,v1spia--3-,abnu abnu -,,,[ˈab.nʊ.oː],abnuo,1
19142,a1752,abolesco,v,v1spia--3-,abolesc aboleu -,,,[a.bɔˈɫeːs.koː],abolesco,1
19167,19167,absinthium,n,n-s---nn2-,absinthi,,,[aˈpsɪn.tʰi.ũ],absinthium,1
19143,a0117,abolitio,n,n-s---fn3-,abolition,,,[a.bɔˈlɪ.ti.oː],abolitio,1
19144,a0119,abolla,n,n-s---fn1-,aboll,,,[aˈbɔl.la],abolla,1
19147,a0126,abortio,n,n-s---fn3-,abortion,,,[aˈbɔr.ti.oː],abortio,1
19148,a0127,abortio,v,v1spia--4-,abort - -,,,[aˈbɔr.ti.oː],abortio,1
19149,a0128,abortium,n,n-s---nn2-,aborti,,,[a.'bɔr.t̪ɪ̣.jũː],abortium,1
19151,a0133,abrado,v,v1spia--3-,abrad abras abras,,,/aˈbraː.doː/,abrado,1
19152,a0140,abripio,v,v1spia--3i,abrip abripu abrept,,,/abˈri.pi.oː/,abripio,1
19153,a0143,abrogo,v,v1spia--1-,abrog abrogau abrogat,,,[ˈa.brɔ.ɡoː],abrogo,1
19154,a0145,abrumpo,v,v1spia--3-,abrump abrup abrupt,,,[aˈbrʊm.poː],abrumpo,1
19156,a0146,abruptio,n,n-s---fn3-,abruption,,,[aˈbrʊp.ti.oː],abruptio,1
19158,a0160,abscessus,n,n-s---mn4-,abscess,,,[aps.'kɛs.sʊs],abscessus,1
19159,a0149,abscido,v,v1spia--3-,abscid abscid abscis,,,/apˈskiː.doː/,abscido,1
19160,a0150,abscindo,v,v1spia--3-,abscind abscid absciss,,,[apˈskɪn.doː],abscindo,1
19168,19168,absis,n,n-s---fn3-,absid,,,['ap.sɪs],absis,1
19162,a0151,abscisio,n,n-s---fn3-,abscision,,,[aps.'kɪ.sɪ̣.jɔ],abscisio,1
19165,a0184,absentia,n,n-s---fn1-,absenti,,,[aˈpsɛn.ti.a],absentia,1
19170,19170,absolute,r,rp--------,absolut,,,[ap.'sɔ.lʊ.t̪ɛ],absolute,1
19169,a0169,absisto,v,v1spia--3-,absist absistit -,,,[aˈpsɪs.toː],absisto,1
19172,19172,absolutus,a,aps---mn1-,absolut absolut absolut,,,[a.psɔˈɫuː.tʊs],absolutus,1
19173,a0178,absoluo,v,v1spia--3-,absolu absolu absolut,,,[aˈpsɔɫ.woː],absoluo,1
19171,a0174,absolutio,n,n-s---fn3-,absolution,,,[a.psɔˈɫuː.ti.oː],absolutio,1
19113,19113,abante,r,rp--------,,,,[aˈban.tɛ],abante,1
19174,a0180,absonus,a,aps---mn1-,abson abson abson,,,[ˈa.psɔ.nʊs],absonus,1
19175,a0181,absorbeo,v,v1spia--2-,absorb absorps absorpt,,,[aˈpsɔr.be.oː],absorbeo,1
113023,i0269,illuminus,a,aps---mn1-,illumin illumin illumin,,,[ɪɫ.'lʊ.mɪ.n̪ʊs],illuminus,0
19123,a0050,abhorreo,v,v1spia--2-,abhorr abhorru -,,,[abˈhɔr.re.oː],abhorreo,1
19120,a0039,abdomen,n,n-s---nn3-,abdomin,,,[abˈdoː.mẽ],abdomen,1
19115,a0012,abbatissa,n,n-s---fn1-,abbatiss,,,[ab.baːˈtɪs.sa],abbatissa,1
19122,a0045,aberratio,n,n-s---fn3-,aberration,,,[a.bɛrˈraː.ti.oː],aberratio,1
19126,a9983,abigeatus,n,n-s---mn4-,abigeat,,,[a.bɪ.ɡɛˈaː.tʊs],abigeatus,1
46019,a1904,anatomica,n,n-s---fn1-,anatomic,,,[a.n̪a.'t̪ɔ.mɪ.ka],anatomica,0
19183,a0196,abstrudo,v,v1spia--3-,abstrud abstrus abstrus,,,/apˈstruː.doː/,abstrudo,1
119811,119811,oppallio,v,v1spia--1-,oppalli oppalliau oppallia,,,[ɔp.'paɫ.lɪ̣.jɔ],oppallio,0
19186,a0203,absumptio,n,n-s---fn3-,absumption,,,[ap.'sʊmp.t̪ɪ̣.jɔ],absumptio,1
19188,a0204,absurditas,n,n-s---fn3-,absurditat,,,[ap.'sʊr.d̪ɪ.t̪as],absurditas,1
19191,a0210,abundantia,n,n-s---fn1-,abundanti,,,[a.bʊnˈdan.ti.a],abundantia,1
19192,a0211,abundatio,n,n-s---fn3-,abundation,,,[a.bʊnˈdaː.ti.oː],abundatio,1
19184,19184,abstrusus,a,aps---mn1-,abstrus abstrus abstrus,,,[apˈstruː.sʊs],abstrusus,1
19194,a0212,abundo,v,v1spia--1-,abund abundau abundat,,,[aˈbʊn.doː],abundo,1
19195,a0214,abusio,n,n-s---fn3-,abusion,,,[a.'bʊ.sɪ̣.jɔ],abusio,1
19187,19187,absurde,r,rp--------,absurd,,,[ap.'sʊr.d̪ɛ],absurde,1
19197,a9217,abyssus,n,n-s---fn2-,abyss,,,[aˈbʏs.sʊs],abyssus,1
19201,a0219,acalanthis,n,n-s---fn3-,acalanthid,,,[a.ka.'lan̪.t̪ʰɪs],acalanthis,1
19190,19190,abundanter,r,rp--------,abundant,,,[a.bʊnˈdan.tɛr],abundanter,1
45994,45994,annulatus,a,aps---mn1-,annulat annulat annulat,,,[an.nʊˈɫaː.tʊs],annulatus,0
19193,19193,abunde,r,rp--------,abund,,,[a.'bʊn̪.d̪eː],abunde,1
19202,a0268,accedo,v,v1spia--3-,acced access access,,,/akˈkeː.doː/,accedo,1
19203,a0242,acceleratio,n,n-s---fn3-,acceleration,,,[ak.kɛ.ɫɛˈraː.ti.oː],acceleratio,1
19205,a0245,accendo,v,v1spia--3-,accend accend accens,,,[akˈkɛn.doː],accendo,1
19206,a0277,accensus,n,n-s---mn4-,accens,,,[akˈkɛn.sʊs],accensus,1
19207,a0253,accentiuncula,n,n-s---fn1-,accentiuncul,,,[ak.kɛn̪.t̪ɪ̣.'jʊŋ.kʊ.la],accentiuncula,1
19208,a9987,accentus,n,n-s---mn4-,accent,,,[akˈkɛn.tʊs],accentus,1
19210,a0256,acceptio,n,n-s---fn3-,acception,,,[akˈkɛp.ti.oː],acceptio,1
19211,a0258,accepto,v,v1spia--1-,accept acceptau acceptat,,,[akˈkɛp.toː],accepto,1
19212,a8917,acceptum,n,n-s---nn2-,accept,,,[ak.'kɛp.t̪ũː],acceptum,1
19200,19200,Academicus,a,aps---mn1-,Academic Academic Academic,,,/a.kaˈdeː.mi.kus/,Academicus,1
19213,19213,acceptus,a,aps---mn1-,accept accept accept,,,[ak.'kɛp.t̪ʊs],acceptus,1
19217,a0239,accessus,n,n-s---mn4-,access,,,[ak.'kɛs.sʊs],accessus,1
19214,19214,accersitor,n,n-s---mn3-,accersitor,,,[ak.'kɛr.sɪ.t̪ɔr],accersitor,1
