070,a,9,"whichever, whichsoever (of two)",
206815,L6201980,r,9,village by village,
206765,W0003126,n,11,"in ambito artistico-letterario, la rappresentazione dellesperienza individuale dellautore",2425
206766,W0003169,r,11,"in un luogo, condizione, situazione di protezione e sicurezza",
206767,W0003173,a,11,"che ha più anni, che ha unetà maggiore",
206768,W0021171,n,11,"luogo, ambiente, persona da cui ha origine qualcosa di negativo, di riprovevole",
206769,W0005162,n,11,si occupa dell'amministrazione degli organi giudiziari,"1718,1820"
206770,W0005491,n,11,il gesto tecnico fondamentale per segnare un goal,2638
206771,W0005492,n,11,"""Il goal della vittoria viene siglato da Fioravanti nella parte finale della gara.""",2638
206773,W0005496,n,11,"""Il mondo degli affari da alcuni anni e' animato da una nuova filosofia imprenditoriale",1753
206774,W0005497,n,11,"legge italiana (1970) a tutela della dignita', della salute, della professionalita' e della liberta' politica e sindacale dei lavoratori",1718
206775,W0005498,n,11,l'organo monocratico posto al vertice di un partito politico,1718
206776,W0005500,n,11,"""la legge disciplina il finanziamento dei partiti, con riguardo alle loro organizzazioni centrali e periferiche.""",1718
206777,W0005501,n,11,"""Essere iscritto nel registro degli indagati sostanzialmente non significa niente in termini di valutazione sulla colpevolezza di un individuo.""",1802
206778,W0005504,n,11,colui che e' sottoposto a indagine preliminare,2516
206779,W0005505,n,11,"""Il governo sarà eletto attraverso una procedura volta a favorire l’unità nazionale.""",1718
206780,W0005506,n,11,"""Il panorama politico inglese vede da alcuni anni la crescita di movimenti di estrema destra""",1718
206781,W0005507,n,11,alleggerimento o eliminazione di un onere fiscale,1753
206782,W0005508,n,11,"la posizione di partenza più vantaggiosa, in prima fila e interna rispetto alla curva che viene assegnata a chi ha conseguito il miglior tempo nei giri di prova",2638
206783,W0005509,n,11,prima posizione,2638
206784,Y0005590,n,11,NULL,1802
206785,Y0005591,n,11,NULL,1753
206786,L8143809,n,9,"a lookoutship, a spy-ship, a vessel sent out to reconnoitre",1852
206787,L8903276,n,9,she that lacerates,2516
206788,L8621311,n,9,"deacon-elect, one who is to be made a deacon",1658
206789,L2938926,r,9,"if anywhere, wheresoever",1462
206790,L9823758,v,9,"wash under, flow between",2138
206791,L6551624,n,9,a person who compares,2516
206792,L8731664,a,9,of four hundred each,1467
206793,L7937842,n,9,"a person who listens carefully, hearkens to",2516
206794,L1165927,n,9,"a line upon the sundial, its axis",2406
206797,L3817492,n,9,a species of genus Vitis whose dried berries are used to make wine,1788
206798,L2947594,a,9,"psythian, a designation of a species of vine",1788
206800,L4396792,a,9,"consisting of an iambus, pyrrhichius, and trochaeus",2749
206801,L5117497,n,9,a corporation that procured the lustration of the fields of a district,"1666,1820"
206802,L5017472,a,9,"with a double thread, two-threaded",2478
206803,L8013905,n,9,the putting of one letter for another,1970
206804,L9135003,a,9,relating to the production of printed emblems or devices,2412
206805,L8304740,a,9,six each,1467
206806,L8573853,n,9,the place where a chorus was trained and practised,"1666,2551"
206807,L3538300,n,9,the preparing and bringing out of a chorus,2551
