,184167,,,
357676,45681,191772,,,
357683,45681,186600,,,
357690,45681,191191,,,
357697,45681,183993,,,
357702,45681,186534,,,
357706,45681,186519,,,
357713,45681,194660,,,
357720,45681,191044,,,
357727,45681,195607,,,
357734,45676,122237,,,
357741,45676,151931,,,
357748,45676,106235,,,
357755,45676,120656,,,
357762,45676,142525,,,
357769,45676,104502,,,
357776,45676,138664,,,
357783,45676,104859,,,
357790,45676,131980,,,
357797,45649,190783,,,
357804,45649,183012,,,
357809,45700,136793,,,
357813,45700,117099,,,
357820,45712,177117,,,
357827,45740,149298,,,
357834,45707,160322,,,
357841,45707,150947,,,
357848,45749,120630,,,
357855,45749,119201,,,
357862,45715,122481,,,
357869,45724,180340,,,
357876,45724,177220,,,
357883,45754,189135,,,
357890,45699,195878,,,
357897,45698,136441,,,
357904,45698,136936,,,
357911,45698,137301,,,
357916,45698,136136,,,
357920,45698,105914,,,
357927,45698,127136,,,
357934,45698,168464,,,
357941,45728,127077,,,
357948,45735,149550,,,
357955,45732,176617,,,
357962,45732,181153,,,
357969,45732,171398,,,
357976,45732,174962,,,
357983,45732,170303,,,
357990,45732,176927,,,
357997,45732,178449,,,
358004,45732,173283,,,
358011,45732,179358,,,
358018,45732,181357,,,
358023,45732,180289,,,
358027,45732,173595,,,
358034,45732,178187,,,
358041,45752,107478,,,
358048,45752,136322,,,
358055,45714,192502,,,
358062,45714,190949,,,
358069,45714,192450,,,
358076,45714,187304,,,
358083,45714,186785,,,
358090,45714,195961,,,
358097,45714,184667,,,
358104,45714,191285,,,
358111,45714,192790,,,
358118,45714,186627,,,
358125,45714,192233,,,
358130,45714,184038,,,
358134,45714,187091,,,
358141,45714,187077,,,
358148,45714,186026,,,
358155,45714,192651,,,
358162,45714,192615,,,
358169,45714,192068,,,
358176,45714,196125,,,
358183,45742,140479,,,
358190,45753,166046,,,
358197,45753,103421,,,
358204,45753,137413,,,
358211,45730,177394,,,
358218,45730,174434,,,
358225,45686,148067,,,
358232,45704,202445,,,
358237,45750,201210,,,
358241,45750,202277,,,
358248,45750,200736,,,
358255,45750,201740,,,
358262,45750,201731,,,
358269,45702,141460,,,
358276,45702,138081,,,
358283,45688,147711,,,
358290,45688,122338,,,
358297,45688,150477,,,
358304,45688,148673,,,
358311,45688,118178,,,
358318,45688,142853,,,
358325,45727,187126,,,
358332,45727,187122,,,
358339,45727,187117,,,
358344,45727,186210,,,
358348,45727,187992,,,
358355,45727,190011,,,
358362,45727,185512,,,
358369,45727,182264,,,
358376,45727,187912,,,
358383,45731,119165,,,
358390,45731,127083,,,
358397,45731,142556,,,
358404,45731,162501,,,
358411,45731,106254,,,
358418,45720,141904,,,
358425,45696,171006,,,
358432,45696,171445,,,
358439,45696,179334,,,
358446,45721,181547,,,
358451,45694,193209,,,
358455,45694,181474,,,
358462,45685,181442,,,
358469,45744,108252,,,
358476,45744,162740,,,
358483,45744,124955,,,
358490,45744,160770,,,
