id,uri,lemma,pos,morpho,principal_parts,prosody,validated
19155,19155,abrupte,r,rp--------,abrupt,abrupte,1
19161,19161,abscise,r,rp--------,abscis,abscise,1
19163,19163,abscondite,r,rp--------,abscondit,abscondite,1
19167,19167,absinthium,n,n-s---nn2-,absinthi,absinthium,1
19114,a0026,abauus,n,n-s---mn2-,abau,abauus,1
19115,a0012,abbatissa,n,n-s---fn1-,abbatiss,abbatissa,1
19168,19168,absis,n,n-s---fn3-,absid,absis,1
19117,a0031,abdicatio,n,n-s---fn3-,abdication,abdicatio,1
19119,a0038,abdo,v,v1spia--3-,abd abdid abdit,abdo,1
19120,a0039,abdomen,n,n-s---nn3-,abdomin,abdomen,1
19170,19170,absolute,r,rp--------,absolut,absolute,1
19122,a0045,aberratio,n,n-s---fn3-,aberration,aberratio,1
19123,a0050,abhorreo,v,v1spia--2-,abhorr abhorru -,abhorreo,1
19124,a0053,abicio,v,v1spia--3i,abic abiec abiect,abicio,1
19126,a9983,abigeatus,n,n-s---mn4-,abigeat,abigeatus,1
113023,i0269,illuminus,a,aps---mn1-,illumin illumin illumin,illuminus,0
19127,a0063,abigo,v,v1spia--3-,abig abeg abact,abigo,1
19128,a0065,abitio,n,n-s---fn3-,abition,abitio,1
19129,a9984,abitus,n,n-s---mn4-,abit,abitus,1
19131,a0079,ablatiuus,a,aps---mn1-,ablatiu ablatiu ablatiu,ablatiuus,1
19133,a0086,abligurrio,v,v1spia--4-,abligurr abligurri abligurrit,abligurrio,1
19134,a9091,abluo,v,v1spia--3-,ablu ablu ablut,abluo,1
19135,a0092,ablutio,n,n-s---fn3-,ablution,ablutio,1
19137,a0095,abluuium,n,n-s---nn2-,abluui,abluuium,1
19138,a0098,abnegatio,n,n-s---fn3-,abnegation,abnegatio,1
19139,a0101,abnego,v,v1spia--1-,abneg abnegau abnegat,abnego,1
19140,a0111,abnuo,v,v1spia--3-,abnu abnu -,abnuo,1
19142,a1752,abolesco,v,v1spia--3-,abolesc aboleu -,abolesco,1
19143,a0117,abolitio,n,n-s---fn3-,abolition,abolitio,1
19144,a0119,abolla,n,n-s---fn1-,aboll,abolla,1
19147,a0126,abortio,n,n-s---fn3-,abortion,abortio,1
19148,a0127,abortio,v,v1spia--4-,abort - -,abortio,1
19151,a0133,abrado,v,v1spia--3-,abrad abras abras,abrado,1
19152,a0140,abripio,v,v1spia--3i,abrip abripu abrept,abripio,1
19153,a0143,abrogo,v,v1spia--1-,abrog abrogau abrogat,abrogo,1
19154,a0145,abrumpo,v,v1spia--3-,abrump abrup abrupt,abrumpo,1
19158,a0160,abscessus,n,n-s---mn4-,abscess,abscessus,1
19159,a0149,abscido,v,v1spia--3-,abscid abscid abscis,abscido,1
19160,a0150,abscindo,v,v1spia--3-,abscind abscid absciss,abscindo,1
19162,a0151,abscisio,n,n-s---fn3-,abscision,abscisio,1
19169,a0169,absisto,v,v1spia--3-,absist absistit -,absisto,1
19173,a0178,absoluo,v,v1spia--3-,absolu absolu absolut,absoluo,1
19171,a0174,absolutio,n,n-s---fn3-,absolution,absolutio,1
19172,19172,absolutus,a,aps---mn1-,absolut absolut absolut,absolutus,1
46056,a1807,amygdaleus,a,aps---mn1-,amygdale amygdale amygdale,amygdaleus,0
119811,119811,oppallio,v,v1spia--1-,oppalli oppalliau oppallia,oppallio,0
19181,a0191,abstineo,v,v1spia--2-,abstin abstinu abstent,abstineo,1
19183,a0196,abstrudo,v,v1spia--3-,abstrud abstrus abstrus,abstrudo,1
19186,a0203,absumptio,n,n-s---fn3-,absumption,absumptio,1
19187,19187,absurde,r,rp--------,absurd,absurde,1
19188,a0204,absurditas,n,n-s---fn3-,absurditat,absurditas,1
19191,a0210,abundantia,n,n-s---fn1-,abundanti,abundantia,1
19193,19193,abunde,r,rp--------,abund,abunde,1
19190,19190,abundanter,r,rp--------,abundant,abundanter,1
45994,45994,annulatus,a,aps---mn1-,annulat annulat annulat,annulatus,0
19203,a0242,acceleratio,n,n-s---fn3-,acceleration,acceleratio,1
19205,a0245,accendo,v,v1spia--3-,accend accend accens,accendo,1
19207,a0253,accentiuncula,n,n-s---fn1-,accentiuncul,accentiuncula,1
19208,a9987,accentus,n,n-s---mn4-,accent,accentus,1
19210,a0256,acceptio,n,n-s---fn3-,acception,acceptio,1
19211,a0258,accepto,v,v1spia--1-,accept acceptau acceptat,accepto,1
19212,a8917,acceptum,n,n-s---nn2-,accept,acceptum,1
19194,a0212,abundo,v,v1spia--1-,abund abundau abundat,abundo,1
19195,a0214,abusio,n,n-s---fn3-,abusion,abusio,1
19200,19200,Academicus,a,aps---mn1-,Academic Academic Academic,Academicus,1
19213,19213,acceptus,a,aps---mn1-,accept accept accept,acceptus,1
19217,a0239,accessus,n,n-s---mn4-,access,accessus,1
19197,a9217,abyssus,n,n-s---fn2-,abyss,abyssus,1
19214,19214,accersitor,n,n-s---mn3-,accersitor,accersitor,1
19220,a0272,accingo,v,v1spia--3-,accing accinx accinct,accingo,1
19221,a0280,accitio,n,n-s---fn3-,accition,accitio,1
19222,a9989,accitus,n,n-s---mn4-,accit,accitus,1
19223,a0282,acclamatio,n,n-s---fn3-,acclamation,acclamatio,1
19224,a0283,acclamo,v,v1spia--1-,acclam acclamau acclamat,acclamo,1
19227,a0295,accommodatio,n,n-s---fn3-,accommodation,accommodatio,1
19228,a0298,accommodo,v,v1spia--1-,accommod accommodau accommodat,accommodo,1
19229,a0301,accredo,v,v1spia--3-,accred accredid accredit,accredo,1
19230,a0303,accresco,v,v1spia--3-,accresc accreu accret,accresco,1
19231,a0304,accretio,n,n-s---fn3-,accretion,accretio,1
19233,a0317,accumulo,v,v1spia--1-,accumul accumulau accumulat,accumulo,1
19202,a0268,accedo,v,v1spia--3-,acced access access,accedo,1
19235,a0364,accursus,n,n-s---mn4-,accurs,accursus,1
19236,a0323,accusatio,n,n-s---fn3-,accusation,accusatio,1
19218,19218,accidens,n,n-s---nn3-,accident,accidens,1
19237,a0324,accusatiuus,a,aps---mn1-,accusatiu accusatiu accusatiu,accusatiuus,1
19238,a0325,accusator,n,n-s---mn3-,accusator,accusator,1
19239,a0329,accuso,v,v1spia--1-,accus accusau accusat,accuso,1
19240,a0335,acer,n,n-s---nn3-,acer,acer,1
19234,19234,accuratus,a,aps---mn1-,accurat accurat accurat,accuratus,1
19206,a0277,accensus,n,n-s---mn4-,accens,accensus,1
19242,19242,acerbe,r,rp--------,acerb,acerbe,1
19199,19199,Academia,n,n-s---fn1-,Academi,Academia,1
19245,a0343,acerbus,a,aps---mn1-,acerb acerb acerb,acerbus,1
19244,a0342,acerbo,v,v1spia--1-,acerb acerbau acerbat,acerbo,1
19241,a0336,acer,a,aps---mn3i,acr acr acr,acer,1
46019,a1904,anatomica,n,n-s---fn1-,anatomic,anatomica,0
119854,119854,oquinisco,v,v1spia--3-,,oquinisco,0
46025,46025,baltea,n,n-s---fn1-,balte,baltea,0
19252,19252,Acia,n,n-s---fn1-,Aci,Acia,1
19255,19255,Acinaces,n,n-s---mn3i,Acinac,Acinaces,1
19263,19263,Acritas,n,n-s---mn1g,Acrit,Acritas,1
19253,a0377,acidus,a,aps---mn1-,acid acid acid,acidus,1
19250,19250,Achates,n,n-s---mn3-,Achat,Achates,0
19254,a0379,acies,n,n-s---fn5-,aci,acies,1
19279,19279,acuminatus,a,aps---mn1-,acuminat acuminat acuminat,acuminatus,1
19256,a0385,acinum,n,n-s---nn2-,acin,acinum,1
19258,a0394,acoetis,n,n-s---fn3i,acoet,acoetis,1
19260,a0402,acor,n,n-s---mn3-,acor,acor,1
19262,a0417,acrimonia,n,n-s---fn1-,acrimoni,acrimonia,1
19277,a0460,aculeus,n,n-s---mn2-,acule,aculeus,1
19264,a0418,acritudo,n,n-s---fn3-,acritudin,acritudo,1
19265,a0422,acroama,n,n-s---nn3-,acroamat,acroama,1
19266,a0423,acroasis,n,n-s---fn3i,acroas,acroasis,1
19269,a0441,actio,n,n-s---fn3-,action,actio,1
19270,a0447,actiuus,a,aps---mn1-,actiu actiu actiu,actiuus,1
19271,a0448,actor,n,n-s---mn3-,actor,actor,1
19273,a0453,actuarius,n,n-s---mn2-,actuari,actuarius,1
19274,a0454,actuosus,a,aps---mn1-,actuos actuos actuos,actuosus,1
19275,a9991,actus,n,n-s---mn4-,act,actus,1
19276,a0455,actutum,r,rp--------,,actutum,1
19282,19282,acute,r,rp--------,acut,acute,1
19283,19283,acutus,a,aps---mn1-,acut acut acut,acutus,1
19257,a0386,acipenser,n,n-s---mn3-,acipenser,acipenser,1
19289,19289,adamas,n,n-s---mn3i,adamant,adamas,1
19280,a0464,acuo,v,v1spia--3-,acu acu acut,acuo,1
19247,a0352,aceruo,v,v1spia--1-,aceru aceruau aceruat,aceruo,1
19249,a0360,acetum,n,n-s---nn2-,acet,acetum,1
19314,19314,adfabilis,a,aps---cn3i,adfabil adfabil adfabil,adfabilis,1
19251,19251,Achilles,n,n-s---mn3-,Achille,Achilles,0
19286,a0488,adagio,n,n-s---fn3-,adagion,adagio,1
19288,a0492,adalligo,v,v1spia--1-,adallig adalligau adalligat,adalligo,1
19290,a0501,adamplio,v,v1spia--1-,adampli adampliau adampliat,adamplio,1
19291,a0502,adaperio,v,v1spia--4-,adaper adaperu adapert,adaperio,1
19292,a0504,adapertio,n,n-s---fn3-,adapertion,adapertio,1
19293,a0505,adapto,v,v1spia--1-,adapt adaptau adaptat,adapto,1
19295,a0477,adauctus,n,n-s---mn4-,adauct,adauctus,1
19297,a0513,adaugesco,v,v1spia--3-,adaugesc - -,adaugesco,1
19298,a0514,adaugmen,n,n-s---nn3-,adaugmin,adaugmen,1
19299,a0516,adbibo,v,v1spia--3-,adbib adbib -,adbibo,1
19300,a0517,adbito,v,v1spia--3-,adbit - -,adbito,1
19301,a0526,addenso,v,v1spia--1-,addens addensau addensa,addenso,1
19302,a0530,addisco,v,v1spia--3-,addisc addidic -,addisco,1
19304,a0533,additio,n,n-s---fn3-,addition,additio,1
19305,a0535,addo,v,v1spia--3-,add addid addit,addo,1
19306,a0541,addubito,v,v1spia--1-,addubit addubitau addubitat,addubito,1
19307,a0542,adduco,v,v1spia--3-,adduc addux adduct,adduco,1
19308,a0544,adductor,n,n-s---mn3-,adductor,adductor,1
19311,a0552,adeo,r,rp--------,,adeo,1
19310,a0553,adeo,v,v1spia--2-,adi adiu adit,adeo,1
136495,d0056,dartos,n,n-s---mn2g,dart,dartos,0
113026,i0276,illustratio,n,n-s---fn3-,illustration,illustratio,0
19285,a0485,adaero,v,v1spia--1-,adaer adaerau adaerat,adaero,1
46005,a3211,astrificus,a,aps---mn1-,astrific astrific astrific,astrificus,0
119859,119859,oratim,r,rp--------,,oratim,0
46003,46003,bybliotheca,n,n-s---fn1-,bybliothec,bybliotheca,0
19334,19334,adfligo,v,v1spia--3-,adflig adflix adflict,adfligo,1
19339,19339,adformido,v,v1spia--1-,adformid adformidau adformidat,adformido,1
19344,19344,adgrauo,v,v1spia--1-,adgrau adgrauau adgrauat,adgrauo,1
19342,19342,adfulgeo,v,v1spia--2-,adfulg adfuls -,adfulgeo,1
19325,19325,adfero,v,v1spia--3-,adfer adtul adlat,adfero,1
19317,19317,adfamen,n,n-s---nn3-,adfamin,adfamen,1
19318,19318,adfatus,n,n-s---mn4-,adfat,adfatus,1
46046,46046,barditus,n,n-s---mn2-,bardit,barditus,0
19329,19329,adfirmo,v,v1spia--1-,adfirm adfirmau adfirmat,adfirmo,1
19320,19320,adfecte,r,rp--------,,adfecte,1
19321,19321,adfectio,n,n-s---fn3-,adfection,adfectio,1
19323,19323,adfectuose,r,rp--------,adfectuos,adfectuose,1
19324,19324,adfectus,n,n-s---mn4-,adfect,adfectus,1
19328,19328,adfirmatiuus,a,aps---mn1-,adfirmatiu adfirmatiu adfirmatiu,adfirmatiuus,1
19330,19330,adflatus,n,n-s---mn4-,adflat,adflatus,1
19331,19331,adflictio,n,n-s---fn3-,adfliction,adflictio,1
19332,19332,adflicto,v,v1spia--1-,adflict adflictau adflictat,adflicto,1
19333,19333,adflictus,n,n-s---mn4-,adflict,adflictus,1
19335,19335,adflo,v,v1spia--1-,adfl adfleu adflet,adflo,1
19336,19336,adfluens,a,aps---an3i,adfluent adfluent adfluent,adfluens,1
19337,19337,adfluenter,r,rp--------,adfluent,adfluenter,1
19338,19338,adfluentia,n,n-s---fn1-,adfluenti,adfluentia,1
19340,19340,adfremo,v,v1spia--3-,adfrem - -,adfremo,1
19341,19341,adfrictus,n,n-s---mn4-,adfrict,adfrictus,1
19343,19343,adgero,v,v1spia--3-,adger adgess adgest,adgero,1
19346,19346,adgressio,n,n-s---fn3-,adgression,adgressio,1
19347,19347,adgressor,n,n-s---mn3-,adgressor,adgressor,1
19348,19348,adgressura,n,n-s---fn1-,adgressur,adgressura,1
19349,19349,adgressus,n,n-s---mn4-,adgress,adgressus,1
19372,19372,adlambo,v,v1spia--3-,adlamb - -,adlambo,1
19374,19374,adlegatio,n,n-s---fn3-,adlegation,adlegatio,1
