,praesignis,a,aps---cn3i,praesign praesign praesign,praesignis,0
40266,40266,hexapeda,n,n-s---fn1-,hexaped,hexapeda,0
100139,100139,praesumptus,a,aps---mn1-,praesumpt praesumpt praesumpt,praesumptus,0
100142,100142,praeterita,n,n-p---nn2-,praeterit,praeterita,0
100140,p3364,praetenuis,a,aps---cn3i,praetenu praetenu praetenu,praetenuis,0
100141,p3365,praetepesco,v,v1spia--3-,praetepesc praetepu -,praetepesco,0
100144,100144,praetorius,n,n-s---mn2-,praetori,praetorius,0
100153,100153,prauius,a,aps---mn1-,praui praui praui,prauius,0
100143,p3388,praetero,v,v1spia--3-,praeter praetriu praetrit,praetero,0
100146,p3413,praetrepido,v,v1spia--1-,praetrepid praetrepidau praetrepidat,praetrepido,0
100147,p3414,praetrepidus,a,aps---mn1-,praetrepid praetrepid praetrepid,praetrepidus,0
100149,p3421,praeuallo,v,v1spia--1-,praeuall praeuallau praeuallat,praeuallo,0
100150,p3450,praeuius,a,aps---mn1-,praeui praeui praeui,praeuius,0
100148,p3452,praeumbro,v,v1spia--1-,praeumbr praeumbrau praeumbrat,praeumbro,0
100151,p3470,prasinatus,a,aps---mn1-,prasinat prasinat prasinat,prasinatus,0
100154,100154,prima,n,n-p---nn2-,prim,prima,0
100155,100155,primani,n,n-p---mn2-,priman,primani,0
100156,100156,primipilaris,n,n-s---mn3i,primipilar,primipilaris,0
100157,100157,primores,n,n-s---mn3-,primor,primores,0
100159,100159,princeps,n,n-s---mn3-,princip,princeps,0
100152,p3478,pratensis,a,aps---cn3i,pratens pratens pratens,pratensis,0
100161,100161,priores,n,n-s---mn3-,prior,priores,0
100162,100162,prisci,n,n-p---mn2-,prisc,prisci,0
100167,100167,proceres,n,n-s---mn3-,procer,proceres,0
100168,100168,procinctus,a,aps---mn1-,procinct procinct procinct,procinctus,0
100181,100181,profluens,a,aps---an3i,profluent profluent profluent,profluens,0
100158,p3561,primumdum,r,rp--------,,primumdum,0
100164,p3582,priuatim,r,rp--------,,priuatim,0
100165,p3607,probabilis,a,aps---cn3i,probabil probabil probabil,probabilis,0
100166,p3638,procax,a,aps---an3i,procac procac procac,procax,0
100169,p3663,procliue,n,n-s---nn3i,procliu,procliue,0
100170,p3663,procliuis,a,aps---cn3i,procliu procliu procliu,procliuis,0
100172,p3679,procresco,v,v1spia--3-,procresc - -,procresco,0
100182,100182,profusus,a,aps---mn1-,profus profus profus,profusus,0
100184,100184,prognatus,a,aps---mn1-,prognat prognat prognat,prognatus,0
100173,p3685,proculcatio,n,n-s---fn3-,proculcation,proculcatio,0
100185,100185,progressus,a,aps---mn1-,progress progress progress,progressus,0
100189,100189,prominens,a,aps---an3i,prominent prominent prominent,prominens,0
100174,p3695,procuratiuncula,n,n-s---fn1-,procuratiuncul,procuratiuncula,0
100175,p3716,prodigialis,a,aps---cn3i,prodigial prodigial prodigial,prodigialis,0
100176,p9945,producta,n,n-p---nn2-,product,producta,0
100193,100193,promulsidare,n,n-s---nn3i,promulsidar,promulsidare,0
100177,p3744,proeliaris,a,aps---cn3i,proeliar proeliar proeliar,proeliaris,0
100178,p3739,profatus,n,n-s---mn4-,profat,profatus,0
100179,p3760,professor,n,n-s---mn3-,professor,professor,0
100198,100198,properans,a,aps---an3i,properant properant properant,properans,0
100183,p3795,progero,v,v1spia--3-,proger progess progest,progero,0
100199,100199,propinque,r,rp--------,,propinque,0
100138,100138,praestus,a,aps---mn1-,praest praest praest,praestus,0
100187,p9914,proiectus,n,n-s---mn4-,proiect,proiectus,0
100190,p3880,prominulus,a,aps---mn1-,prominul prominul prominul,prominulus,0
100191,p3898,prompto,v,v1spia--1-,prompt promptau promptat,prompto,0
100192,p9918,promptus,n,n-s---mn4-,prompt,promptus,0
100195,p3916,pronepos,n,n-s---mn3-,pronepot,pronepos,0
100197,p3925,pronubus,a,aps---mn1-,pronub pronub pronub,pronubus,0
40278,40278,inhumaniter,r,rp--------,defarinat,inhumaniter,0
40282,40282,medicandus,a,aps---mn1-,medic medic medic,medicandus,0
40319,40319,michina,n,n-s---fn1-,michin,michina,0
40295,40295,murilegius,n,n-s---mn2-,murilegi,murilegius,0
40299,40299,occultus,a,aps---mn1-,occult occult occult,occultus,0
40267,40267,oporteo,v,v1spia--2-,oport oportu -,oporteo,0
40296,40296,ostentui,r,rp--------,,ostentui,0
40314,40314,plostrum,n,n-s---nn2-,plostr,plostrum,0
100214,p9927,prouisus,n,n-s---mn4-,prouis,prouisus,0
100206,p4046,propylaeon,n,n-s---nn2g,propylae,propylaeon,0
100205,100205,proprium,n,n-s---nn2-,propri,proprium,0
100255,p4600,puteal,n,n-s---nn3i,puteal,puteal,1
100209,100209,prostitutus,a,aps---mn1-,prostitut prostitut prostitut,prostitutus,0
100210,100210,prosum,r,rp--------,,prosum,0
100212,p4217,prouincialis,a,aps---cn3i,prouincial prouincial prouincial,prouincialis,0
100213,p4217,prouincialis,n,n-s---mn3i,prouincial,prouincialis,0
100211,100211,prouidens,a,aps---an3i,prouident prouident prouident,prouidens,0
100215,100215,proximum,n,n-s---nn2-,proxim,proximum,0
100216,p4245,proximus,a,aps---mn1-,proxum proxum proxum,proximus,0
100218,p4265,prytanis,n,n-s---mn3i,prytan,prytanis,0
100219,p4304,pseudomenos,n,n-s---mn2g,pseudomen,pseudomenos,0
100221,p4364,pubens,a,aps---an3i,pubent pubent pubent,pubens,0
100233,p4415,pugilice,r,rp--------,,pugilice,0
100235,p4416,pugillar,n,n-s---nn3i,pugillar,pugillar,0
100238,p4436,pulchralia,n,n-p---nn3i,pulchral,pulchralia,0
100241,p4488,pultarius,n,n-s---mn2-,pultari,pultarius,0
100242,p2248,puluinaris,a,aps---cn3i,puluinar puluinar puluinar,puluinaris,0
100217,100217,proxumo,v,v1spia--1-,proxum proxumau proxumat,proxumo,0
100232,100232,puerus,a,aps---mn1-,puer puer puer,puerus,0
100244,p4525,punctiuncula,n,n-s---fn1-,punctiuncul,punctiuncula,0
100234,100234,pugillares,n,n-p---mn3i,pugillar,pugillares,0
100246,p4530,puniceus,a,aps---mn1-,punice punice punice,puniceus,0
100252,p4569,purpurissatus,a,aps---mn1-,purpurissat purpurissat purpurissat,purpurissatus,0
100237,100237,pugnum,n,n-s---nn2-,pugn,pugnum,0
100253,p4598,putator,n,n-s---mn3-,putator,putator,0
100243,100243,punctatoriolae,n,n-p---fn1-,punctatoriol,punctatoriolae,0
100254,p4601,putealis,a,aps---cn3i,puteal puteal puteal,putealis,0
100245,100245,punctus,a,aps---mn1-,punct punct punct,punctus,0
100249,100249,puplicitus,r,rp--------,,puplicitus,0
100250,100250,puppes,n,n-s---fn3i,pupp,puppes,0
100256,p9948,putesco,v,v1spia--3-,putesc putu -,putesco,0
100257,p4611,putillus,a,aps---mn1-,putill putill putill,putillus,0
100258,p4614,putor,n,n-s---mn3-,putor,putor,0
100261,p4667,pythaules,n,n-s---mn1g,pythaul,pythaules,0
100251,100251,purpuratus,n,n-s---mn2-,purpurat,purpuratus,0
100265,q0010,quadragiens,r,rp--------,,quadragiens,0
100260,100260,pygesiacus,a,aps---mn1-,pygesiac pygesiac pygesiac,pygesiacus,0
100262,100262,pyrethron,n,n-s---nn2g,pyrethr,pyrethron,0
100267,q0013,quadrantal,n,n-s---nn3i,quadrantal,quadrantal,0
100263,100263,quadragenus,a,aps---mn1-,quadragen quadragen quadragen,quadragenus,0
100266,100266,quadrans,n,n-s---mn3i,quadrant,quadrans,0
100239,p4459,pullum,n,n-s---nn2-,pull,pullum,0
100200,100200,propinquum,n,n-s---nn2-,propinqu,propinquum,0
100202,100202,propnigeon,n,n-s---nn2-,propnige,propnigeon,0
100204,p4024,propritim,r,rp--------,,propritim,0
100240,p4481,puls,n,n-s---fn3i,pult,puls,0
40321,40321,rhagadium,n,n-s---nn2-,rhagadi,rhagadium,0
40263,40263,spinacium,n,n-s---nn2-,spinaci,spinacium,0
100273,q0071,quadriremis,n,n-s---fn3i,quadrirem,quadriremis,0
100272,100272,quadrini,a,app---mn1-,quadrin quadrin quadrin,quadrini,0
100276,100276,quadrupes,n,n-s---mn3-,quadruped,quadrupes,0
100275,q0083,quadrupedus,a,aps---mn1-,quadruped quadruped quadruped,quadrupedus,0
100277,q0108,quaestuarius,a,aps---mn1-,quaestuari quaestuari quaestuari,quaestuarius,0
100278,100278,quaestuose,r,rp--------,,quaestuose,0
100279,100279,qualis,a,aps---cn3i,qual qual qual,qualis,0
100280,100280,quaque,r,rp--------,,quaque,0
100281,100281,quartadecimani,n,n-p---mn2-,quartadeciman,quartadecimani,0
100283,100283,quartani,n,n-p---mn2-,quartan,quartani,0
100287,100287,quattuoruiri,n,n-p---mn2-,quattuoruir,quattuoruiri,0
100282,q0142,quartana,n,n-s---fn1-,quartan,quartana,0
100288,100288,quauis,r,rp--------,,quauis,0
100290,100290,quietum,n,n-s---nn2-,quiet,quietum,0
100292,100292,quindecies,r,rp--------,,quindecies,0
100284,q0148,quartus,a,aps---mn1-,quart quart quart,quartus,0
