id,lemma,synset,period,genre,notes
923,100111,181626,,,
3,19151,179289,,,
4,19151,176481,,,
5,19151,179490,,,
6,19151,179424,,,
7,19151,174507,,,
9,19151,179152,,,
10,19151,174512,,,
11,19151,179154,,,
12,19151,179288,,,
13,19151,172441,,,
14,19205,181386,,,
15,19205,176718,,,
16,19205,171954,,,
17,19205,174450,,,
18,19205,181403,,,
19,19205,181436,,,
20,19208,127678,,,
21,19245,191174,,,
22,19241,191174,,,
23,20073,127595,,,
24,19614,111664,,,
25,19614,116339,,,
26,19614,160355,,,
27,19603,145134,,,
28,19625,168517,,,
30,19625,127753,,,
31,19625,168575,,,
32,19625,127743,,,
33,19622,145214,,,
34,19622,130500,,,
35,19622,127582,,,
36,19667,145869,,,
37,19667,145919,,,
38,19752,129640,,,
39,19782,196036,,,
40,19782,183885,,,
41,19782,183886,,,
42,19782,188985,,,
43,19782,183869,,,
44,19783,162632,,,
45,19783,126990,,,
46,19783,108435,,,
47,19783,105364,,,
48,19783,130167,,,
49,19791,145120,,,
51,19791,117963,,,
52,19791,118516,,,
53,19791,117492,,,
54,19791,121342,,,
55,19871,178529,,,
56,19871,177550,,,
57,19927,116264,,,
58,19927,169123,,,
59,20029,162632,,,
60,20155,126645,,,
61,20154,170530,,,
62,20154,176073,,,
63,20154,176048,,,
64,20154,176057,,,
65,20153,152058,,,
66,20151,191685,,,
67,20158,137800,,,
68,20158,137797,,,
69,20282,126969,,,
70,20282,165458,,,
72,20330,131336,,,
73,20330,132120,,,
74,20293,163061,,,
75,20293,142539,,,
76,20293,142533,,,
77,20293,142535,,,
78,20315,172449,,,
79,20315,172450,,,
80,20315,172228,,,
81,20315,172197,,,
82,20315,172229,,,
83,20315,172201,,,
84,20315,172202,,,
85,20315,172364,,,
86,20315,172372,,,
87,20315,171797,,,
88,20315,172309,,,
89,20315,171990,,,
90,20315,171989,,,
91,20315,176500,,,
93,20315,171996,,,
94,20315,171902,,,
95,20341,117507,,,
96,20341,117380,,,
97,20341,117509,,,
98,20341,117510,,,
924,139104,145550,,,
925,139104,145549,,,
100,20341,125418,,,
101,20341,125419,,,
102,20341,122571,,,
103,20341,116734,,,
104,20457,123784,,,
106,20526,140496,,,
107,20564,186882,,,
108,20564,186883,,,
109,20564,191269,,,
110,20564,188166,,,
111,20564,181646,,,
112,20564,194319,,,
113,20564,186324,,,
114,20564,186875,,,
115,20564,186872,,,
116,20564,181625,,,
117,20564,181627,,,
118,20560,106818,,,
119,20560,106820,,,
120,20560,108178,,,
121,20562,178625,,,
122,20562,177044,,,
123,20562,177045,,,
124,20562,177047,,,
125,20557,177369,,,
127,20586,136001,,,
128,20586,113090,,,
129,20586,142373,,,
130,20586,129830,,,
131,20586,119622,,,
132,20586,104392,,,
133,20586,114036,,,
134,20586,119673,,,
135,20586,141949,,,
136,20586,162046,,,
137,20594,167200,,,
138,20594,136903,,,
139,20594,134171,,,
140,20594,119434,,,
141,20594,161298,,,
142,20594,137427,,,
143,20594,137691,,,
144,20594,107294,,,
145,20574,137728,,,
146,20574,138009,,,
148,20611,145093,,,
149,20611,207820,,,
151,20611,145526,,,
152,20611,211321,,,
153,20674,124774,,,
154,20674,123979,,,
155,20674,123980,,,
156,20674,162638,,,
157,20674,121650,,,
158,20674,128671,,,
159,20680,162658,,,
160,20680,162660,,,
161,20680,162636,,,
162,20680,116973,,,
163,20680,162641,,,
164,20680,120019,,,
165,20680,162650,,,
166,20712,107241,,,
167,20712,163731,,,
169,20786,137848,,,
170,20805,162651,,,
171,20805,162635,,,
172,20805,162645,,,
173,20809,129444,,,
174,20809,162649,,,
175,20809,143705,,,
176,20809,162651,,,
177,20809,162653,,,
178,20809,162655,,,
179,20812,162660,,,
180,20812,162629,,,
181,20812,163129,,,
182,20812,162632,,,
183,20812,161801,,,
184,20812,162635,,,
185,20812,162636,,,
186,20812,162637,,,
187,20812,162638,,,
188,20812,139216,,,
190,20812,169170,,,
191,20812,134101,,,
192,20812,125529,,,
193,20812,162651,,,
194,20812,106235,,,
195,20826,160416,,,
926,139104,211366,,,
197,20826,125158,,,
198,20855,162656,,,
199,20855,132704,,,
200,20855,136354,,,
201,20855,134147,,,
203,20855,162629,,,
204,20855,105868,,,
205,20855,132684,,,
206,20855,134670,,,
207,20855,132703,,,
208,20855,162641,,,
209,20855,162644,,,
210,20855,162645,,,
211,20855,132762,,,
212,20855,107071,,,
213,20869,141194,,,
214,20869,141195,,,
215,20869,135851,,,
216,20869,141197,,,
217,20869,141199,,,
218,20869,137232,,,
219,20869,117851,,,
220,20896,142448,,,
221,20896,143034,,,
222,20896,142363,,,
224,20908,120674,,,
225,20908,162663,,,
226,20908,144584,,,
227,20908,162062,,,
228,20908,120432,,,
229,20908,121779,,,
230,20908,140756,,,
231,20908,116661,,,
232,20908,142198,,,
233,20908,144664,,,
234,20908,117721,,,
235,20908,117722,,,
236,20908,117723,,,
237,20908,125627,,,
238,21039,123587,,,
239,21039,116413,,,
240,21039,152016,,,
241,21039,162644,,,
242,21039,127190,,,
243,21039,160855,,,
245,21039,161181,,,
246,21061,131334,,,
247,21061,133451,,,
248,21061,131185,,,
249,21061,106514,,,
250,21061,106259,,,
251,21061,134452,,,
252,21061,108181,,,
253,21061,131353,,,
254,21068,107970,,,
255,21198,133120,,,
256,21198,106273,,,
257,21198,107975,,,
258,21198,163853,,,
259,21198,106420,,,
260,21198,136340,,,
261,21198,160725,,,
262,21198,141726,,,
263,21198,141983,,,
264,21128,144049,,,
266,21320,127429,,,
267,21320,134406,,,
268,21320,130761,,,
269,21320,108585,,,
270,21320,136364,,,
271,21320,126220,,,
272,21320,163694,,,
273,21320,126222,,,
274,21320,144206,,,
275,21320,162671,,,
276,21332,127300,,,
277,21332,163400,,,
278,21284,174053,,,
279,21284,174086,,,
280,21284,174057,,,
281,21284,175630,,,
282,21284,175216,,,
283,21284,174520,,,
284,21284,172927,,,
285,21284,181085,,,
287,21469,171025,,,
288,21469,170947,,,
289,21469,170375,,,
290,21570,136733,,,
291,21570,133379,,,
292,21570,103843,,,
927,26655,170291,,,
294,21570,135742,,,
295,21570,152317,,,
296,21570,130732,,,
297,21570,121421,,,
298,21570,162637,,,
300,21570,107342,,,
301,21570,152318,,,
302,21570,134292,,,
303,21570,130708,,,
304,21570,103927,,,
305,21570,127928,,,
306,21570,103834,,,
307,21570,103323,,,
308,21570,135997,,,
309,21570,134814,,,
310,21595,131202,,,
311,21595,127086,,,
312,21595,163634,,,
313,21595,108370,,,
314,21595,145820,,,
315,21595,142846,,,
316,21795,167650,,,
317,21795,139266,,,
318,21795,125284,,,
319,21795,162629,,,
321,21795,157800,,,
322,21795,109352,,,
323,21795,204490,,,
324,21795,155415,,,
325,21795,204491,,,
326,21795,142672,,,
327,21795,166519,,,
328,21795,162649,,,
329,21795,120956,,,
330,21795,120991,,,
331,21805,175968,,,
332,21805,175970,,,
333,21805,177479,,,
334,21805,181130,,,
335,21805,176211,,,
336,21805,174103,,,
337,21805,180792,,,
338,21837,135696,,,
339,21837,136955,,,
340,21837,162644,,,
342,21831,177571,,,
343,21831,177572,,,
344,21831,177573,,,
345,21831,177639,,,
346,21831,177579,,,
347,21831,175660,,,
348,21831,177493,,,
349,21831,177372,,,
350,21809,116992,,,
351,21809,129929,,,
352,21809,124426,,,
353,21809,140555,,,
354,21809,119694,,,
355,21809,131102,,,
356,21809,142496,,,
357,21809,169128,,,
358,21809,140975,,,
359,21809,160303,,,
360,21809,167857,,,
361,21809,128434,,,
363,21809,130229,,,
364,21809,124602,,,
365,21809,128443,,,
366,21809,141895,,,
367,21809,130504,,,
368,21809,127177,,,
369,21809,142154,,,
370,21809,130505,,,
371,21809,127182,,,
372,21809,142158,,,
373,21809,128465,,,
374,21809,127186,,,
375,21809,131155,,,
376,21809,126430,,,
377,21809,128490,,,
378,21809,129770,,,
379,21809,132845,,,
380,21809,163695,,,
381,21809,141306,,,
382,21809,141307,,,
384,21829,163323,,,
385,21829,116310,,,
386,21829,116311,,,
387,21864,187518,,,
388,21902,162658,,,
389,21902,162661,,,
928,25862,179274,,,
391,21889,171147,,,
392,21951,106295,,,
393,21951,126776,,,
394,21957,204415,,,
395,21957,204417,,,
397,21974,162649,,,
398,21974,162665,,,
399,21996,140609,,,
400,21996,162083,,,
401,21996,117188,,,
402,21996,127911,,,
403,21996,162632,,,
404,21996,168521,,,
405,21996,162634,,,
406,21996,137930,,,
407,21996,116973,,,
408,21996,141230,,,
409,21996,104687,,,
410,21996,162637,,,
411,21996,162641,,,
412,21996,162638,,,
413,21996,120019,,,
414,21996,205109,,,
415,22009,169283,,,
416,22009,106244,,,
418,22009,120070,,,
419,22009,106252,,,
420,22009,149235,,,
421,22009,107479,,,
422,22009,203998,,,
423,22009,148670,,,
424,22045,176193,,,
425,22271,133129,,,
426,22271,103951,,,
427,22271,144914,,,
428,22271,131477,,,
429,22271,159766,,,
430,22271,159768,,,
431,22271,119577,,,
432,22271,118810,,,
433,22271,119578,,,
434,22271,162464,,,
435,22271,130850,,,
436,22271,111785,,,
437,22271,133675,,,
439,22271,161843,,,
440,22271,142775,,,
441,22271,122552,,,
442,22271,122553,,,
443,22271,122554,,,
444,22271,124984,,,
445,22271,124985,,,
446,22271,162884,,,
447,22271,126279,,,
448,22271,126280,,,
449,22271,124105,,,
450,22271,124104,,,
451,22271,124107,,,
452,22271,124108,,,
453,22271,163405,,,
454,22271,124106,,,
455,22271,152138,,,
456,22271,134746,,,
457,22271,113119,,,
458,22271,131042,,,
460,22271,136933,,,
461,22271,163050,,,
462,22271,134635,,,
463,22271,163568,,,
464,22271,122737,,,
465,22271,124921,,,
466,22271,163451,,,
467,22614,172449,,,
468,22614,172450,,,
469,22614,172739,,,
470,22614,172228,,,
471,22614,172229,,,
472,22614,173298,,,
473,22614,172372,,,
474,22614,171797,,,
475,22614,172309,,,
476,22614,171990,,,
477,22614,171989,,,
478,22614,176500,,,
479,22614,171898,,,
481,22614,178845,,,
482,22614,171902,,,
483,22692,137966,,,
484,22718,162639,,,
485,22718,162644,,,
486,22725,136449,,,
929,27521,136365,,,
488,22725,136308,,,
489,22725,134457,,,
490,22725,136317,,,
491,22728,197411,,,
492,22728,192357,,,
494,22728,186473,,,
495,22728,185068,,,
496,22728,185101,,,
497,22728,185070,,,
498,22728,185074,,,
499,22728,183412,,,
500,22728,193598,,,
501,22728,183416,,,
502,22728,185054,,,
503,22790,177408,,,
504,22790,178181,,,
505,22790,171573,,,
506,22790,181424,,,
507,22836,144861,,,
