41,n,9,"the serpent slain, according to the myth, near Delphi by Apollo, who was fabled to have been called Pythius in commemoration of this victory",1566
209983,L7683378,n,9,"a town or fortress of Mauritania, near the present Giza, in Oran",2775
209988,L4020300,n,9,"a people of Gaul, on the Rhine, neighbors of the Helvetians, near Basle",1696
209996,L3308632,n,9,"the northernmost town of Attica, famed for an ancient temple of Themis, and in later times for a statue of Nemesis, the modern Ovriokastro",2775
210022,L8343068,n,9,"a small river on the east coast of Italy, which formed the boundary between Italy and Cisalpine Gaul",2775
210037,L5279801,n,9,"the Sabines, an ancient Italian people adjoining the Latins, a part of whom, as early as the time of Romulus, were united with the Romans as one people, under the name of Quirites",
209564,L3990172,n,9,"a mountain of Thrace, on the borders of Macedonia, near Philippi, now Pilaf Tepeh",2775
210046,L2039712,n,9,"a town in Hispania Tarraconensis, on the Mediterranean, beyond the Iberus, the besieging and reduction of which by Hannibal led to the breaking out of the second Punic war",2775
150654,07578911,n,10,a title of address formerly used for a man of rank and authority,2794
210059,L9641875,n,9,"a son of Aeolus, brother of Sisyphus, who imitated lightning with burning torches, and was on that account hurled into Tartarus by a thunderbolt from Jupiter",
150702,07585929,n,10,an infant whose size and weight are considerably less than the average for babies of the same age,2516
210072,L2746651,n,9,"An island on the coast of Asia Minor opposite Ephesus, famed as the birthplace of Pythagoras, as also for its earth and the vessels made from it, the modern Samo",2775
210098,L2628111,n,9,"an ancient town in Latium, on the Appian Way, near Antium, now Casale di Conca",2775
210109,L9798990,n,9,"a Roman cognomen, meaning 'with large and swollen ankles, having the ankles bunching out'",2792
210114,L5083814,n,9,"a fabulous people in Libya, with monstrously large soles to their feet, which they were said to turn up and use as umbrellas",
210135,L9952611,n,9,"a lake in Upper Italy, now Lago d'Iseo",
210140,L5996741,n,9,"a people in Gallia Lugdunensis, neighbors of the Allobroges and Aedui, in the modern Feurs",
210159,L6570736,a,9,"of or belonging to Sentinum, a town of Umbria",2775
210168,L7495746,n,9,"a small rocky island in the Aegean Sea, reckoned among the Cyclades, now Serfo",2775
210176,L9015089,n,9,"a mountain of northern Germany, in the island of Scandia, the modern Kjölen, between Sweden and Norway",2775
210180,L6683168,n,9,"a very ancient people of Italy on the Tiber, a portion of whom afterwards migrated to Sicily",1696
210194,L9496407,n,9,"a river forming the boundary between Lucania and Campania, now Sele",2775
210210,L7779078,n,9,"a famous Greek colony in Paphlagonia, on the Euxine, the birthplace of Diogenes the Cynic and residence of Mithridates, now Sinoub",2775
210224,L6054305,n,9,"a small town in Hispania Baetica, rich in mines of cinnabar, now Almaden in the Sierra Morena",2775
150703,07586118,n,10,(British) a person owning or renting a smallholding,"2314,2876"
150704,07586227,n,10,a person of below average size,2516
150705,07586442,n,10,a farmer on a small farm,"2314,2876"
150706,07586543,n,10,a very attractive or seductive looking woman,2516
150707,07586725,n,10,someone who works metal (especially by hammering it when it is hot and malleable),1787
150708,07586908,n,10,someone who works at something specified,2516
150709,07587072,n,10,a person who smokes tobacco,2516
150710,07587239,n,10,someone with an assured and ingratiating manner,1802
150711,07587376,n,10,someone who imports or exports without paying duties,1802
150712,07587557,n,10,a performer who uses movements and music to control snakes,2425
150713,07587675,n,10,a deceitful or treacherous person,2516
150715,07587882,n,10,a thief who steals without using violence,1802
150716,07588010,n,10,a marksman who shoots at people from a concealed place,"1781,2516"
150656,07579304,n,10,formerly a contemptuous term of address to an inferior man or boy; often used in anger,2516
150658,07579639,n,10,"(Roman Catholic) a title given to a nun (and used as a form of address); ""the Sisters taught her to love God""",1658
150695,07585076,n,10,"a young and slender person: ""he's a mere slip of a lad""",2516
150714,07587781,n,10,"a thief who grabs and runs: ""a purse snatcher""",1802
150659,07579801,n,10,"a female person who has the same parents as another person: ""my sister married a musician""",2516
150689,07584439,n,10,fairy story: princess under an evil spell who could be awakened only by a prince's kiss,1566
155996,08634651,n,10,tropical trees and shrubs with aromatic leaves and often valuable hard wood,2158
156041,08642757,n,10,moderate sized very symmetrical red-flowered evergreen widely cultivated in the tropics for its flower buds which are source of cloves,"2158,2172"
156190,08673827,n,10,handsome East Indian evergreen tree often planted as an ornamental for its fragrant white flowers that yield a perfume; source of very heavy hardwood used for railroad ties,"2158,2172"
156227,08681554,n,10,small shrubby tree of Madagascar cultivated in tropical regions as a hedge plant and for its deep red acid fruits resembling small plums,"2158,2172"
156263,08688856,n,10,Mediterranean woody annual widely cultivated for its dense terminal spikelike clusters greenish or yellowish white flowers having an intense spicy fragrance,"2158,2172"
156356,08708884,n,10,large ornamental tree with graceful gradually spreading branches common in eastern North America,"2158,2172"
156371,08711620,n,10,any of various trees of the genus Celtis having inconspicuous flowers and small berrylike fruits,"2158,2172"
156407,08718935,n,10,any of several plants of the genus Freesia valued for their one-sided clusters of usually fragrant yellow or white or pink tubular flowers,"2158,2172"
156458,08730974,n,10,African plant with bright green evergreen leaves and umbels of many usually deep violet-blue flowers,"2158,2172"
156517,08743118,n,10,fragile twining plant of South Africa with bright green flattened stems and glossy foliage popular as a floral decoration,"2158,2172"
210240,L5804250,n,9,"a town on the northern coast of Sicily, now Castello di Solanto",2775
150717,07588117,n,10,a person regarded as arrogant and annoying,2516
150718,07588224,n,10,someone who snores while sleeping,
150719,07588310,n,10,a serious and sedate individual,2516
150720,07588398,n,10,a journalist who specializes in sentimental stories,2657
150721,07588506,n,10,an anthropologist who studies such cultural phenomena as kinship systems,1675
150755,07593653,n,10,in societies practicing shamanism: one acting as a medium between the visible and spirit worlds; practices sorcery for healing or divination,1565
150722,07588664,n,10,someone seeking social prominence by obsequious behavior,2516
150760,07594286,n,10,the immaterial part of a person; the actuating cause of an individual life,1565
150733,07590450,n,10,"(British) ""the poor sod couldn't even buy a drink""",2516
156547,08749949,n,10,mariposa having loose umbel-like clusters of 1-3 handsome lilac flowers atop stout erect stems; arid northwestern North America east of Cascade Mountains from southern British Columbia to northern California,"2158,2172"
150723,07588809,n,10,a political advocate of socialism,"1718,2768"
