id,uri,lemma,pos,validated,morpho,principal_parts,prosody
61308,61308,Palatium,n,1,n-s---nn2-,Palati,Palatium
139173,,decem,a,0,app---an--,-,
19155,19155,abrupte,r,1,rp--------,abrupt,abrupte
19161,19161,abscise,r,1,rp--------,abscis,abscise
19163,19163,abscondite,r,1,rp--------,abscondit,abscondite
19167,19167,absinthium,n,1,n-s---nn2-,absinthi,absinthium
19114,a0026,abauus,n,1,n-s---mn2-,abau,abauus
19115,a0012,abbatissa,n,1,n-s---fn1-,abbatiss,abbatissa
19168,19168,absis,n,1,n-s---fn3-,absid,absis
19117,a0031,abdicatio,n,1,n-s---fn3-,abdication,abdicatio
19119,a0038,abdo,v,1,v1spia--3-,abd abdid abdit,abdo
19120,a0039,abdomen,n,1,n-s---nn3-,abdomin,abdomen
19170,19170,absolute,r,1,rp--------,absolut,absolute
19122,a0045,aberratio,n,1,n-s---fn3-,aberration,aberratio
19123,a0050,abhorreo,v,1,v1spia--2-,abhorr abhorru -,abhorreo
19124,a0053,abicio,v,1,v1spia--3i,abic abiec abiect,abicio
19126,a9983,abigeatus,n,1,n-s---mn4-,abigeat,abigeatus
113023,i0269,illuminus,a,0,aps---mn1-,illumin illumin illumin,illuminus
19127,a0063,abigo,v,1,v1spia--3-,abig abeg abact,abigo
19128,a0065,abitio,n,1,n-s---fn3-,abition,abitio
19129,a9984,abitus,n,1,n-s---mn4-,abit,abitus
19131,a0079,ablatiuus,a,1,aps---mn1-,ablatiu ablatiu ablatiu,ablatiuus
19133,a0086,abligurrio,v,1,v1spia--4-,abligurr abligurri abligurrit,abligurrio
19134,a9091,abluo,v,1,v1spia--3-,ablu ablu ablut,abluo
19135,a0092,ablutio,n,1,n-s---fn3-,ablution,ablutio
19137,a0095,abluuium,n,1,n-s---nn2-,abluui,abluuium
19138,a0098,abnegatio,n,1,n-s---fn3-,abnegation,abnegatio
19139,a0101,abnego,v,1,v1spia--1-,abneg abnegau abnegat,abnego
19140,a0111,abnuo,v,1,v1spia--3-,abnu abnu -,abnuo
19142,a1752,abolesco,v,1,v1spia--3-,abolesc aboleu -,abolesco
19143,a0117,abolitio,n,1,n-s---fn3-,abolition,abolitio
19144,a0119,abolla,n,1,n-s---fn1-,aboll,abolla
19147,a0126,abortio,n,1,n-s---fn3-,abortion,abortio
19148,a0127,abortio,v,1,v1spia--4-,abort - -,abortio
19151,a0133,abrado,v,1,v1spia--3-,abrad abras abras,abrado
19152,a0140,abripio,v,1,v1spia--3i,abrip abripu abrept,abripio
19153,a0143,abrogo,v,1,v1spia--1-,abrog abrogau abrogat,abrogo
19154,a0145,abrumpo,v,1,v1spia--3-,abrump abrup abrupt,abrumpo
19158,a0160,abscessus,n,1,n-s---mn4-,abscess,abscessus
19159,a0149,abscido,v,1,v1spia--3-,abscid abscid abscis,abscido
19160,a0150,abscindo,v,1,v1spia--3-,abscind abscid absciss,abscindo
19162,a0151,abscisio,n,1,n-s---fn3-,abscision,abscisio
19169,a0169,absisto,v,1,v1spia--3-,absist absistit -,absisto
19173,a0178,absoluo,v,1,v1spia--3-,absolu absolu absolut,absoluo
19171,a0174,absolutio,n,1,n-s---fn3-,absolution,absolutio
19172,19172,absolutus,a,1,aps---mn1-,absolut absolut absolut,absolutus
46056,a1807,amygdaleus,a,0,aps---mn1-,amygdale amygdale amygdale,amygdaleus
139174,,Fuscus,n,0,n-s---mn2-,Fusc,
119811,119811,oppallio,v,0,v1spia--1-,oppalli oppalliau oppallia,oppallio
19181,a0191,abstineo,v,1,v1spia--2-,abstin abstinu abstent,abstineo
19183,a0196,abstrudo,v,1,v1spia--3-,abstrud abstrus abstrus,abstrudo
19186,a0203,absumptio,n,1,n-s---fn3-,absumption,absumptio
19187,19187,absurde,r,1,rp--------,absurd,absurde
19188,a0204,absurditas,n,1,n-s---fn3-,absurditat,absurditas
19191,a0210,abundantia,n,1,n-s---fn1-,abundanti,abundantia
19193,19193,abunde,r,1,rp--------,abund,abunde
19190,19190,abundanter,r,1,rp--------,abundant,abundanter
45994,45994,annulatus,a,0,aps---mn1-,annulat annulat annulat,annulatus
