,lamentatio,n,1,n-s---fn3-,lamentation,lamentatio
24552,l0168,lamia,n,1,n-s---fn1-,lami,lamia
24553,l0169,lamina,n,1,n-s---fn1-,lamin,lamina
24555,l0185,lana,n,1,n-s---fn1-,lan,lana
24503,i3217,Italia,n,1,n-s---fn1-,Itali,Italia
24534,24534,lactens,a,1,aps---an3i,lactent lactent lactent,lactens
24541,24541,laete,r,1,rp--------,laet,laete
24527,l0040,lac,n,1,n-s---nn3-,lact,lac
24528,l0054,lacero,v,1,v1spia--1-,lacer lacerau lacerat,lacero
24530,l0057,lacertus,n,1,n-s---mn2-,lacert,lacertus
24487,i2868,irrideo,v,1,v1spia--2-,irrid irris irris,irrideo
24558,l0199,landica,n,1,n-s---fn1-,landic,landica
120156,120156,paginalis,a,0,aps---cn3i,paginal paginal paginal,paginalis
24561,l0226,laniger,a,1,aps---mn1r,laniger laniger laniger,laniger
24562,l0228,lanio,v,1,v1spia--1-,lani laniau laniat,lanio
24564,l0239,lanius,n,1,n-s---mn2-,lani,lanius
24565,l0242,lanosus,a,1,aps---mn1-,lanos lanos lanos,lanosus
24566,l0243,lanterna,n,1,n-s---fn1-,lantern,lanterna
24567,l0248,lanugo,n,1,n-s---fn3-,lanugin,lanugo
24568,l0250,lanx,n,1,n-s---fn3i,lanc,lanx
24570,l0268,lapillus,n,1,n-s---mn2-,lapill,lapillus
24572,l0285,laqueus,n,1,n-s---mn2-,laque,laqueus
24557,l0189,lancea,n,1,n-s---fn1-,lance,lancea
102791,a2361,apicularius,n,0,n-s---mn2-,apiculari,apicularius
24575,l0295,largitas,n,1,n-s---fn3-,largitat,largitas
24559,24559,languide,r,1,rp--------,languid,languide
102790,102790,apicium,n,0,n-s---nn2-,apici,apicium
24577,l0296,largitio,n,1,n-s---fn3-,largition,largitio
24578,l0298,largitor,n,1,n-s---mn3-,largitor,largitor
24573,24573,lar,n,1,n-s---mn3-,lar,lar
24580,l0309,larua,n,1,n-s---fn1-,laru,larua
24582,l0320,lasciuio,v,1,v1spia--4-,lasciu lasciu lasciuit,lasciuio
24583,l0325,lasciuus,a,1,aps---mn1-,lasciu lasciu lasciu,lasciuus
24584,l0332,lassitudo,n,1,n-s---fn3-,lassitudin,lassitudo
24585,l0333,lasso,v,1,v1spia--1-,lass lassau lassat,lasso
24586,l0335,lassus,a,1,aps---mn1-,lass lass lass,lassus
24587,l0339,latebra,n,1,n-s---fn1-,latebr,latebra
24589,l0962,latex,n,1,n-s---mn3-,latic,latex
24576,24576,largiter,r,1,rp--------,larg,largiter
24579,24579,larix,n,1,n-s---fn3-,laric,larix
24593,l0197,latrina,n,1,n-s---fn1-,latrin,latrina
24594,l0384,latro,n,1,n-s---mn3-,latron,latro
24595,l0387,latrocinium,n,1,n-s---nn2-,latrocini,latrocinium
24596,l0389,latrunculus,n,1,n-s---mn2-,latruncul,latrunculus
24597,l0393,latus,n,1,n-s---nn3-,later,latus
24608,l0396,lauacrum,n,1,n-s---nn2-,lauacr,lauacrum
24609,l0399,lauatio,n,1,n-s---fn3-,lauation,lauatio
