991,submutatio,n,0,n-s---fn3-,submutation,submutatio
128372,s2995,subnauigo,v,0,v1spia--1-,subnauig subnauigau subnauigat,subnauigo
128374,s3000,subnexio,n,0,n-s---fn3-,subnexion,subnexio
128376,s3011,subocculte,r,0,rp--------,,subocculte
128379,s3018,suboptio,n,0,n-s---mn3-,suboption,suboptio
128381,s3020,subornator,n,0,n-s---mn3-,subornator,subornator
128382,s3021,subornatrix,n,0,n-s---fn3-,subornatric,subornatrix
128383,s3023,subostendo,v,0,v1spia--3-,subostend subostend subostens,subostendo
128385,s3034,subpraefectura,n,0,n-s---fn1-,subpraefectur,subpraefectura
128388,s3040,subquartus,a,0,aps---mn1-,subquart subquart subquart,subquartus
128389,s3041,subradio,v,0,v1spia--1-,subradi subradiau subradia,subradio
128393,s3045,subrectio,n,0,n-s---fn3-,subrection,subrectio
128394,s3047,subrector,n,0,n-s---mn3-,subrector,subrector
128395,s3048,subrectrix,n,0,n-s---fn3-,subrectric,subrectrix
128399,s3051,subrelinquo,v,0,v1spia--3-,,subrelinquo
128400,s3052,subremaneo,v,0,v1spia--2-,subreman subremans -,subremaneo
128401,s3054,subrenalis,a,0,aps---cn3i,subrenal subrenal subrenal,subrenalis
24703,l0737,ligamen,n,1,n-s---nn3-,ligamin,ligamen
99427,m1018,minae,n,0,n-p---fn1-,min,minae
99428,m1022,minax,a,0,aps---an3i,minac minac minac,minax
128407,128407,subreptor,n,0,n-s---mn3-,subreptor,subreptor
128408,128408,subreptum,n,0,n-s---nn2-,subrept,subreptum
128410,128410,subresono,v,0,v1spia--1-,subreson subresonau subresona,subresono
128415,128415,subrobeus,a,0,aps---mn1-,subrobe subrobe subrobe,subrobeus
128417,128417,subrostrani,n,0,n-p---mn2-,subrostran,subrostrani
128423,128423,subrumpo,v,0,v1spia--3-,,subrumpo
128425,128425,subruncator,n,0,n-s---mn3-,subruncator,subruncator
128427,128427,subrustice,r,0,rp--------,,subrustice
128430,128430,subrutus,a,0,aps---mn1-,subrut subrut subrut,subrutus
128433,128433,subsanium,n,0,n-s---nn2-,subsani,subsanium
128436,128436,subsarcino,v,0,v1spia--1-,subsarcin subsarcinau subsarcinat,subsarcino
128441,128441,subscriptus,a,0,aps---mn1-,subscript subscript subscript,subscriptus
128443,128443,subscudo,n,0,n-s---fn3-,subscudin,subscudo
