,06057735,n,10,the executive agency that advises the President on protecting the environment,1820
141056,06061385,n,10,the federal department that collects revenue and administers federal finances; the Treasury Department was created in 1789,"1718,1820"
141064,06062950,n,10,the federal department responsible for the interests of military veterans; created in 1989,"1718,1820"
141065,06063117,n,10,a former executive department; created in 1903 and split into two departments in 1913,"1718,1820"
141066,06063281,n,10,a former executive department; created in 1953 and divided in 1979,"1718,1820"
141067,06063436,n,10,a former executive department; created in 1798 and combined with the War Department in 1947,"1718,1820"
141076,06065557,n,10,a Protestant sect; commonly called Quakers,1565
141078,06065835,n,10,the Jesuits: a Roman Catholic religious order,1565
141082,06066430,n,10,the first of the three estates of the realm; the clergy in France and the lords spiritual in Britain,
141053,06060831,n,10,"the federal department that sets and maintains foreign policies: ""the Department of State was created in 1789""","1718,1820"
141040,06058056,n,10,the chief executive department of the US government,"1718,1820"
141043,06058738,n,10,the bureau of the Commerce Department responsible for taking the census,"1718,1820"
141048,06059799,n,10,the agency of Health and Human Services responsible for the social security system,"1718,1820,2232"
141051,06060479,n,10,the law enforcement agency in the Justice Department,"1718,1820"
141055,06061246,n,10,an agency of the Interior Department responsible for the National Parks,1820
141057,06061727,n,10,the agency of the Treasury Department that administers federal laws concerning alcohol and tobacco and firearms,"1718,1820"
141058,06061942,n,10,the agency of the Treasury Department responsible for controlling the currency,"1718,1820"
141059,06062113,n,10,the agency of the Treasury Department that enforces import tariffs,"1718,1820"
141060,06062262,n,10,the agency of the Treasury Department that produces currency,"1718,1820"
141061,06062420,n,10,the bureau of the Treasury Department responsible for tax collections,"1718,1820"
141062,06062585,n,10,a bureau of the Treasury Department responsible for intelligence operations,"1718,1820"
141069,06063742,n,10,the federal government department responsible for mail delivery (and sometimes telecommunications),"1718,1820"
141070,06063942,n,10,a local branch of the Post Office Department,"1707,1718,1820"
141071,06064102,n,10,a part of the post office that handles mail for persons who call for it,"1707,1820"
141073,06064547,n,10,a group of religious congregations having its own organization and a distinctive faith,1565
141074,06064748,n,10,group of Protestant congregations,1565
141075,06065230,n,10,a subdivision of a larger religious group,1565
141077,06065724,n,10,a charismatic Protestant denomination in the US,1565
141079,06065981,n,10,adherents of an exclusive system of religious beliefs and practices,1565
141080,06066118,n,10,saints collectively,1565
141081,06066212,n,10,clergymen collectively (as distinguished from the laity),
141083,06066607,n,10,cardinals collectively,
141084,06066687,n,10,everyone except the clergy,1675
141085,06066815,n,10,all the gods of a religion,1565
207109,L7562990,n,9,"one of the Sporades in the Aegean Sea, the birthplace of the poet Simonides",2775
141086,06066915,n,10,royal persons collectively,
141087,06067349,n,10,a European royal line that ruled in France and Spain and Naples and Sicily,
141088,06067496,n,10,the English royal house that reigned from 1714 to 1901,
141089,06067660,n,10,a royal German family that provided rulers for several European states and wore the crown of the Holy Roman Empire from 1440 to 1806,
141090,06067858,n,10,a German noble family that ruled Brandenburg and Prussia,
141107,06070449,n,10,"an official assembly having legislative powers: ""the legislature has two houses""",1718
141099,06069224,n,10,the body of enfranchised citizens; those qualified to vote,1718
141121,06073126,n,10,"the people of a nation or country or a community of persons bound by a common heritage: ""a nation of Catholics""; ""the whole country worshipped him""",1718
141112,06071536,n,10,assembly of the estates of all France; last meeting in 1789,1718
141126,06074189,n,10,"a politically organized body of people under a single government: ""the state has elected a new president""",1718
141125,06074006,n,10,underdeveloped and developing countries of Asia and Africa and Latin America collectively; neutral in the East-West alignment,1718
141128,06074665,n,10,the lands ruled by Charlemagne; a continuation of the Roman Empire in Europe,"1718,2772"
141092,06068169,n,10,the family name of a line of English kings that reigned from 1154 to 1485,
141139,06077390,n,10,an association of countries in the W hemisphere; created in 1948 to promote military and economic and social and cultural cooperation,1718
141098,06069040,n,10,"the body of citizens of a state or country: ""the Spanish people""",1718
141093,06068319,n,10,the Russian imperial line that ruled from 1613 to 1917,
141094,06068456,n,10,the royal family that ruled Scotland and England,
141096,06068747,n,10,the British royal family since 1917,
141101,06069615,n,10,assembly possessing high legislative powers,1718
141102,06069729,n,10,the upper house of the US Congress,1718
141103,06069858,n,10,the legislature of the US government,"1718,1820"
141104,06070031,n,10,the lower legislative house of the US Congress,1718
141105,06070167,n,10,the lower house of the British parliament,1718
141106,06070309,n,10,the upper house of the British parliament,1718
141108,06070671,n,10,persons who make or amend or repeal laws,1718
141109,06070969,n,10,a unicameral legislature,1718
141110,06071059,n,10,a group of persons gathered together for a common purpose,
141111,06071333,n,10,assembly of the estates of an entire country especially the sovereign body of the Dutch republic from 16th to 18th centuries,1718
141114,06072206,n,10,persons who administer the law,"1718,1820"
141115,06072383,n,10,the executive under President Clinton,1820
141116,06072489,n,10,the executive under President Bush,1820
141117,06072589,n,10,the executive under President Reagan,1820
141118,06072693,n,10,the executive under President Carter,1820
141119,06072797,n,10,persons who administer justice,"1718,1802"
141120,06072910,n,10,the system of law courts that administer justice and constitute the judicial branch of government,"1718,1802"
141122,06073495,n,10,a major social class or order of persons regarded collectively as part of the body politic of the country and formerly possessing distinct political rights,"1675,1718"
141123,06073762,n,10,a federation (as of American Indians),1718
141124,06073912,n,10,anti-Communist countries collectively,1718
141127,06074543,n,10,the German state,1718
141129,06074838,n,10,1871-1919,1718
141130,06074928,n,10,the Nazi dictatorship under Hitler (1933-1945),1718
141131,06075032,n,10,a state exercising a degree of dominion over a dependent state especially in its foreign affairs,1718
141133,06075457,n,10,an alliance of nations joining together to fight a common enemy,1718
141134,06075573,n,10,a group of countries in special alliance,"1718,1753"
141135,06075689,n,10,an informal alliance between countries,1718
141137,06076411,n,10,an international organization of European countries formed in 1958 to reduce trade barriers and increase cooperation among its members,1718
141138,06076869,n,10,an international organization created in 1949 by the North Atlantic Treaty for purposes of collective security,1718
141140,06078196,n,10,the administrative agency of the Organization of American States,1820
141141,06078325,n,10,an organization of countries formed in 1961 to agree on a common policy for the sale of petroleum,1718
174776,00864023,v,10,finish with a broom,
141097,06068855,n,10,the English royal house (a branch of the Plantagenet line) that reigned from 1461 to 1485; its emblem was a white rose,
155582,08549495,n,10,shrub growing in swamps throughout the eastern United States and having small white to pinkish honeysucklelike flowers,"2158,2172"
207122,L3379102,n,9,"a small river in the Thessalian province of Phthiotis, near which Apollo fed the flocks of Admetus",2775
141142,06078749,n,10,a nation that possesses formidable naval strength,1718
141143,06078854,n,10,a state powerful enough to influence events throughout the world,1718
141144,06079025,n,10,a state ruled by religious authority,"1675,1718"
141145,06079120,n,10,a state consisting of a sovereign city,1718
141149,06079857,n,10,too much population,2772
141153,06080527,n,10,the segment of the public that is easily influenced by mass media (chiefly British),2516
141152,06080290,n,10,"the common people generally: ""separate the warriors from the mass""; ""power to the people""",1718
141155,06080872,n,10,"a social class comprising those who do manual labor or work for wages: ""there is a shortage of skilled labor in this field""",1675
141166,06082537,n,10,"a crowd especially of ordinary or undistinguished persons or things: ""his briliance raised him above the ruck""; ""the children resembled a fairy herd""",
141196,06086825,n,10,"a group of musicians playing or singing together: ""a string ensemble""",2536
141171,06083198,n,10,"(plural) hosts or armies; used in the book of Romans in the New Testament of the Bible: ""Lord of Sabaoth""","1565,1781"
141181,06084508,n,10,a company that performs a public service; subject to government regulation,
141182,06084772,n,10,a company or agency that performs a public service; subject to government regulation,
141202,06087639,n,10,"a travelling company of entertainers; including trained animals: ""he ran away from home to join the circus""",2425
141150,06079949,n,10,"people in general considered as a whole: ""he is a hero in the eyes of the public""",2516
141156,06081123,n,10,the source of trained people from which workers can be hired,1675
141157,06081254,n,10,the social class lowest in the social hierarchy,1675
141158,06081359,n,10,the social class between the lower and upper classes,1675
141159,06081521,n,10,class composed of persons lacking noble or knightly or gentle rank,1675
141160,06081686,n,10,lower middle class (shopkeepers and clerical staff etc.),1675
141161,06081864,n,10,the class of peasants,1675
141163,06082225,n,10,a large gathering of people,
141164,06082383,n,10,a teeming multitude,
141165,06082453,n,10,a vast multitude,
141167,06082744,n,10,a large number of people united for some specific purpose,
141168,06082852,n,10,a dense crowd of people,
141169,06082959,n,10,a number of vehicles blocking one another until they can scarcely move,1946
141170,06083098,n,10,archaic terms for army,1781
141172,06083357,n,10,a disorderly crowd of people,
141173,06083469,n,10,a mob that kills a person for some presumed offense without legal authority,
141174,06083600,n,10,a moving crowd,
141175,06083682,n,10,a group of animals (a herd or flock) moving together,"2158,2188"
141177,06083970,n,10,(British) a company that is organized to give its owners limited liability,1794
141178,06084119,n,10,a company with controlling shares in other companies,1794
141179,06084251,n,10,a holding company owning or controlling one or more banks,1794
141180,06084393,n,10,a bank holding company owning several banks,1794
141183,06084928,n,10,a public utility that provides telephone service,
141184,06085092,n,10,a public utility that provides electricity,
141185,06085245,n,10,a public utility that provides water,
141186,06085354,n,10,a public utility that provides gas,
141187,06085460,n,10,a public utility providing local transportation,1946
141188,06085597,n,10,one of the chartered companies of London originating with the craft guilds,1794
141190,06086069,n,10,a company that produces operas,2425
141191,06086159,n,10,a company that produces plays,2425
141192,06086268,n,10,a theatrical company that performs plays from a repertoire,2425
141193,06086406,n,10,a company that produces ballets,2425
141194,06086536,n,10,a group of people assembled to sing together,2536
141195,06086651,n,10,a company of actors who comment (by speaking or singing in unison) on the action in a classical Greek play,2425
141197,06087003,n,10,a body of dancers or singers who perform together,
141198,06087156,n,10,a chorus that sings as part of a religious ceremony,2536
141199,06087278,n,10,a family of similar musical instrument playing together,2536
141200,06087395,n,10,a social gathering for the purpose of husking corn,
141201,06087517,n,10,the chorus of a ballet company,2425
141263,06098615,n,10,a detachment under the command of a provost marshall,1781
141151,06080139,n,10,"the people who inhabit a territory or state: ""the population seemd to be well fed and clothed""",2772
207139,L3308139,n,9,"a painting of Protogenes, which represents a satyr as leaning idly against a tree",
141203,06087799,n,10,a troupe of performers in blackface typically giving a comic program of negro songs and jokes,2425
141204,06088009,n,10,a troupe of minstrels,2425
141206,06088666,n,10,a military unit or region under the control of a single officer,1781
141208,06088910,n,10,a temporary military unit formed to accomplish a particular objective,1781
141209,06089036,n,10,a military unit that is part of an army,1781
141210,06089493,n,10,an organization of military land forces,1781
141227,06092519,n,10,"a group of people having the power of effective action: ""he joined forces with a band of adventurers""",
141231,06093563,n,10,"the force of policemen and officers: ""the law came looking for him""",1781
141244,06095661,n,10,"a body of people associated together: ""diplomatic corps""",
141232,06093865,n,10,French police force; a group of gendarmes or gendarmes collectively,1781
141240,06095033,n,10,the secret state police in Nazi Germany; known for its terrorist methods,1781
