s1125,semirasus,a,0,aps---mn1-,semiras semiras semiras,semirasus
42279,a0736,adoptatio,n,0,n-s---fn3-,adoptation,adoptatio
42281,a1690,amita,n,0,n-s---fn1-,amit,amita
42353,f0138,falsiloquus,a,0,aps---mn1-,falsiloqu falsiloqu falsiloqu,falsiloquus
42380,a1218,agonotheta,n,0,n-s---mn1-,agonothet,agonotheta
42346,a3713,argentifodina,n,0,n-s---fn1-,argentifodin,argentifodina
42395,42395,adporto,v,0,v1spia--1-,adport adportau adportat,adporto
42355,42355,aecoreus,a,0,aps---mn1-,aecore aecore aecore,aecoreus
42329,42329,aliquantillum,v,0,v1spid----,aliquantill,aliquantillum
42400,42400,amarum,n,0,n-s---nn2-,amar,amarum
42403,42403,asplenon,n,0,n-s---nn2-,asplen,asplenon
42394,42394,cluma,n,0,n-s---fn1-,clum,cluma
42374,42374,contator,n,0,n-s---mn3-,contator,contator
42323,a0124,aborigineus,a,0,aps---mn1-,aborigine aborigine aborigine,aborigineus
42349,42349,cupedia,n,0,n-s---fn1-,cupedi,cupedia
42345,42345,exercens,n,0,n-s---cn3-,exercent,exercens
42383,42383,fascismus,n,0,n-s---mn2-,fascism,fascismus
42375,42375,garba,n,0,n-s---fn1-,garb,garba
42331,42331,imprudenter,r,0,rp--------,imprudentius imprudentissime,imprudenter
42391,42391,laudandus,a,0,aps---mn1-,prouinci prouinci prouinci,laudandus
42376,42376,moneaeum,n,0,n-s---nn2-,moneae,moneaeum
42339,a0840,adynamos,a,0,aps---mn1g,adynam adynam adynam,adynamos
42358,42358,periniquus,r,0,rp--------,subirat,periniquus
42336,42336,phitonissa,n,0,n-s---fn1-,phitoniss,phitonissa
42335,42335,quadantenus,r,0,rp--------,,quadantenus
34238,p3238,praerogatiua,n,0,n-s---fn1-,praerogatiu,praerogatiua
42396,42396,racha,a,0,aps---an3-,rach rach rach,racha
42386,42386,sodes,r,0,rp--------,,sodes
123218,p9907,pressus,n,0,n-s---mn4-,press,pressus
42357,42357,subiratus,a,0,aps---mn1-,subirat subirat subirat,subiratus
42362,42362,typographeum,n,0,n-s---nn2-,typographe,typographeum
42322,42322,acroamatarius,a,0,aps---mn1-,acroamatari acroamatari acroamatari,acroamatarius
42392,a1300,albogalerus,n,0,n-s---mn2-,albogaler,albogalerus
42372,a2642,aratiuncula,n,0,n-s---fn1-,aratiuncul,aratiuncula
42363,c0744,casila,n,0,n-s---fn1-,casil,casila
42343,c1145,centipes,n,0,n-s---mn3-,centiped,centipes
42365,c1290,cerula,n,0,n-s---fn1-,cerul,cerula
42398,c6525,consignatio,n,0,n-s---fn3-,consignation,consignatio
42379,c4248,crassificatio,n,0,n-s---fn3-,crassification,crassificatio
42385,d1426,digestio,n,0,n-s---fn3-,digestion,digestio
42368,e1742,exsequiae,n,0,n-p---fn1-,exsequi,exsequiae
42361,h0115,harenula,n,0,n-s---fn1-,harenul,harenula
42340,i0645,improdictus,a,0,aps---mn1-,improdict improdict improdict,improdictus
42328,i2863,irreuerentia,n,0,n-s---fn1-,irreuerenti,irreuerentia
42327,m0470,matricula,n,0,n-s---fn1-,matricul,matricula
42354,o1105,ostentator,n,0,n-s---mn3-,ostentator,ostentator
42332,p0844,peraeque,r,0,rp--------,,peraeque
42378,p4504,pilatus,a,0,aps---mn1-,pilat pilat pilat,pilatus
42390,p4218,prouinciatim,r,0,rp--------,prouinci,prouinciatim
42364,p4567,purpuratus,a,0,aps---mn1-,purpurat purpurat purpurat,purpuratus
42333,s0682,scitulus,a,0,aps---mn1-,scitul scitul scitul,scitulus
42367,s2797,subcrudus,a,0,aps---mn1-,subcrud subcrud subcrud,subcrudus
42389,t0853,torpedo,n,0,n-s---fn3-,torpedin,torpedo
42404,t1151,trepidatio,n,0,n-s---fn3-,trepidation,trepidatio
42373,a0628,adiuro,v,0,v1spia--1-,adiur adiurau adiurat,adiuro
42474,42474,nominetenus,r,0,rp--------,,nominetenus
42475,42475,adparatus,n,0,n-s---mn4-,adparat,adparatus
42434,42434,adtagena,n,0,n-s---fn1-,adtagen,adtagena
42440,42440,adtribuo,v,0,v1spia--3-,adtribu adtribu adtribut,adtribuo
42451,42451,ammorsus,a,0,aps---mn1-,ammors ammors ammors,ammorsus
42406,42406,amotibilis,a,0,aps---cn3-,amotibil amotibil amotibil,amotibilis
42432,42432,canterius,n,0,n-s---mn2-,canteri,canterius
42419,42419,adfectatus,a,0,aps---mn1-,adfectat adfectat adfectat,adfectatus
42454,42454,cardinalatus,n,0,n-s---mn4-,cardinalat,cardinalatus
42426,42426,chrematista,n,0,n-s---fn1-,chrematist,chrematista
42415,42415,commodate,r,0,rp--------,commodatius commodatissime,commodate
42480,42480,conpatriota,n,0,n-s---fn1-,conpatriot,conpatriota
42459,42459,continuanter,r,0,rp--------,,continuanter
42464,42464,curatus,r,0,rp--------,,curatus
42424,42424,currens,a,0,aps---an3-,current current current,currens
42429,42429,denus,a,0,aps---mn1-,den den den,denus
42421,42421,dirimens,a,0,aps---an3-,diriment diriment diriment,dirimens
42420,42420,exsiccatus,a,0,aps---mn1-,adfectat adfectat adfectat,exsiccatus
42433,42433,fetidus,a,0,aps---mn1-,fetid fetid fetid,fetidus
42422,42422,imprisonamentum,n,0,n-s---nn2-,imprisonament,imprisonamentum
42425,42425,incohamentum,n,0,n-s---nn2-,incohament,incohamentum
42461,42461,maturrimus,a,0,aps----n3-,maturrim maturrim maturrim,maturrimus
42439,42439,metabolicus,a,0,aps---mn1-,metabolic metabolic metabolic,metabolicus
42437,i2982,iubilatio,n,0,n-s---fn3-,,iubilatio
42458,42458,plancus,n,0,n-s---mn2-,planc,plancus
42472,42472,posterioritas,n,0,n-s---fn3-,posterioritat,posterioritas
42423,42423,statiua,n,0,n-s---fn1-,statiu,statiua
42412,42412,apscido,v,0,v1spia--3-,apscid apscid apscis,apscido
42469,42469,summoleste,r,0,rp--------,,summoleste
42477,42477,utercumque,a,0,aps---an3-,utr utr utr,utercumque
42416,42416,Figlina,n,0,n-s---fn1-,Figlin,Figlina
42443,42443,adclino,v,0,v1spia--1-,adclin adclinau adclinat,adclino
42450,42450,autenta,n,0,n-s---fn1-,autent,autenta
100180,p3770,profligator,n,0,n-s---mn3-,profligator,profligator
42411,a9209,aliquantisper,r,0,rp--------,,aliquantisper
42446,a1523,altiusculus,a,0,aps---mn1-,altiuscul altiuscul altiuscul,altiusculus
42430,c1120,censio,n,0,n-s---fn3-,cension,censio
42408,c1201,cerarium,n,0,n-s---nn2-,cerari,cerarium
42448,c4176,corymbites,n,0,n-s---mn1g,corymbit,corymbites
42413,c4599,cumque,r,0,rp--------,,cumque
42418,d2187,dormitio,n,0,n-s---fn3-,dormition,dormitio
42465,b0125,barbatus,a,1,aps---mn1-,barbat barbat barbat,barbatus
42462,h0647,humanitus,r,0,rp--------,human,humanitus
42470,i0875,incero,v,0,v1spia--1-,incer incerau incerat,incero
42445,l0061,lacesso,v,0,v1spia--3-,lacess lacessiu lacessit,lacesso
42456,l0656,libamen,n,0,n-s---nn3-,libamin,libamen
42427,m0198,malleatus,a,0,aps---mn1-,malleat malleat malleat,malleatus
42453,n0625,nudius,r,0,rp--------,,nudius
42457,p2100,pinnirapus,n,0,n-s---mn2-,pinnirap,pinnirapus
42467,t0316,tenuiculus,a,0,aps---mn1-,tenuicul tenuicul tenuicul,tenuiculus
42417,t1400,triticeus,a,0,aps---mn1-,tritice tritice tritice,triticeus
42463,u0339,ueprecula,n,0,n-s---fn1-,ueprecul,ueprecula
42471,u0533,ueterinus,a,0,aps---mn1-,ueterin ueterin ueterin,ueterinus
42488,42488,pugillatus,n,0,n-s---mn4-,pugillat,pugillatus
42505,42505,animans,a,0,aps---an3-,animant animant animant,animans
42512,42512,annotatus,a,0,aps---an3-,annotat annotat annotat,annotatus
42517,42517,antilucanus,a,0,aps---mn1-,antilucan antilucan antilucan,antilucanus
42535,42535,athenaeum,n,0,n-s---nn2-,athenae,athenaeum
42496,42496,ceremonialis,a,0,aps---cn3-,ceremonial ceremonial ceremonial,ceremonialis
42551,42551,coadiutus,n,0,n-s---mn4-,coadiut,coadiutus
42533,42533,collecte,r,0,rp--------,,collecte
42490,42490,complut,v,0,v1spia--3-,complu - -,complut
42499,42499,confirmatiuum,n,0,n-s---nn2-,confirmatiu,confirmatiuum
42541,42541,congelatus,a,0,aps---mn1-,congelat congelat congelat,congelatus
42508,42508,credentia,n,0,n-s---fn1-,credenti,credentia
42543,42543,disgratia,n,0,n-s---fn1-,disgrati,disgratia
42484,42484,exosculo,v,0,v1spia--1-,exoscul - exosculat,exosculo
42530,42530,foruitus,a,0,aps---mn1-,foruit foruit foruit,foruitus
42549,42549,inobauditio,n,0,n-s---fn3-,inobaudition,inobauditio
42514,42514,insuflo,v,0,v1spia--1-,insufl insuflau insuflat,insuflo
42483,42483,kalumniatrix,n,0,n-s---fn3-,kalumniatric,kalumniatrix
42492,42492,nouiciatus,n,0,n-s---mn4-,nouiciat,nouiciatus
42545,42545,pedisecus,n,0,n-s---mn2-,pedisec,pedisecus
42504,42504,perpetue,r,0,rp--------,,perpetue
42548,42548,praegustus,n,0,n-s---mn4-,praegust,praegustus
42494,42494,proin,r,0,rp--------,,proin
42500,a0929,aequidianus,a,0,aps---mn1-,aequidian aequidian aequidian,aequidianus
26561,p4636,pyelus,n,1,n-s---mn2-,pyel,pyelus
42547,42547,tenetura,n,0,n-s---fn1-,tenetur,tenetura
42489,42489,adcessibilitas,n,0,n-s---fn3-,adcessibilitat,adcessibilitas
42538,42538,adcliuitas,n,0,n-s---fn3-,adcliuitat,adcliuitas
42503,a2752,arcuatim,r,0,rp--------,,arcuatim
42520,a3126,assensor,n,0,n-s---mn3-,assensor,assensor
42482,b0128,barbio,v,0,v1spia--4-,barb barbiu barbit,barbio
42540,b0542,betaceus,n,0,n-s---mn2-,betace,betaceus
42531,b0401,bipalmus,a,0,aps---mn1-,bipalm bipalm bipalm,bipalmus
42498,c0184,caerimonium,n,0,n-s---nn2-,caerimoni,caerimonium
42501,c1226,cerea,n,0,n-s---fn1-,cere,cerea
42510,c1795,circumlego,v,0,v1spia--3-,circumleg circumleg circumlect,circumlego
