,d0826,deportatorius,a,0,aps---mn1-,deportatori deportatori deportatori,deportatorius
48281,e0207,egeo,v,0,v1spia--2-,eg egu -,egeo
48285,f0287,faustus,a,1,aps---mn1-,faust faust faust,faustus
48279,f0629,flammeum,n,0,n-s---nn2-,flamme,flammeum
48344,i1143,incumbo,v,0,v1spia--3-,incumb incumbu incumbit,incumbo
48283,i1188,inde,r,0,rp--------,-,inde
48334,l0123,laetificus,a,0,aps---mn1-,laetific laetific laetific,laetificus
48321,p1045,perdudum,r,0,rp--------,,perdudum
48284,p1270,periratus,a,0,aps---mn1-,perirat perirat perirat,periratus
48316,p2023,piceus,a,0,aps---mn1-,pice pice pice,piceus
48301,p2038,piget,v,0,v3spia--2-,pig - pigit,piget
48312,p2151,piscinarius,n,0,n-s---mn2-,piscinari,piscinarius
48346,p4535,pupillus,n,0,n-s---mn2-,pupill,pupillus
48297,s3553,superfio,v,0,v1spia--3-,superf - superfact,superfio
48325,t1039,transitorius,a,0,aps---mn1-,transitori transitori transitori,transitorius
48282,a0691,admotio,n,0,n-s---fn3-,admotion,admotio
48403,48403,adsestrix,n,0,n-s---fn3-,adsestric,adsestrix
48387,c4527,cuias,a,0,aps---an3-,cuiat,cuias
48428,u1238,urbicapus,n,0,n-s---mn2-,urbicap,urbicapus
48412,48412,zerum,n,0,n-s---nn2-,zer,zerum
48437,48437,affuo,v,0,v1spia--3-,affu affux -,affuo
48366,48366,alisma,n,0,n-s---nn3-,alismat,alisma
48420,48420,amabiliter,r,0,rp--------,amabilius amabilissime,amabiliter
48359,48359,archaeologia,n,0,n-s---fn1-,archaeologi,archaeologia
48377,48377,bibliopegus,n,0,n-s---mn2-,bibliopeg,bibliopegus
48422,s0140,salamandra,n,0,n-s---fn1-,salamandr,salamandra
48367,48367,clipeatus,n,0,n-s---mn4-,clipeat,clipeatus
48406,48406,colustrum,n,0,n-s---nn2-,colustr,colustrum
48372,a0850,aedificiolum,n,0,n-s---nn2-,aedificiol,aedificiolum
48385,48385,comitiuus,n,0,n-s---mn3-,comitiu,comitiuus
48374,48374,cinaedius,n,0,n-s---mn2-,cinaedi,cinaedius
48429,a1043,aeternus,a,0,aps---mn1-,aetern aetern aetern,aeternus
48410,48410,concluse,r,0,rp--------,,concluse
48375,48375,confictus,a,0,aps---mn1-,confict confict confict,confictus
48399,48399,consone,r,0,rp--------,,consone
48379,48379,defritum,n,0,n-s---nn2-,defrit,defritum
48370,48370,euchelaion,n,0,n-s---nn2-,euchelai,euchelaion
48439,48439,geologicus,a,0,aps---mn1-,geologic geologic geologic,geologicus
48398,48398,harpyria,n,0,n-s---fn1-,harpyri,harpyria
48389,a3485,auguratorium,n,0,n-s---nn2-,auguratori,auguratorium
48368,a3511,aulicoctus,a,0,aps---mn1-,aulicoct aulicoct aulicoct,aulicoctus
48423,a3616,autographus,a,0,aps---mn1-,autograph autograph autograph,autographus
