"TYPE","SOURCE","TARGET","W_SOURCE","W_TARGET"
"^","v#00923962","v#00924275","",""
"^","v#00924275","v#00923962","",""
"^","v#00921958","v#00922436","",""
"^","v#00922436","v#00921958","",""
"^","v#00484149","v#00915701","",""
"^","v#00915701","v#00484149","",""
"^","v#00489186","v#00900949","",""
"^","v#01893250","v#01893081","",""
"^","v#01893081","v#01893250","",""
"^","v#01854822","v#01854371","",""
"^","v#01854371","v#01854822","",""
"^","v#01854822","v#01854237","",""
"^","v#01854237","v#01854822","",""
"^","v#01844410","v#01832891","",""
"^","v#01832891","v#01844410","",""
"^","v#01835617","v#01832678","",""
"^","v#01832678","v#01835617","",""
"^","v#01835411","v#01832678","",""
"^","v#01832678","v#01835411","",""
"^","v#01815982","v#01815749","",""
"^","v#01815749","v#01815982","",""
"^","v#01827745","v#01806524","",""
"^","v#01806524","v#01827745","",""
"^","v#01789664","v#01789530","",""
"^","v#01789530","v#01789664","",""
"^","v#01815982","v#01785455","",""
"^","v#01785455","v#01815982","",""
"^","v#01801421","v#01780673","",""
"^","v#01780673","v#01801421","",""
"^","v#01864545","v#01780673","",""
"^","v#01780673","v#01864545","",""
"^","v#01824128","v#01780673","",""
"^","v#01780673","v#01824128","",""
"^","v#01824584","v#01780673","",""
"^","v#01780673","v#01824584","",""
"^","v#01841374","v#01780673","",""
"^","v#01780673","v#01841374","",""
"^","v#01726067","v#01725008","",""
"^","v#01725008","v#01726067","",""
"^","v#01823352","v#01717808","",""
"^","v#01717808","v#01823352","",""
"^","v#01685493","v#01677101","",""
"^","v#01677101","v#01685493","",""
"^","v#01691743","v#01634597","",""
"^","v#01634597","v#01691743","",""
"^","v#01694483","v#01624648","",""
"^","v#01624648","v#01694483","",""
"^","v#01729316","v#01612822","",""
"^","v#01612822","v#01729316","",""
"^","v#01716197","v#01612822","",""
"^","v#01612822","v#01716197","",""
"^","v#01618824","v#01612822","",""
"^","v#01612822","v#01618824","",""
"^","v#01793556","v#01604753","",""
"^","v#01604753","v#01793556","",""
"^","v#01558078","v#01544212","",""
"^","v#01544212","v#01558078","",""
"^","v#01573839","v#01540968","",""
"^","v#01540968","v#01573839","",""
"^","v#01561428","v#01540968","",""
"^","v#01540968","v#01561428","",""
"^","v#01544440","v#01540968","",""
"^","v#01540968","v#01544440","",""
"^","v#01606293","v#01540968","",""
"^","v#01540968","v#01606293","",""
"^","v#01546679","v#01536410","",""
"^","v#01536410","v#01546679","",""
"^","v#01568959","v#01536410","",""
"^","v#01536410","v#01568959","",""
"^","v#01813131","v#01530096","",""
"^","v#01530096","v#01813131","",""
"^","v#01602202","v#01530096","",""
"^","v#01530096","v#01602202","",""
"^","v#01574057","v#01530096","",""
"^","v#01530096","v#01574057","",""
"^","v#01570315","v#01526289","",""
"^","v#01526289","v#01570315","",""
"^","v#01764936","v#01526289","",""
"^","v#01526289","v#01764936","",""
"^","v#01568149","v#01526289","",""
"^","v#01526289","v#01568149","",""
"^","v#01512827","v#01512393","",""
"^","v#01512393","v#01512827","",""
"^","v#01579864","v#01511800","",""
"^","v#01511800","v#01579864","",""
"^","v#01554751","v#01511279","",""
"^","v#01511279","v#01554751","",""
"^","v#01588115","v#01511279","",""
"^","v#01511279","v#01588115","",""
"^","v#01698727","v#01509715","",""
"^","v#01509715","v#01698727","",""
"^","v#01510294","v#01509715","",""
"^","v#01509715","v#01510294","",""
"^","v#01579864","v#01509715","",""
"^","v#01509715","v#01579864","",""
"^","v#01560310","v#01508080","",""
"^","v#01508080","v#01560310","",""
"^","v#01516187","v#01508080","",""
"^","v#01508080","v#01516187","",""
"^","v#01561557","v#01505951","",""
"^","v#01505951","v#01561557","",""
"^","v#01499391","v#01485853","",""
"^","v#01485853","v#01499391","",""
"^","v#01466509","v#01462865","",""
"^","v#01462865","v#01466509","",""
"^","v#01484077","v#01457770","",""
"^","v#01457770","v#01484077","",""
"^","v#01459242","v#01457770","",""
"^","v#01457770","v#01459242","",""
"^","v#01459112","v#01457770","",""
"^","v#01457770","v#01459112","",""
"^","v#01454384","v#01454219","",""
"^","v#01454219","v#01454384","",""
"^","v#01454384","v#01454094","",""
"^","v#01454094","v#01454384","",""
"^","v#01454742","v#01453522","",""
"^","v#01453522","v#01454742","",""
"^","v#01454742","v#01453160","",""
"^","v#01453160","v#01454742","",""
"^","v#01475713","v#01422262","",""
"^","v#01422262","v#01475713","",""
"^","v#01418065","v#01414286","",""
"^","v#01414286","v#01418065","",""
"^","v#01797979","v#01414286","",""
"^","v#01414286","v#01797979","",""
"^","v#01802606","v#01408005","",""
"^","v#01408005","v#01802606","",""
"^","v#01825948","v#01397433","",""
"^","v#01397433","v#01825948","",""
"^","v#01411654","v#01393878","",""
"^","v#01393878","v#01411654","",""
"^","v#01379506","v#01378509","",""
"^","v#01378509","v#01379506","",""
"^","v#01622623","v#01376901","",""
"^","v#01376901","v#01622623","",""
"^","v#01515276","v#01376901","",""
"^","v#01376901","v#01515276","",""
"^","v#01601602","v#01374895","",""
"^","v#01374895","v#01601602","",""
"^","v#01366372","v#01365796","",""
"^","v#01365796","v#01366372","",""
"^","v#01385041","v#01365796","",""
"^","v#01365796","v#01385041","",""
"^","v#01362365","v#01362108","",""
"^","v#01362108","v#01362365","",""
"^","v#01362669","v#01362108","",""
"^","v#01362108","v#01362669","",""
"^","v#01356820","v#01350293","",""
"^","v#01350293","v#01356820","",""
"^","v#01345256","v#01343923","",""
"^","v#01343923","v#01345256","",""
"^","v#01355772","v#01341375","",""
"^","v#01341375","v#01355772","",""
"^","v#01356820","v#01340005","",""
"^","v#01340005","v#01356820","",""
"^","v#01824584","v#01336773","",""
"^","v#01336773","v#01824584","",""
"^","v#01680133","v#01328739","",""
"^","v#01328739","v#01680133","",""
"^","v#01636994","v#01328739","",""
"^","v#01328739","v#01636994","",""
"^","v#01331285","v#01328437","",""
"^","v#01328437","v#01331285","",""
"^","v#01331576","v#01328437","",""
"^","v#01328437","v#01331576","",""
"^","v#01376779","v#01316088","",""
"^","v#01316088","v#01376779","",""
"^","v#01420304","v#01314495","",""
"^","v#01314495","v#01420304","",""
"^","v#01347582","v#01311485","",""
"^","v#01311485","v#01347582","",""
"^","v#01312270","v#01311485","",""
