id,english,code,hypers,hypons
1345,"Computer Science, Information & General Works",000,,"1346,1373,1382,1390,1401,1411,1422,1431,1441"
1346,"Computer Science, Knowledge & Systems",000,1345,"1368,1360,2924,1355,1354,1353,1347"
1347,Knowledge,001,1346,"1352,1351,1350,1349,1348"
1348,Intellectual Life,001.1,1347,
1349,Scholarship And Learning,001.2,1347,
1350,Humanities,001.3,1347,
1351,Research,001.4,1347,
1352,Controversial Knowledge,001.9,1347,
1353,The Book,002,1346,
1354,Systems,003,1346,
1355,Data Processing & Computer Science,004,1346,"1359,1358,1357,1356"
1356,"Systems Analysis And Design, Computer Architecture",004.2,1355,
1357,Storage,004.5,1355,
1358,Interfacing And Communications,004.6,1355,
1359,Peripherals,004.7,1355,
1360,"Computer Programming, Programs & Data",005,1346,"1367,1366,1365,1364,1363,1362,1361"
1361,Programming,005.1,1360,
1362,Programming For Specific Types Of Computers,005.2,1360,
1363,Programs,005.3,1360,
1364,Systems Programming And Programs,005.4,1360,
1365,Microprogramming And Microprograms,005.6,1360,
1366,Data In Computer Systems,005.7,1360,
1367,Data Security,005.8,1360,
1368,Special Computer Methods,006,1346,"1372,1371,1370,1369"
1369,Artificial Intelligence,006.3,1368,
1370,Computer Pattern Recognition,006.4,1368,
1371,Computer Sound Synthesis,006.5,1368,
1372,Computer Graphics,006.6,1368,
1373,Bibliographies,010,1345,"1374,1375,1376,1377,1378,1379,1380,1381,2935"
1374,Bibliography,010,1373,
1375,Bibliographies Of Individuals,012,1373,
1376,Of Anonymous & Pseudonymous Works,014,1373,
1377,Bibliographies Of Works From Specific Places,015,1373,
1378,Bibliographies Of Works On Specific Subjects,016,1373,
1379,General Subject Catalogs,017,1373,
1380,"Catalogs Arranged By Author, Date, Etc.",018,1373,
1381,Dictionary Catalogs,019,1373,
1382,Library & Information Sciences,020,1345,"1383,1384,1385,1386,1387,1388,1389,2936"
1383,Library Relationships,021,1382,
1384,Administration Of Physical Plant,022,1382,
1385,Personnel Management,023,1382,
1386,Library Operations,025,1382,
1387,Libraries For Specific Subjects,026,1382,
1388,General Libraries,027,1382,
1389,Reading & Use Of Other Information Media,028,1382,
1390,Encyclopedias & Books Of Facts,030,1345,"1391,1392,1393,1394,1395,1396,1397,1398,1399,1400"
1391,General Encyclopedic Works,030,1390,
1392,Encyclopedias In American English,031,1390,
1393,Encyclopedias In English,032,1390,
1394,In Other Germanic Languages,033,1390,
1395,"Encyclopedias In French, Occitan & Catalan",034,1390,
1396,"In Italian, Romanian & Related Languages",035,1390,
1397,Encyclopedias In Spanish & Portuguese,036,1390,
1398,Encyclopedias In Slavic Languages,037,1390,
1399,Encyclopedias In Scandinavian Languages,038,1390,
1400,Encyclopedias In Other Languages,039,1390,
1401,"Magazines, Journals & Serials",050,1345,"1402,1403,1404,1405,1406,1407,1408,1409,1410"
1402,General Serial Publications,050,1401,
1403,Serials In American English,051,1401,
1404,Serials In English,052,1401,
1405,Serials In Other Germanic Languages,053,1401,
1406,"Serials In French, Occitan & Catalan",054,1401,
1407,Serials In Spanish & Portuguese,056,1401,
1408,Serials In Slavic Languages,057,1401,
1409,Serials In Scandinavian Languages,058,1401,
1410,Serials In Other Languages,059,1401,
1411,"Associations, Organizations & Museums",060,1345,"1412,1413,1414,1415,1416,1417,1418,1419,1420,1421"
1412,General Organizations & Museum Science,060,1411,
1413,Organizations In North America,061,1411,
1414,Organizations In British Isles; In England,062,1411,
1415,Organizations In Central Europe; In Germany,063,1411,
1416,Organizations In France & Monaco,064,1411,
1417,Organizations In Italy & Adjacent Islands,065,1411,
1418,In Iberian Peninsula & Adjacent Islands,066,1411,
1419,Organizations In Eastern Europe; In Russia,067,1411,
1420,Organizations In Other Geographic Areas,068,1411,
1421,Museum Science,069,1411,
1422,"News Media, Journalism & Publishing",070,1345,"1423,1424,1425,1426,1427,1428,1429,1430,2937"
1423,Newspapers In North America,071,1422,
1424,Newspapers In British Isles; In England,072,1422,
1425,Newspapers In Central Europe; In Germany,073,1422,
1426,Newspapers In France & Monaco,074,1422,
1427,Newspapers In Italy & Adjacent Islands,075,1422,
1428,Newspapers In Eastern Europe; In Russia,077,1422,
1429,Newspapers In Scandinavia,078,1422,
1430,Newspapers In Other Geographic Areas,079,1422,
